,Repository Name,Repository Description,Repository Stars,Repository Programming Language,Repository Other Language,Repository URL
0,javascript,JavaScript Style Guide,106213,JavaScript,{'JavaScript': 100.0},https://github.com/airbnb/javascript
1,Javascript,A repository for All algorithms implemented in Javascript (for educational purposes only),8928,JavaScript,{'JavaScript': 100.0},https://github.com/TheAlgorithms/Javascript
2,javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,99058,JavaScript,{'JavaScript': 100.0},https://github.com/trekhleb/javascript-algorithms
3,javascript,GitBook teaching programming basics with Javascript,2246,,{},https://github.com/GitbookIO/javascript
4,javaScript,前端特效存档,1283,JavaScript,"{'JavaScript': 55.7, 'HTML': 33.84, 'CSS': 10.46}",https://github.com/yangxi0126/javaScript
5,JavaScript30,30 Day Vanilla JS Challenge,15062,HTML,"{'HTML': 86.75, 'CSS': 9.71, 'JavaScript': 3.54}",https://github.com/wesbos/JavaScript30
6,javascript-questions,"A long list of (advanced) JavaScript questions, and their explanations :sparkles:  ",29426,,{},https://github.com/lydiahallie/javascript-questions
7,clean-code-javascript,:bathtub: Clean Code concepts adapted for JavaScript,47517,JavaScript,{'JavaScript': 100.0},https://github.com/ryanmcdermott/clean-code-javascript
8,javascript,PubNub JavaScript SDK. https://www.pubnub.com/docs/javascript/pubnub-javascript-sdk-v4,503,JavaScript,{'JavaScript': 100.0},https://github.com/pubnub/javascript
9,awesome-javascript,"🐢 A collection of awesome browser-side  JavaScript libraries, resources and shiny things.",23292,,{},https://github.com/sorrycc/awesome-javascript
10,javascript,包含javascript的基础语法，面向对象的实现和设计模式实现,613,JavaScript,"{'JavaScript': 91.92, 'HTML': 8.08}",https://github.com/wchaowu/javascript
11,javascript,Javascript client,915,TypeScript,"{'TypeScript': 99.93, 'Shell': 0.06, 'JavaScript': 0.01}",https://github.com/kubernetes-client/javascript
12,complete-javascript-course,"Starter files, final projects and FAQ for my Complete JavaScript course",6056,JavaScript,"{'JavaScript': 53.66, 'HTML': 23.87, 'CSS': 15.54, 'SCSS': 6.93}",https://github.com/jonasschmedtmann/complete-javascript-course
13,three.js,JavaScript 3D library.,68109,JavaScript,"{'JavaScript': 99.22, 'CSS': 0.5, 'HTML': 0.28}",https://github.com/mrdoob/three.js
14,javascript,Curso de JavaScript,832,HTML,"{'HTML': 58.02, 'JavaScript': 34.54, 'CSS': 7.45}",https://github.com/gustavoguanabara/javascript
15,javascript-koans,Koans to learn Javascript,2213,JavaScript,"{'JavaScript': 93.81, 'CSS': 4.23, 'HTML': 1.81, 'Shell': 0.14}",https://github.com/mrdavidlaing/javascript-koans
16,WebViewJavascriptBridge,An iOS/OSX bridge for sending messages between Obj-C and JavaScript in UIWebViews/WebViews,13577,Objective-C,"{'Objective-C': 60.84, 'Shell': 18.67, 'Swift': 12.4, 'HTML': 4.98, 'Ruby': 1.57, 'Makefile': 1.22, 'C': 0.32}",https://github.com/marcuswestin/WebViewJavascriptBridge
17,javascript-patterns,JavaScript Patterns,9095,HTML,"{'HTML': 94.07, 'CSS': 5.5, 'JavaScript': 0.43}",https://github.com/shichuan/javascript-patterns
18,jquery,jQuery JavaScript Library,54626,JavaScript,"{'JavaScript': 93.85, 'HTML': 5.32, 'PHP': 0.65, 'CSS': 0.18}",https://github.com/jquery/jquery
19,javascript,Exercism exercises in JavaScript.,242,JavaScript,"{'JavaScript': 98.84, 'Shell': 0.87, 'PowerShell': 0.29}",https://github.com/exercism/javascript
20,en.javascript.info,Modern JavaScript Tutorial ,13465,HTML,"{'HTML': 90.27, 'JavaScript': 7.35, 'CSS': 2.35, 'PHP': 0.03}",https://github.com/javascript-tutorial/en.javascript.info
21,javascript,Universally Unique Lexicographically Sortable Identifier,1556,JavaScript,"{'JavaScript': 61.4, 'TypeScript': 38.6}",https://github.com/ulid/javascript
22,javascript,刘宾的博客->前端相关。 ,194,JavaScript,"{'JavaScript': 99.95, 'Python': 0.05}",https://github.com/liubin915249126/javascript
23,javascript,,627,,{},https://github.com/uprock/javascript
24,Javascript,Javascript : Test-Driven Learning,656,JavaScript,{'JavaScript': 100.0},https://github.com/MartinChavez/Javascript
25,JavaScript,,329,,{},https://github.com/shihyu/JavaScript
26,javascripting,Learn JavaScript by adventuring around in the terminal.,2300,JavaScript,{'JavaScript': 100.0},https://github.com/workshopper/javascripting
27,learn-javascript,JavaScript全栈教程参考源码,1527,,{},https://github.com/michaelliao/learn-javascript
28,javascript-algorithms,💻 JavaScript implementations of computer science algorithms,6630,JavaScript,{'JavaScript': 100.0},https://github.com/mgechev/javascript-algorithms
29,awesome-javascript-cn,JavaScript 资源大全中文版，内容包括：包管理器、加载器、测试框架、运行器、QA、MVC框架和库、模板引擎等。由「开源前哨」和「前端大全」微信公号团队维护更新。,6857,,{},https://github.com/jobbole/awesome-javascript-cn
