,Repository Name,Description,Stars,Programming Language,Other Language,URL
0,RProgrammingForResearch,,69,HTML,"{'HTML': 99.3, 'TeX': 0.56, 'R': 0.1, 'CSS': 0.04, 'Shell': 0.0}",https://github.com/geanders/RProgrammingForResearch
1,RProgramming,R Programming Course,2,R,{'R': 100.0},https://github.com/xinhongli/RProgramming
2,RProgrammingWorkshop,Materials for the R Programming Workshop that I teach at The University of Chicago,34,R,{'R': 100.0},https://github.com/nvenkataraman1/RProgrammingWorkshop
3,Rprogramming21_student,This repo contains the notebooks needed for the R-part of the course Programming for Economists 2020/2021,6,,{},https://github.com/misjamikkers/Rprogramming21_student
4,RProgrammingForExcelUsers,"Public GitHub repo for the YouTube video series ""R Programming for Excel Users"" by Dave Langer.",0,R,{'R': 100.0},https://github.com/petrichorcode/RProgrammingForExcelUsers
5,RProgramming,"Coursera ""R Programming"" course",1,R,{'R': 100.0},https://github.com/kfeoktistoff/RProgramming
6,RProgramming,,0,R,{'R': 100.0},https://github.com/mbhushan/RProgramming
7,totalcensus,Extract census data from summary files with R,40,R,{'R': 100.0},https://github.com/GL-Li/totalcensus
8,R-Examples,R-Examples for Class MET-CS555,14,R,"{'R': 82.29, 'Jupyter Notebook': 9.53, 'HTML': 8.19}",https://github.com/kiat/R-Examples
9,rprogramming,Project repository for the Coursera R Programming course.,0,R,{'R': 100.0},https://github.com/bxs6198/rprogramming
10,Twitter-Sentiment-Analysis-using-R-shiny,Project based on text mining: ,7,R,{'R': 100.0},https://github.com/mbodke/Twitter-Sentiment-Analysis-using-R-shiny
11,Data-science-with-R,Data science training for the staff of Rwanda Revenue Authority (RRA) repository,2,TeX,"{'TeX': 63.56, 'R': 36.44}",https://github.com/gbganalyst/Data-science-with-R
12,Gender-Voice-Recognition_Machine-Learning,"Supervised Machine Learning Classification Algorithms using Python and R (Logistic Regression, Decision Tree, Random Forest, SVM)",8,Jupyter Notebook,"{'Jupyter Notebook': 99.1, 'R': 0.9}",https://github.com/singhamanraj/Gender-Voice-Recognition_Machine-Learning
13,Indonesia-Public-Election-Twitter-Sentiment-Analysis,Identify topics to be discussed against presidential candidates Joko Widodo and Prabowo Subianto after the 2019 General Election on the Twitter platform,3,R,{'R': 100.0},https://github.com/audhiaprilliant/Indonesia-Public-Election-Twitter-Sentiment-Analysis
14,Lecture2Assignment1,RProgramming,0,R,{'R': 100.0},https://github.com/g9564507/Lecture2Assignment1
15,RProgramming,RProgramming,0,R,{'R': 100.0},https://github.com/srinivas-w/RProgramming
16,rprogramming,It contains my exercise of de R Programming course,0,,{},https://github.com/steffz/rprogramming
17,rprogramming,Curso Programação em R: do básico à documentos dinâmicos,1,CSS,"{'CSS': 86.77, 'Shell': 7.2, 'R': 6.03}",https://github.com/jreduardo/rprogramming
18,taor,rprogramming,0,,{},https://github.com/DaidoT/taor
19,Rprogramming,Rprogramming,0,R,{'R': 100.0},https://github.com/jfro1/Rprogramming
20,RProgramming,RProgramming,0,,{},https://github.com/navneetsrivastava/RProgramming
21,Rprogramming,Rprogramming,0,,{},https://github.com/krystallam/Rprogramming
22,MakeCacheMatrix,Rprogramming,0,R,{'R': 100.0},https://github.com/Suparna07/MakeCacheMatrix
23,RProgramming,RProgramming,0,Rebol,{'Rebol': 100.0},https://github.com/thegeeksam/RProgramming
24,Rprogramming,Rprogramming,0,R,{'R': 100.0},https://github.com/diejhey/Rprogramming
25,pgm2,Rprogramming,0,R,{'R': 100.0},https://github.com/blessam3000/pgm2
26,RProgramming,RProgramming,0,,{},https://github.com/harshalkreddy/RProgramming
27,Rprogramming,Rprogramming,0,,{},https://github.com/yang5313876/Rprogramming
28,RProgramming,RProgramming,0,,{},https://github.com/sambasivain/RProgramming
29,RProgramming,RProgramming,0,,{},https://github.com/narsivc/RProgramming
