,Title,URL,Views,Votes
47,I can't install modules on python 3,/questions/66565255/i-cant-install-modules-on-python-3,32,0
16,python str.replace does not work with '\' [duplicate],/questions/66565716/python-str-replace-does-not-work-with,26,0
38,How can you make an if statement that checks if input is a str/int,/questions/66565415/how-can-you-make-an-if-statement-that-checks-if-input-is-a-str-int,25,0
45,Pyyaml not reading (non-ascii) character correctly (“§”),/questions/66565304/pyyaml-not-reading-non-ascii-character-correctly,23,1
17,How to create find all combinations of a nested list [duplicate],/questions/66565688/how-to-create-find-all-combinations-of-a-nested-list,21,-1
9,"remove special character from string, not replace them with space",/questions/66565800/remove-special-character-from-string-not-replace-them-with-space,20,0
39,Python : Make Unique Values in One Column to multiple columns,/questions/66565408/python-make-unique-values-in-one-column-to-multiple-columns,19,0
30,Moving row cell to column if index is same,/questions/66565531/moving-row-cell-to-column-if-index-is-same,19,1
19,Dealing with numeric range-like data in a dataframe,/questions/66565666/dealing-with-numeric-range-like-data-in-a-dataframe,17,0
36,How can I rate-limit my Flask application per user?,/questions/66565435/how-can-i-rate-limit-my-flask-application-per-user,17,1
48,How to change the interval between two iterations in a task,/questions/66565246/how-to-change-the-interval-between-two-iterations-in-a-task,16,0
34,finding all the indices of an array occuring in other arrays in python,/questions/66565471/finding-all-the-indices-of-an-array-occuring-in-other-arrays-in-python,15,1
24,"NameError: name '_private' is not defined, when import skimage",/questions/66565593/nameerror-name-private-is-not-defined-when-import-skimage,15,0
8,how to return a tuple from a dictionary that satisfy True value parameter in Python,/questions/66565801/how-to-return-a-tuple-from-a-dictionary-that-satisfy-true-value-parameter-in-pyt,15,-1
14,Taking an element from a list/variable,/questions/66565765/taking-an-element-from-a-list-variable,14,0
37,"how to fix: TypeError: expected str, bytes or os.PathLike object, not builtin_function_or_method",/questions/66565431/how-to-fix-typeerror-expected-str-bytes-or-os-pathlike-object-not-builtin-fu,14,0
32,How to minmize interpolating function?,/questions/66565485/how-to-minmize-interpolating-function,13,0
21,Concatenate records from a file in Python,/questions/66565637/concatenate-records-from-a-file-in-python,13,1
25,How do you combine different SQL queries into a single dataframe (Python)?,/questions/66565571/how-do-you-combine-different-sql-queries-into-a-single-dataframe-python,13,0
31,How to Handel Zero with Decimal figure in pandas Dataframe,/questions/66565524/how-to-handel-zero-with-decimal-figure-in-pandas-dataframe,12,0
44,Date in the wrong format [dataframe python] [duplicate],/questions/66565308/date-in-the-wrong-format-dataframe-python,11,0
3,How to remove empty rows in csv using pandas?,/questions/66565862/how-to-remove-empty-rows-in-csv-using-pandas,11,0
