,Title,URL,Views,Votes
11,Why use destructuring here?,https://stackoverflow.com/questions/66673021/why-use-destructuring-here,36,1
33,"JavaScript toggle - show some, and remove some text",https://stackoverflow.com/questions/66672620/javascript-toggle-show-some-and-remove-some-text,35,0
39,Javascript If else only executing else statement [duplicate],https://stackoverflow.com/questions/66672559/javascript-if-else-only-executing-else-statement,31,0
35,How can I sort students by first and last name while ignoring apostrophe in their name?,https://stackoverflow.com/questions/66672601/how-can-i-sort-students-by-first-and-last-name-while-ignoring-apostrophe-in-thei,31,0
28,Is hoisting of 'let' variables different for local and global scopes?,https://stackoverflow.com/questions/66672695/is-hoisting-of-let-variables-different-for-local-and-global-scopes,28,2
10,multiple selects select the same option,https://stackoverflow.com/questions/66673023/multiple-selects-select-the-same-option,27,0
14,Looping the the data from an Api,https://stackoverflow.com/questions/66672954/looping-the-the-data-from-an-api,27,0
49,how to not print html tag and css in input value using javascript?,https://stackoverflow.com/questions/66672310/how-to-not-print-html-tag-and-css-in-input-value-using-javascript,24,0
17,"After form button is clicked, hide the button div and reveal a hidden div",https://stackoverflow.com/questions/66672898/after-form-button-is-clicked-hide-the-button-div-and-reveal-a-hidden-div,22,0
18,"How to prevent state updates from a function, running an async call",https://stackoverflow.com/questions/66672887/how-to-prevent-state-updates-from-a-function-running-an-async-call,21,0
12,My select component dont't perform onChange (React.js),https://stackoverflow.com/questions/66672995/my-select-component-dontt-perform-onchange-react-js,20,1
36,Cannot setState after receiving user from service provider,https://stackoverflow.com/questions/66672598/cannot-setstate-after-receiving-user-from-service-provider,20,0
21,Value undefined out of range for undefined options property undefined,https://stackoverflow.com/questions/66672831/value-undefined-out-of-range-for-undefined-options-property-undefined,19,0
5,Equalize variable in .then JavaScript [closed],https://stackoverflow.com/questions/66673180/equalize-variable-in-then-javascript,19,-2
30,How to display decimal numbers with dot instead of comma in HTML Input tag type=“number” in Google Chrome,https://stackoverflow.com/questions/66672662/how-to-display-decimal-numbers-with-dot-instead-of-comma-in-html-input-tag-type,18,0
4,jQuery .each function with if condition works for first element,https://stackoverflow.com/questions/66673190/jquery-each-function-with-if-condition-works-for-first-element,18,0
23,Dynamic embed URL,https://stackoverflow.com/questions/66672788/dynamic-embed-url,18,0
27,how to unminify CSS in jquery? [duplicate],https://stackoverflow.com/questions/66672707/how-to-unminify-css-in-jquery,17,-2
24,How to directly print to network thermal printer using javascript?,https://stackoverflow.com/questions/66672747/how-to-directly-print-to-network-thermal-printer-using-javascript,17,0
47,Javascript textarea line break into database for result as JSON String,https://stackoverflow.com/questions/66672338/javascript-textarea-line-break-into-database-for-result-as-json-string,16,0
15,Alternative for Promise.allSettled,https://stackoverflow.com/questions/66672931/alternative-for-promise-allsettled,15,-1
22,How to compare two arrays and from the first Array delete all the values ​they have in the second array using JS? [duplicate],https://stackoverflow.com/questions/66672794/how-to-compare-two-arrays-and-from-the-first-array-delete-all-the-values-they-h,14,0
8,How to create pagination functionality in vanilla Javascript?,https://stackoverflow.com/questions/66673105/how-to-create-pagination-functionality-in-vanilla-javascript,13,-3
3,How can I prevent CSS animations until the page scrolls to a certain fragment?,https://stackoverflow.com/questions/66673209/how-can-i-prevent-css-animations-until-the-page-scrolls-to-a-certain-fragment,13,1
6,If check on property string in Javascript object,https://stackoverflow.com/questions/66673173/if-check-on-property-string-in-javascript-object,12,0
42,how recovery of multiple downloaded image in formData with express?,https://stackoverflow.com/questions/66672526/how-recovery-of-multiple-downloaded-image-in-formdata-with-express,12,0
31,Prevent XSS attack on the field with auto generated password,https://stackoverflow.com/questions/66672639/prevent-xss-attack-on-the-field-with-auto-generated-password,10,-3
34,A problem with the Blogger JavaScript code,https://stackoverflow.com/questions/66672614/a-problem-with-the-blogger-javascript-code,10,0
7,How to open different collapse buttons in react-bootstrap?,https://stackoverflow.com/questions/66673144/how-to-open-different-collapse-buttons-in-react-bootstrap,9,0
19,"Convert framebuffer dump to image(bmp, png, etc.)",https://stackoverflow.com/questions/66672867/convert-framebuffer-dump-to-imagebmp-png-etc,9,0
16,Custom sass variables for vuetify do not work,https://stackoverflow.com/questions/66672901/custom-sass-variables-for-vuetify-do-not-work,9,0
46,React Multi-page Recipe App Design - Generate and Save HTML Pages Dynamically,https://stackoverflow.com/questions/66672346/react-multi-page-recipe-app-design-generate-and-save-html-pages-dynamically,9,0
41,how google lighthouse calculates javascript evaluation time and why it varies by a huge margin for same scripts on different environments,https://stackoverflow.com/questions/66672557/how-google-lighthouse-calculates-javascript-evaluation-time-and-why-it-varies-by,8,0
40,Vue JS - Reactive phone number formatting,https://stackoverflow.com/questions/66672558/vue-js-reactive-phone-number-formatting,8,0
48,"Warning: Failed prop type: Invalid prop `data` of type `object` supplied to `PaginationDataProvider`, expected `array`",https://stackoverflow.com/questions/66672314/warning-failed-prop-type-invalid-prop-data-of-type-object-supplied-to-pag,8,0
44,How to parse OData to JSON?,https://stackoverflow.com/questions/66672401/how-to-parse-odata-to-json,8,0
13,ASP.NET Pass model data to site.js,https://stackoverflow.com/questions/66672970/asp-net-pass-model-data-to-site-js,8,-1
43,How can I smoothly rotate my character in babylon.js?,https://stackoverflow.com/questions/66672522/how-can-i-smoothly-rotate-my-character-in-babylon-js,8,0
32,TextField Accepting Only Valid URL or Valid IP Adress Regex,https://stackoverflow.com/questions/66672624/textfield-accepting-only-valid-url-or-valid-ip-adress-regex,7,-1
29,Error: Cannot find module './util/eventLoader',https://stackoverflow.com/questions/66672692/error-cannot-find-module-util-eventloader,7,0
26,how can i fix this error in date format using date-fns and vue.js / vuetify,https://stackoverflow.com/questions/66672735/how-can-i-fix-this-error-in-date-format-using-date-fns-and-vue-js-vuetify,7,0
1,"How to retain data from a HTTPPost action on a PartialView form, to use in a HTTPGet action on another PartialView [ASP.NET]",https://stackoverflow.com/questions/66673253/how-to-retain-data-from-a-httppost-action-on-a-partialview-form-to-use-in-a-htt,7,0
20,Record and play streaming audio at same time in browser,https://stackoverflow.com/questions/66672858/record-and-play-streaming-audio-at-same-time-in-browser,6,0
38,How do I make copy of spreadsheet and save it to particular folder then open the copy for edit,https://stackoverflow.com/questions/66672569/how-do-i-make-copy-of-spreadsheet-and-save-it-to-particular-folder-then-open-the,6,0
25,tooltip to work for mouse hover and click both - ngbootstrap,https://stackoverflow.com/questions/66672741/tooltip-to-work-for-mouse-hover-and-click-both-ngbootstrap,5,0
9,Get cursor position to show dropdown in @kolkov/angular-editor,https://stackoverflow.com/questions/66673096/get-cursor-position-to-show-dropdown-in-kolkov-angular-editor,5,0
2,Moodle Web Service how to get itemid,https://stackoverflow.com/questions/66673227/moodle-web-service-how-to-get-itemid,5,0
45,“The node identifier for {machine_id} is {id}” Error while executing node.js program,https://stackoverflow.com/questions/66672368/the-node-identifier-for-machine-id-is-id-error-while-executing-node-js-pro,4,0
37,Trailing Slash in Sails JS,https://stackoverflow.com/questions/66672594/trailing-slash-in-sails-js,3,0
0,Loqate Address Verifier - Detect Zero Credit OnLoad?,https://stackoverflow.com/questions/66673310/loqate-address-verifier-detect-zero-credit-onload,2,0
