,title,url,views,votes
13,How to create a nested directory depending on the name of the folder in Python [closed],/questions/66315666/how-to-create-a-nested-directory-depending-on-the-name-of-the-folder-in-python,32,0
28,Pandas Dataframe comparison,/questions/66315532/pandas-dataframe-comparison,26,0
15,Find graphs intersection python,/questions/66315662/find-graphs-intersection-python,22,1
49,trouble retrieving an email from an username from a text document,/questions/66315175/trouble-retrieving-an-email-from-an-username-from-a-text-document,21,1
14,Sync change of variables between files python,/questions/66315665/sync-change-of-variables-between-files-python,21,1
43,Pygame - How to Fill an object gradually from bottom to top?,/questions/66315311/pygame-how-to-fill-an-object-gradually-from-bottom-to-top,20,2
16,"ModuleNoFound Error ,while using num2words",/questions/66315656/modulenofound-error-while-using-num2words,18,0
19,compress string in python without using any inbuilt functions [closed],/questions/66315640/compress-string-in-python-without-using-any-inbuilt-functions,17,-3
48,Exclude some tests by default,/questions/66315234/exclude-some-tests-by-default,16,0
47,Unpivot multiple columns to rows in data frame using pyspark,/questions/66315247/unpivot-multiple-columns-to-rows-in-data-frame-using-pyspark,16,0
41,object method invokation is not possible,/questions/66315386/object-method-invokation-is-not-possible,15,0
38,"Error invalid input syntax for type integer: "" in PostgreSQL",/questions/66315461/error-invalid-input-syntax-for-type-integer-in-postgresql,15,-1
35,How do I copy automatic to the clipboard using Python…? [closed],/questions/66315479/how-do-i-copy-automatic-to-the-clipboard-using-python,14,-3
45,How do I fix a “parameter unfilled” error?,/questions/66315291/how-do-i-fix-a-parameter-unfilled-error,13,1
36,What is the name of the dynamically generated elements?,/questions/66315474/what-is-the-name-of-the-dynamically-generated-elements,13,0
5,Error on this code: NoneType object is not callable,/questions/66315920/error-on-this-code-nonetype-object-is-not-callable,12,-1
12,How to create an environment in conda?,/questions/66315840/how-to-create-an-environment-in-conda,11,0
24,How to set notification system in Django?,/questions/66315591/how-to-set-notification-system-in-django,11,0
8,Python Tkinter window name on bottom bar always shows “Tk”,/questions/66315885/python-tkinter-window-name-on-bottom-bar-always-shows-tk,10,-1
20,how can I see the progress bar of pool.map?,/questions/66315618/how-can-i-see-the-progress-bar-of-pool-map,10,0
33,"Django turning Async, is it enough to replace the complete Async framewoks",/questions/66315496/django-turning-async-is-it-enough-to-replace-the-complete-async-framewoks,10,0
4,Split a sentence by words just as BERT Tokenizer would do?,/questions/66315926/split-a-sentence-by-words-just-as-bert-tokenizer-would-do,10,0
26,socket.connect question about parenthesis in python,/questions/66315568/socket-connect-question-about-parenthesis-in-python,9,1
34,DLL load failed while importing cv2 Not enough memory resources are available to process this command,/questions/66315487/dll-load-failed-while-importing-cv2-not-enough-memory-resources-are-available-to,9,0
27,matplolib plotting different y values for same x axis values,/questions/66315552/matplolib-plotting-different-y-values-for-same-x-axis-values,9,-1
