,title,url,views,votes
44,always round to 2 decimals using math.round in c# [closed],/questions/66314126/always-round-to-2-decimals-using-math-round-in-c-sharp,51,0
32,Convert Json String to Datatable in C#,/questions/66314536/convert-json-string-to-datatable-in-c-sharp,39,-1
47,Why string doesn't have a Equal method that takes a culture parameter? [closed],/questions/66313908/why-string-doesnt-have-a-equal-method-that-takes-a-culture-parameter,38,-4
15,Compare string to List of strings ignoring case using Linq [duplicate],/questions/66315328/compare-string-to-list-of-strings-ignoring-case-using-linq,37,0
22,Is it possible to start the program on a non-static method?,/questions/66314958/is-it-possible-to-start-the-program-on-a-non-static-method,35,1
21,Check if char has no numbers from 0-9,/questions/66314961/check-if-char-has-no-numbers-from-0-9,35,-2
33,How to fill a datagridView with my StoredProcedure on load,/questions/66314486/how-to-fill-a-datagridview-with-my-storedprocedure-on-load,33,0
45,Chess Game with no default piece positions to start the game C# [closed],/questions/66314040/chess-game-with-no-default-piece-positions-to-start-the-game-c-sharp,30,-2
6,How can I set response header in httpclient in C#?,/questions/66315649/how-can-i-set-response-header-in-httpclient-in-c,27,0
8,Get the values of a custom control,/questions/66315549/get-the-values-of-a-custom-control,27,0
18,"C# asp.net core webapi throwing ""The JSON value could not be converted to System.Nullable`1[System.DateTime]",/questions/66315073/c-sharp-asp-net-core-webapi-throwing-the-json-value-could-not-be-converted-to-s,25,-3
42,Unnecessary using statements on IDisposable objects [closed],/questions/66314188/unnecessary-using-statements-on-idisposable-objects,24,0
28,C# - Unity - Problem with Parameter passing,/questions/66314732/c-sharp-unity-problem-with-parameter-passing,23,0
25,How to make the Rx callbacks run on the ThreadPool?,/questions/66314910/how-to-make-the-rx-callbacks-run-on-the-threadpool,22,1
13,Thread.Join method does not always return the same value when the thread has already terminated (.NET 5 / Core),/questions/66315427/thread-join-method-does-not-always-return-the-same-value-when-the-thread-has-alr,20,3
16,Turning off Virus and Threat Protection programmatically even when the Tamper Protection is turned on,/questions/66315302/turning-off-virus-and-threat-protection-programmatically-even-when-the-tamper-pr,20,-1
36,How to make VS code support unity statements,/questions/66314310/how-to-make-vs-code-support-unity-statements,20,-2
48,Whats the correct way to get output for this Powershell in C#,/questions/66313904/whats-the-correct-way-to-get-output-for-this-powershell-in-c-sharp,20,0
40,C# HwndSource Capture Mouse Events and Keyboard strokes,/questions/66314203/c-sharp-hwndsource-capture-mouse-events-and-keyboard-strokes,19,0
