,title,url,views,votes
49,How to log HTML input field data to the console? [closed],/questions/66313170/how-to-log-html-input-field-data-to-the-console,46,-3
32,Why does my function come up as 'undefined'?,/questions/66314231/why-does-my-function-come-up-as-undefined,43,0
17,I need a way to remove some strings in a link,/questions/66315107/i-need-a-way-to-remove-some-strings-in-a-link,42,1
26,How to get multiple items in localstorage,/questions/66314555/how-to-get-multiple-items-in-localstorage,34,1
47,Flutter fetch data from img src with html parse,/questions/66313456/flutter-fetch-data-from-img-src-with-html-parse,34,0
48,I want to add an icon which shows some text when we mouseover it in HTML,/questions/66313347/i-want-to-add-an-icon-which-shows-some-text-when-we-mouseover-it-in-html,31,-6
20,How to get object value when changed select option - Angular9,/questions/66314747/how-to-get-object-value-when-changed-select-option-angular9,30,0
8,How can i pass data from one HTML page to another using JavaScript,/questions/66315610/how-can-i-pass-data-from-one-html-page-to-another-using-javascript,30,1
38,Remove event listener from custom-elements,/questions/66313978/remove-event-listener-from-custom-elements,29,0
28,How to style a new added HTML element,/questions/66314518/how-to-style-a-new-added-html-element,28,0
12,How do i evenly space out hyperlink text vertically in html?,/questions/66315356/how-do-i-evenly-space-out-hyperlink-text-vertically-in-html,26,1
31,How can i make my web page height and width responsive in all screens [closed],/questions/66314333/how-can-i-make-my-web-page-height-and-width-responsive-in-all-screens,26,-3
37,Array elements in numbered list not working JS/HTML,/questions/66313999/array-elements-in-numbered-list-not-working-js-html,26,0
39,Image not appearing - Bootstrap NavBar,/questions/66313843/image-not-appearing-bootstrap-navbar,26,-2
19,CSS Grid problem: Bottom elements end above top elements,/questions/66314841/css-grid-problem-bottom-elements-end-above-top-elements,24,0
9,not able to get accurate output from php function,/questions/66315546/not-able-to-get-accurate-output-from-php-function,23,0
33,Double Booking issue [closed],/questions/66314208/double-booking-issue,23,-2
10,React How to trigger page reload on state change,/questions/66315482/react-how-to-trigger-page-reload-on-state-change,23,0
36,Input with innerHTML Angular 2,/questions/66314009/input-with-innerhtml-angular-2,22,1
14,How can I fixed blur image issue when resize image using CSS?,/questions/66315310/how-can-i-fixed-blur-image-issue-when-resize-image-using-css,20,0
43,Html Table get row id by cell value,/questions/66313645/html-table-get-row-id-by-cell-value,19,0
16,how to display the result of multiple html pages into one single page?,/questions/66315115/how-to-display-the-result-of-multiple-html-pages-into-one-single-page,18,-1
2,Text inside search bar searches on google [closed],/questions/66315759/text-inside-search-bar-searches-on-google,18,-2
15,Text scaling not applying on webpage,/questions/66315158/text-scaling-not-applying-on-webpage,17,0
4,how to name classes in CSS of table,/questions/66315725/how-to-name-classes-in-css-of-table,17,0
46,Notice: Undefined index: submit line 15 [duplicate],/questions/66313489/notice-undefined-index-submit-line-15,16,-1
30,I'm trying to copy the html website but whenever I try it only gives me a portion of it,/questions/66314377/im-trying-to-copy-the-html-website-but-whenever-i-try-it-only-gives-me-a-portio,16,1
41,Accidentally Deleted </script> in Custom HTML Field on Cargo Collective,/questions/66313788/accidentally-deleted-script-in-custom-html-field-on-cargo-collective,16,0
44,some unwanted scripts load on live server but on localhost it works fine [closed],/questions/66313554/some-unwanted-scripts-load-on-live-server-but-on-localhost-it-works-fine,14,-3
