,Tweet Content,User Name,Tweet Id,HashTags,CreatedAt,Retweet Count,Favourite Count,Image URL,Embedded URL
0,"If there is communication, one will appreciate intent &amp; tech to deep learn meaning of thought #Bitcoin 
 https://t.co/aDZAmp41Im
 #MachineLearning #AI #100DaysOfCode #Python #DEVCommunity #IoT #flutter #javascript #Serverless  #WomenWhoCode #CyberSecurity #RStats #DataScience #IP",Iamdataqueen,1362187561137938442,"['Bitcoin', 'MachineLearning', 'AI', '100DaysOfCode', 'Python', 'DEVCommunity', 'IoT', 'flutter', 'javascript', 'Serverless', 'WomenWhoCode', 'CyberSecurity', 'RStats', 'DataScience', 'IP']",2021-02-17 23:49:57+08:00,65,24,no images,['https://t.co/aDZAmp41Im']
1,"Programming Machine Learning: From Coding to Deep Learning

Llink - https://t.co/hqvc11mJPI

#MachineLearning #ML #100DaysOfCode #CodeNewbies #WomenWhoCode #DEVCommunity #Robotics #DataScience #SoftwareEngineering #AI #ArtificialIntelligence #programming",rasangarocks,1362910623693111297,"['MachineLearning', 'ML', '100DaysOfCode', 'CodeNewbies', 'WomenWhoCode', 'DEVCommunity', 'Robotics', 'DataScience', 'SoftwareEngineering', 'AI', 'ArtificialIntelligence', 'programming']",2021-02-19 23:43:09+08:00,61,38,no images,['https://t.co/hqvc11mJPI']
2,"Fast flying from France to UK. #DEVCommunity #Programming #IoT #IoTPL #AI
#100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G    #innovation #drones #Emergency #robotics #SocialMedia https://t.co/ra237JfHi5",Innovat78455398,1362189907872018432,"['DEVCommunity', 'Programming', 'IoT', 'IoTPL', 'AI', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'innovation', 'drones', 'Emergency', 'robotics', 'SocialMedia']",2021-02-17 23:59:16+08:00,31,13,no images,['https://t.co/ra237JfHi5']
3,"Sometimes Solution is near vicinity. #Lessonlearnt be aware and restoration is KEY #Rightdecision
https://t.co/Xr38JA1wYq
#MachineLearning #AI #100DaysOfCode #Python #DEVCommunity #IoT #flutter #javascript #Serverless  #WomenWhoCode #CyberSecurity #RStats #DataScience https://t.co/ni46Mbx4h3",Iamdataqueen,1362549291881914370,"['Lessonlearnt', 'Rightdecision', 'MachineLearning', 'AI', '100DaysOfCode', 'Python', 'DEVCommunity', 'IoT', 'flutter', 'javascript', 'Serverless', 'WomenWhoCode', 'CyberSecurity', 'RStats', 'DataScience']",2021-02-18 23:47:20+08:00,30,15,no images,"['https://t.co/Xr38JA1wYq', 'https://t.co/ni46Mbx4h3']"
4,"JavaScript Tip: Null, Undefined, Empty Checks

https://t.co/ekl2Ld2iUR

@JavaScriptKicks @codejobs @jquery_rain @JavaScriptFeed @javascriptflx @TheJSDev @The_React_Dev @TheAngularDev

 #DEVCommunity #100DaysOfCode #CodeNewbie #Angular  #reactjs #webdev #programming #jQuery https://t.co/wp5qa0E9Ky",patelatit53,1362548899299344384,"['DEVCommunity', '100DaysOfCode', 'CodeNewbie', 'Angular', 'reactjs', 'webdev', 'programming', 'jQuery']",2021-02-18 23:45:47+08:00,27,16,['http://pbs.twimg.com/media/Eui-6DhXMAch6Zf.png'],"['https://t.co/ekl2Ld2iUR', 'https://t.co/wp5qa0E9Ky']"
5,"A Smarter Way to Learn JavaScript: The new approach that uses technology to cut your effort in half

Link - https://t.co/Uuo7T8AQ0e

#100DaysOfCode #CodeNewbies #WomenWhoCode #DEVCommunity #DevOps #javascript #jQuery #webdesign #webdev #programming",rasangarocks,1362185339800981506,"['100DaysOfCode', 'CodeNewbies', 'WomenWhoCode', 'DEVCommunity', 'DevOps', 'javascript', 'jQuery', 'webdesign', 'webdev', 'programming']",2021-02-17 23:41:07+08:00,25,16,no images,['https://t.co/Uuo7T8AQ0e']
6,"These Are 8 Rewarding and Highly Sought-After Tech Careers via @catherineadenle https://t.co/xPXrAL8i2N 

#ArtificialIntelligence #DataScience #Python  #100DaysOfCode #DEVCommunity #IoT #womenintech  #CyberSecurity #tech #DeepLearning #startups #Innovation",con2013_ops,1363633671991943169,"['ArtificialIntelligence', 'DataScience', 'Python', '100DaysOfCode', 'DEVCommunity', 'IoT', 'womenintech', 'CyberSecurity', 'tech', 'DeepLearning', 'startups', 'Innovation']",2021-02-21 23:36:17+08:00,25,9,no images,['https://t.co/xPXrAL8i2N']
7,"Doing the hard thing is how you win, how you grow, how you end up getting the most out of life.
Don't Quit.
Great Things Takes Time

#100DaysOfCode #javascript #CodeNewbie #code #coding #Python #HTML #CSS #DEVCommunityNG #DEVCommunity #Developers",LBD_codes,1364001220734689280,"['100DaysOfCode', 'javascript', 'CodeNewbie', 'code', 'coding', 'Python', 'HTML', 'CSS', 'DEVCommunityNG', 'DEVCommunity', 'Developers']",2021-02-22 23:56:47+08:00,23,12,no images,[]
8,"10 Effective Ways to Manage Your Career in a Tech-Driven World via @catherineadenle https://t.co/tTxt411JHB 

#DataScience #3D #VR #automation #100DaysOfCode #DEVCommunity #womenintech #CyberSecurity #tech #Learning #Innovation #analytics #cloudcomputing",con2013_ops,1363636359236366336,"['DataScience', '3D', 'VR', 'automation', '100DaysOfCode', 'DEVCommunity', 'womenintech', 'CyberSecurity', 'tech', 'Learning', 'Innovation', 'analytics', 'cloudcomputing']",2021-02-21 23:46:57+08:00,23,10,no images,['https://t.co/tTxt411JHB']
9,"""Build a CRUD application using Django and React"" by @koladev32 #DEVCommunity #python #100DaysOfCode  https://t.co/fdNnP6pV9B",koladev32,1363271433430962191,"['DEVCommunity', 'python', '100DaysOfCode']",2021-02-20 23:36:52+08:00,21,9,no images,['https://t.co/fdNnP6pV9B']
10,"The valley of disappointment.

#100DaysOfCode #DEVCommunity #programmerlife #Coding #development https://t.co/Phc43zOadI",jainsanmati846,1363275264210264068,"['100DaysOfCode', 'DEVCommunity', 'programmerlife', 'Coding', 'development']",2021-02-20 23:52:06+08:00,20,10,['http://pbs.twimg.com/media/EutTWs7UYAEYFP3.jpg'],['https://t.co/Phc43zOadI']
11,"NEW #SaveOnSkills Deals on Udemy 

GET All Courses just for $11.99 

Live Link: https://t.co/JeRoDPt4u6 

#100DaysOfCode #WomenWhoCode #CSS #HTML #Programming #JavaScript #Developer #Coding #JS #Coder #FullStack #FrontEnd #Angular #ReactJS #Redux #NodeJS #VueJS #DEVCommunity https://t.co/QiitfrQtwj",NewCoupon2,1363634345332772866,"['SaveOnSkills', '100DaysOfCode', 'WomenWhoCode', 'CSS', 'HTML', 'Programming', 'JavaScript', 'Developer', 'Coding', 'JS', 'Coder', 'FullStack', 'FrontEnd', 'Angular', 'ReactJS', 'Redux', 'NodeJS', 'VueJS', 'DEVCommunity']",2021-02-21 23:38:57+08:00,19,9,['http://pbs.twimg.com/media/EuyaKjbVcAEWQ1G.png'],"['https://t.co/JeRoDPt4u6', 'https://t.co/QiitfrQtwj']"
12,"Any Data Science project starts with data. Read about 6 Web Scraping Tools That Make Collecting easy and make your way in #DataScience 

https://t.co/E7icyO76lW…

#100DaysOfCode #DEVCommunity #javascript #cybersecurity #CodeNewbie #DataScientist #dataviz #data",WebDataRocks,1363999495265136641,"['DataScience', '100DaysOfCode', 'DEVCommunity', 'javascript', 'cybersecurity', 'CodeNewbie', 'DataScientist', 'dataviz', 'data']",2021-02-22 23:49:56+08:00,18,9,no images,['https://t.co/E7icyO76lW…']
13,"Would you like to attend the &lt;React JS/&gt; Case Study Festival with me?. Well... See you there 🥂.
#100DaysOfCode #reactjs #coding #programming #DevCommunity #BlackTechTwitter 
https://t.co/vavYH8IdX3",Emmaccen,1362910887867211780,"['100DaysOfCode', 'reactjs', 'coding', 'programming', 'DevCommunity', 'BlackTechTwitter']",2021-02-19 23:44:11+08:00,17,8,no images,['https://t.co/vavYH8IdX3']
14,"""Implementing Feature Flags in Angular is easier than you thought it would be!"" by Adithya Sreyaj #DEVCommunity #webdev #javascript #TypeScript https://t.co/P1dDxQuLHE",mwycliffe_dev,1363269760146952194,"['DEVCommunity', 'webdev', 'javascript', 'TypeScript']",2021-02-20 23:30:13+08:00,17,7,no images,['https://t.co/P1dDxQuLHE']
15,"I'm back!

#100DaysOfCode #Python #DEVCommunity

https://t.co/r1t3ksClVm",gmachadosimoes,1362913587988205569,"['100DaysOfCode', 'Python', 'DEVCommunity']",2021-02-19 23:54:55+08:00,17,7,no images,['https://t.co/r1t3ksClVm']
16,"#DEVCommunity #webdev #CodeNewbie #javascript #100DaysOfCode 
""God always takes the simplest way.""",TheFieryBot,1363638176829612033,"['DEVCommunity', 'webdev', 'CodeNewbie', 'javascript', '100DaysOfCode']",2021-02-21 23:54:11+08:00,17,6,no images,[]
17,"#DEVCommunity #webdev #CodeNewbie #javascript #100DaysOfCode 
""Our deepest wishes are whispers of our authentic selves. We must learn to respect them. We must learn to listen.""",TheFieryBot,1364000304451231756,"['DEVCommunity', 'webdev', 'CodeNewbie', 'javascript', '100DaysOfCode']",2021-02-22 23:53:09+08:00,16,5,no images,[]
18,"#DEVCommunity #webdev #CodeNewbie #javascript #100DaysOfCode 
""The world has the habit of making room for the man whose actions show that he knows where he is going.""",TheFieryBot,1362186624772276226,"['DEVCommunity', 'webdev', 'CodeNewbie', 'javascript', '100DaysOfCode']",2021-02-17 23:46:14+08:00,16,3,no images,[]
19,"Laser weapon with amazing accuracy. #DEVCommunity #Programming #IoT #IoTPL #AI
#100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G    #innovation #drones #Emergency #robotics #SocialMedia https://t.co/OEPrhCLbIJ",Innovat78455398,1364000631824945156,"['DEVCommunity', 'Programming', 'IoT', 'IoTPL', 'AI', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'innovation', 'drones', 'Emergency', 'robotics', 'SocialMedia']",2021-02-22 23:54:27+08:00,15,7,no images,['https://t.co/OEPrhCLbIJ']
20,"Day 57 | #100DaysOfCode 
Attended a virtual 👨🏾‍💻 tech meet up and connected 🤳🏾 with some new people. Heard some good information on what companies are looking for. Problem solving and solid communication seemed to standout the most. 📞
#DEVCommunity #BlackTechTwitter #BlackinTech",decadeapps,1364100756056367107,"['100DaysOfCode', 'DEVCommunity', 'BlackTechTwitter', 'BlackinTech']",2021-02-23 06:32:18+08:00,15,2,no images,[]
