,Tweet Content,User Name,Tweet Id,HashTags,CreatedAt,Retweet Count,Favourite Count,Image URL,Embedded URL
0,"3 Requirements for Successful #ArtificialIntelligence Programs 👨‍💻📃

Read here:💡
https://t.co/3az4B6KhhF

#AI #DataScience #Analytics #Statistics #Microsoft #Linux #RStats #dataviz #Python #100DaysOfCode #WomenWhoCode #Tech #CyberSecurity #nodejs #api #business #NLP #IoT",KeaneDA1,1362189181632585729,"['ArtificialIntelligence', 'AI', 'DataScience', 'Analytics', 'Statistics', 'Microsoft', 'Linux', 'RStats', 'dataviz', 'Python', '100DaysOfCode', 'WomenWhoCode', 'Tech', 'CyberSecurity', 'nodejs', 'api', 'business', 'NLP', 'IoT']",2021-02-17 23:56:23+08:00,120,36,no images,['https://t.co/3az4B6KhhF']
1,"Day 13 of #100DaysOfCode  started first project with SpaCy NLP. My lesson learn for today, the simplest mistakes are the most difficult ones to spot on. 

#python #DataScience #NLP #MachineLearning #AI #womenintech #WomenWhoCode",AnnaKondratiuk_,1362552250539900930,"['100DaysOfCode', 'python', 'DataScience', 'NLP', 'MachineLearning', 'AI', 'womenintech', 'WomenWhoCode']",2021-02-18 23:59:06+08:00,48,39,no images,[]
2,"What is Artificial Intelligence? How Does AI Work? - Business 2 Community

Read more here: https://t.co/Ni6CUPn7QJ

#ArtificialIntelligence #AI #DataScience #100DaysOfCode #Python #MachineLearning #BigData #DeepLearning #NLP #Robots #IoT",IainLJBrown,1363637924361875456,"['ArtificialIntelligence', 'AI', 'DataScience', '100DaysOfCode', 'Python', 'MachineLearning', 'BigData', 'DeepLearning', 'NLP', 'Robots', 'IoT']",2021-02-21 23:53:10+08:00,39,1,no images,['https://t.co/Ni6CUPn7QJ']
3,"AI/ML Is Dead. Long Live AI/ML 

#AI #ML #DL #datascience #cloudcomputing #cybersecurity #fintech @Fabriziobustama @Xbond49 @TheRudinGroup @ipfconline1 @HaroldSinnott @mvollmer1 @jblefevre60 @SpirosMargaris @MikeQuindazzi @Paula_Piccard @CRudinschi 

https://t.co/4lD7BHrF2h https://t.co/g70Md6jCVH",andi_staub,1363635879819030529,"['AI', 'ML', 'DL', 'datascience', 'cloudcomputing', 'cybersecurity', 'fintech']",2021-02-21 23:45:03+08:00,34,37,['http://pbs.twimg.com/media/Euybm03XIAElxnK.jpg'],"['https://t.co/4lD7BHrF2h', 'https://t.co/g70Md6jCVH']"
4,"A #MachineLearning Approach to Galaxy Properties: Redshift Mass Distributions. #BigData #Analytics #DataScience #AI #IoT #IIoT #Python #RStats #Java #JavaScript #ReactJS #CloudComputing #Serverless #DataScientist #Linux #Programming #Coding #100DaysofCode 
https://t.co/zTgJl4YHtY https://t.co/bhb1LC59Fv",gp_pulipaka,1364000540418572288,"['MachineLearning', 'BigData', 'Analytics', 'DataScience', 'AI', 'IoT', 'IIoT', 'Python', 'RStats', 'Java', 'JavaScript', 'ReactJS', 'CloudComputing', 'Serverless', 'DataScientist', 'Linux', 'Programming', 'Coding', '100DaysofCode']",2021-02-22 23:54:05+08:00,32,24,"['http://pbs.twimg.com/media/Eu3nQXyWQAMqVUN.jpg', 'http://pbs.twimg.com/media/Eu3nQtBVkAMPwPm.png', 'http://pbs.twimg.com/media/Eu3nQXIXAAIz4GA.jpg', 'http://pbs.twimg.com/media/Eu3nQXfXYAIQutS.jpg']","['https://t.co/zTgJl4YHtY', 'https://t.co/bhb1LC59Fv']"
5,"Fast flying from France to UK. #DEVCommunity #Programming #IoT #IoTPL #AI
#100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G    #innovation #drones #Emergency #robotics #SocialMedia https://t.co/ra237JfHi5",Innovat78455398,1362189907872018432,"['DEVCommunity', 'Programming', 'IoT', 'IoTPL', 'AI', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'innovation', 'drones', 'Emergency', 'robotics', 'SocialMedia']",2021-02-17 23:59:16+08:00,31,13,no images,['https://t.co/ra237JfHi5']
6,"Sometimes Solution is near vicinity. #Lessonlearnt be aware and restoration is KEY #Rightdecision
https://t.co/Xr38JA1wYq
#MachineLearning #AI #100DaysOfCode #Python #DEVCommunity #IoT #flutter #javascript #Serverless  #WomenWhoCode #CyberSecurity #RStats #DataScience https://t.co/ni46Mbx4h3",Iamdataqueen,1362549291881914370,"['Lessonlearnt', 'Rightdecision', 'MachineLearning', 'AI', '100DaysOfCode', 'Python', 'DEVCommunity', 'IoT', 'flutter', 'javascript', 'Serverless', 'WomenWhoCode', 'CyberSecurity', 'RStats', 'DataScience']",2021-02-18 23:47:20+08:00,30,15,no images,"['https://t.co/Xr38JA1wYq', 'https://t.co/ni46Mbx4h3']"
7,"Reach out for help.
#FinalExam
#Assignment 
#quiz 
#Math 
#JavaScript 
#Programming 
#AllCourses 
#python 
#javascript 
#angular 
#reactjs 
#vuejs 
#perl 
#ruby 
#Csharp 
#Java 
#linux 
#programming 
#network 
#security 
#golang 
#coding 
#ios 
#DataScience https://t.co/p1daQhT3vC",flairtutor,1363271115498532877,"['FinalExam', 'Assignment', 'quiz', 'Math', 'JavaScript', 'Programming', 'AllCourses', 'python', 'javascript', 'angular', 'reactjs', 'vuejs', 'perl', 'ruby', 'Csharp', 'Java', 'linux', 'programming', 'network', 'security', 'golang', 'coding', 'ios', 'DataScience']",2021-02-20 23:35:36+08:00,27,9,['http://pbs.twimg.com/media/EutP2HXXEAMr536.jpg'],['https://t.co/p1daQhT3vC']
8,"10 Effective Ways to Manage Your Career in a Tech-Driven World via @catherineadenle https://t.co/tTxt411JHB 

#DataScience #3D #VR #automation #100DaysOfCode #DEVCommunity #womenintech #CyberSecurity #tech #Learning #Innovation #analytics #cloudcomputing",con2013_ops,1363636359236366336,"['DataScience', '3D', 'VR', 'automation', '100DaysOfCode', 'DEVCommunity', 'womenintech', 'CyberSecurity', 'tech', 'Learning', 'Innovation', 'analytics', 'cloudcomputing']",2021-02-21 23:46:57+08:00,23,10,no images,['https://t.co/tTxt411JHB']
9,"THE COMPLETE SELF-DRIVING CAR COURSE - APPLIED #DEEPLEARNING

=&gt; https://t.co/IVaibFTlUN

#DataScience #DeepLearning #MachineLearning #TensorFlow #Python #ArtificialIntelligence #DataAnalysis #NeuralNetworks #womenintech #javascript30 #100DaysOfCode #udemy #free #udemycoupons",99coupon1,1363637031524425728,"['DEEPLEARNING', 'DataScience', 'DeepLearning', 'MachineLearning', 'TensorFlow', 'Python', 'ArtificialIntelligence', 'DataAnalysis', 'NeuralNetworks', 'womenintech', 'javascript30', '100DaysOfCode', 'udemy', 'free', 'udemycoupons']",2021-02-21 23:49:38+08:00,21,7,no images,['https://t.co/IVaibFTlUN']
