,Tweet Content,User Name,Tweet Id,HashTags,CreatedAt,Retweet Count,Favourite Count,Image URL,Embedded URL
0,"D33 | #100DaysOfCode - Learned that Rust will automatically dereference a variable using the dot operator when using a method instead of having to use ""*"" for dereferencing. https://t.co/kDtcMIcuhp",azza_314,1364104286293028868,['100DaysOfCode'],2021-02-23 06:46:20+08:00,2,0,"['http://pbs.twimg.com/media/Eu5FnFpVcAIru3x.jpg', 'http://pbs.twimg.com/media/Eu5FnFsUUAAcBaB.jpg', 'http://pbs.twimg.com/media/Eu5FnFsVkAEu7Vt.jpg']",['https://t.co/kDtcMIcuhp']
1,"From Text to Knowledge: The Information Extraction Pipeline.

https://t.co/1KHh7SVQ3q…

#MachineLearning #Python #IoT #flutter #100DaysOfMLCode #AI #javascript #womenwhocode #RStats #Serverless #CodeNewbie #DataScience #100DaysOfCode https://t.co/tanSnqZFY5",New081082,1364104244307980293,"['MachineLearning', 'Python', 'IoT', 'flutter', '100DaysOfMLCode', 'AI', 'javascript', 'womenwhocode', 'RStats', 'Serverless', 'CodeNewbie', 'DataScience', '100DaysOfCode']",2021-02-23 06:46:10+08:00,8,4,no images,"['https://t.co/1KHh7SVQ3q…', 'https://t.co/tanSnqZFY5']"
2,"Hey Fellow Devs 👋

This is a simple JPA entity that can be mapped to a table in the database.

#java #100DaysOfCode #programming  #CodeNewbies #codinglife https://t.co/AEEsMRozLw",S_AWDESH,1364103892221366276,"['java', '100DaysOfCode', 'programming', 'CodeNewbies', 'codinglife']",2021-02-23 06:44:46+08:00,2,0,['http://pbs.twimg.com/media/Eu5FQl-UUAYzrtz.jpg'],['https://t.co/AEEsMRozLw']
3,"Improve your soft skills and drive your career 

#100DaysOfCode #CodeNewbies #DEVCommunity https://t.co/sSJo5risl1",FrontendMaestro,1364103874684981250,"['100DaysOfCode', 'CodeNewbies', 'DEVCommunity']",2021-02-23 06:44:42+08:00,1,0,no images,['https://t.co/sSJo5risl1']
4,"D38/100 Finished up the npm review in unit 6. Practiced installing/uninstalling packages both locally and globally. Learned about major, minor, and patch releases. #100DaysOfCode #CodeNewbie #webdevelopment",oocode12,1364103828174430210,"['100DaysOfCode', 'CodeNewbie', 'webdevelopment']",2021-02-23 06:44:31+08:00,2,0,no images,[]
5,"#DEVCommunity #webdev #CodeNewbie #javascript #100DaysOfCode 
""To change ones life, start immediately, do it flamboyantly, no exceptions.""",TheFieryBot,1364103802576658438,"['DEVCommunity', 'webdev', 'CodeNewbie', 'javascript', '100DaysOfCode']",2021-02-23 06:44:25+08:00,5,3,no images,[]
6,"Day 24 / #100DaysOfCode

I consulted with a Foster Youth Coordinator today

She wanted to know about opportunities in technology and explain the possibilities to make 💵 with the internet to the kids",CharlesHarrisI3,1364103795223891970,['100DaysOfCode'],2021-02-23 06:44:23+08:00,4,2,no images,[]
7,"Day 3 of #100daysofcode 
Learning how to integrate M-pesa payment to my Django Project. #django",cassano65240300,1364103535101698055,"['100daysofcode', 'django']",2021-02-23 06:43:21+08:00,5,2,no images,[]
8,"☁️ Always write a test that fails first. Then fix it to make it pass. I can't even count the number of times I have seen useless tests (often duplicate) that are checking the same thing or not testing what's needed at all 🤷‍♀️

#WomenInSTEM #WomenWhoCode #100DaysOfCode #CodeNewbie",anumsarmadmalik,1364103505158397952,"['WomenInSTEM', 'WomenWhoCode', '100DaysOfCode', 'CodeNewbie']",2021-02-23 06:43:14+08:00,10,2,no images,[]
9,"Which site are best for problem solving?
.
#100DaysOfCode #CodeNewbies #code #programming #Python3 #webdevelopment #SoftwareEngineering #Coding",nabilcode19,1364103315840098305,"['100DaysOfCode', 'CodeNewbies', 'code', 'programming', 'Python3', 'webdevelopment', 'SoftwareEngineering', 'Coding']",2021-02-23 06:42:28+08:00,2,0,no images,[]
