,Tweet Content,User Name,Tweet Id,HashTags,CreatedAt,Retweet Count,Favourite Count,Image URL,Embedded URL
0,Backstage Announces Acquisitions of StarNow and Mandy Network https://t.co/2Quk7xYGNk #artificialintelligence #AiThority #Backstage #Acquisitions #MandyNetwork #StarNow,AiThority,1364103581813596161,"['artificialintelligence', 'AiThority', 'Backstage', 'Acquisitions', 'MandyNetwork', 'StarNow']",2021-02-23 06:43:32+08:00,0,0,no images,['https://t.co/2Quk7xYGNk']
1,Zayo Bolsters Fiber Network Capabilities at NJFX Cable Landing Station Campus https://t.co/r1C8Bs1Rdq #artificialintelligence #AiThority #datacenter #healthcaresystems #5G #NJFX,AiThority,1364103316305825795,"['artificialintelligence', 'AiThority', 'datacenter', 'healthcaresystems', '5G', 'NJFX']",2021-02-23 06:42:29+08:00,0,1,no images,['https://t.co/r1C8Bs1Rdq']
2,"Machine Learning For Absolute Beginners: A Plain English Introduction

Link - https://t.co/3vAZLZC99Y

#MachineLearning #100DaysOfCode #CodeNewbies #WomenWhoCode #DEVCommunity #DevOps #SoftwareEngineering #DeepLearning #DataScience #ArtificialIntelligence #programming",rasangarocks,1364103192217219073,"['MachineLearning', '100DaysOfCode', 'CodeNewbies', 'WomenWhoCode', 'DEVCommunity', 'DevOps', 'SoftwareEngineering', 'DeepLearning', 'DataScience', 'ArtificialIntelligence', 'programming']",2021-02-23 06:41:59+08:00,6,2,no images,['https://t.co/3vAZLZC99Y']
3,AI-Powered Sales Impact Solution Revolutionizes Multi-Unit Market Planning https://t.co/kaVJCOrWyV #artificialintelligence #AiThority #mobiledata #SiteZeus #CustomerBehavior,AiThority,1364102937610514434,"['artificialintelligence', 'AiThority', 'mobiledata', 'SiteZeus', 'CustomerBehavior']",2021-02-23 06:40:58+08:00,0,0,no images,['https://t.co/kaVJCOrWyV']
4,Malware and Exploit Activity Are up by More Than 57% According to Latest Nuspire Threat Report https://t.co/v3mB2FQ9pp @NuspireNetworks #artificialintelligence #AiThority #Malware #Nuspire #cybersecurity,AiThority,1364102645145890818,"['artificialintelligence', 'AiThority', 'Malware', 'Nuspire', 'cybersecurity']",2021-02-23 06:39:49+08:00,0,0,no images,['https://t.co/v3mB2FQ9pp']
5,I fail many a times to understand this guy but his friend Alexa understands. #ArtificialIntelligence https://t.co/OfdroOb8sB,MadhukarChaube,1364102358486056961,['ArtificialIntelligence'],2021-02-23 06:38:40+08:00,0,1,['http://pbs.twimg.com/ext_tw_video_thumb/1364102316840771592/pu/img/G3WU7jH05i_T93d-.jpg'],['https://t.co/OfdroOb8sB']
6,"The advanced money market is engaged in the deployment of various electronic, digital, analytical, &amp; communication technologies working together with AI developers.

#ArtificialIntelligence #artificialintelligencetools #FinancialServices @AppStudio_Inc

https://t.co/Qz1E5dyvFa",ArcherBrown10,1364102327611711491,"['ArtificialIntelligence', 'artificialintelligencetools', 'FinancialServices']",2021-02-23 06:38:33+08:00,0,0,no images,['https://t.co/Qz1E5dyvFa']
7,@MSCI_Inc to Launch Investment Solutions as a Service in Collaboration with Microsoft https://t.co/ktq3VrD3Py #artificialintelligence #AiThority #microsoft #bigdata #investmentsolutions,AiThority,1364102278303653888,"['artificialintelligence', 'AiThority', 'microsoft', 'bigdata', 'investmentsolutions']",2021-02-23 06:38:21+08:00,0,0,no images,['https://t.co/ktq3VrD3Py']
8,"How Artificial Intelligence (AI)is going to transform business models of the Financial Services industry in 2021? Read this Blog to know more - https://t.co/tv2WxbPKgB

#ArtificialIntelligence #FinancialServicesIndustry #FinancialServices #AISolutions https://t.co/bzJHKRzhcr",AIBridgeML,1364102228236111875,"['ArtificialIntelligence', 'FinancialServicesIndustry', 'FinancialServices', 'AISolutions']",2021-02-23 06:38:09+08:00,0,1,['http://pbs.twimg.com/media/Eu5DvT1VoAE4caP.jpg'],"['https://t.co/tv2WxbPKgB', 'https://t.co/bzJHKRzhcr']"
9,"The power of the #hyperintelligent #platformtechnology is the fastest and most efficient way for end-to-end #automation.

 #businesprocessautomation #artificialintelligence #RPA #roboticprocessautomation #machinelearning #chatbot #OCR #opticalcharacterrecognition #BPM #Analytics https://t.co/mAhqMNxdkI",FeatSystems,1364102020987318275,"['hyperintelligent', 'platformtechnology', 'automation', 'businesprocessautomation', 'artificialintelligence', 'RPA', 'roboticprocessautomation', 'machinelearning', 'chatbot', 'OCR', 'opticalcharacterrecognition', 'BPM', 'Analytics']",2021-02-23 06:37:20+08:00,0,0,['http://pbs.twimg.com/ext_tw_video_thumb/1364101020096360457/pu/img/zdNi70CfOt5J9nR9.jpg'],['https://t.co/mAhqMNxdkI']
