,Tweet Content,User Name,Tweet Id,HashTags,CreatedAt,Retweet Count,Favourite Count,Image URL,Embedded URL
0,"Improve your soft skills and drive your career 

#100DaysOfCode #CodeNewbies #DEVCommunity https://t.co/sSJo5risl1",FrontendMaestro,1364103874684981250,"['100DaysOfCode', 'CodeNewbies', 'DEVCommunity']",2021-02-23 06:44:42+08:00,0,0,no images,['https://t.co/sSJo5risl1']
1,"#DEVCommunity #webdev #CodeNewbie #javascript #100DaysOfCode 
""To change ones life, start immediately, do it flamboyantly, no exceptions.""",TheFieryBot,1364103802576658438,"['DEVCommunity', 'webdev', 'CodeNewbie', 'javascript', '100DaysOfCode']",2021-02-23 06:44:25+08:00,0,0,no images,[]
2,"If you love DynamoDB as much as I do, then you cringe whenever you have to leave the comfort of the scale, performance, and availability of DynamoDB. Fret no longer!

{ author: @quizout } #DEVCommunity https://t.co/2afjqZvotj",ThePracticalDev,1364103449378496512,['DEVCommunity'],2021-02-23 06:43:00+08:00,1,2,no images,['https://t.co/2afjqZvotj']
3,"Machine Learning For Absolute Beginners: A Plain English Introduction

Link - https://t.co/3vAZLZC99Y

#MachineLearning #100DaysOfCode #CodeNewbies #WomenWhoCode #DEVCommunity #DevOps #SoftwareEngineering #DeepLearning #DataScience #ArtificialIntelligence #programming",rasangarocks,1364103192217219073,"['MachineLearning', '100DaysOfCode', 'CodeNewbies', 'WomenWhoCode', 'DEVCommunity', 'DevOps', 'SoftwareEngineering', 'DeepLearning', 'DataScience', 'ArtificialIntelligence', 'programming']",2021-02-23 06:41:59+08:00,6,3,no images,['https://t.co/3vAZLZC99Y']
4,"After using React for 3 months, Fahad Imran shared his thoughts on the JavaScript library.

This is a great overview for anybody who recently started learning React. 

#ReactJS #hashnode #devcommunity

https://t.co/cWCU2ZYM6Q",hashnode,1364102188943958020,"['ReactJS', 'hashnode', 'devcommunity']",2021-02-23 06:38:00+08:00,0,1,no images,['https://t.co/cWCU2ZYM6Q']
5,"Handy but high-security featured contact form in 5 minutes:) 

""Building a Contact Form with Gatsby &amp; getform in 5 minutes"" #DEVCommunity https://t.co/FkQmoOND6K",arisa_dev,1364101217794678791,['DEVCommunity'],2021-02-23 06:34:08+08:00,3,1,no images,['https://t.co/FkQmoOND6K']
6,"#DEVCommunity #webdev #CodeNewbie #javascript #100DaysOfCode 
""The greatest danger for most of us is not that our aim is too high and we miss it, but that it is too low and we reach it.""",TheFieryBot,1364101034222751744,"['DEVCommunity', 'webdev', 'CodeNewbie', 'javascript', '100DaysOfCode']",2021-02-23 06:33:24+08:00,15,0,no images,[]
7,"Day 57 | #100DaysOfCode 
Attended a virtual 👨🏾‍💻 tech meet up and connected 🤳🏾 with some new people. Heard some good information on what companies are looking for. Problem solving and solid communication seemed to standout the most. 📞
#DEVCommunity #BlackTechTwitter #BlackinTech",decadeapps,1364100756056367107,"['100DaysOfCode', 'DEVCommunity', 'BlackTechTwitter', 'BlackinTech']",2021-02-23 06:32:18+08:00,14,2,no images,[]
8,"React Clean Code - Simple ways to write better and cleaner code

#DEVCommunity https://t.co/dF0fA9Sosb",TheJSDev,1364099674672668673,['DEVCommunity'],2021-02-23 06:28:00+08:00,2,6,no images,['https://t.co/dF0fA9Sosb']
9,"Hungry for a little QA karma?🤩

At @lambdatesting, we love to make testing accessible to everyone. Nothing pleases our community more than seeing one of their own succeed. Come join us in making testing cool again😎

https://t.co/TNfJR3HI6p

#DEVCommunity #web #testing #DevOps",sarahelson81,1364099346384347153,"['DEVCommunity', 'web', 'testing', 'DevOps']",2021-02-23 06:26:42+08:00,2,1,no images,['https://t.co/TNfJR3HI6p']
