,Tweet Content,User Name,Tweet Id,HashTags,CreatedAt,Retweet Count,Favourite Count,Image URL,Embedded URL
0,"Multi-output learning subsumes many learning problems in multiple disciplines and deals with complex decision-making in many real-world applications. 

#DataScience #DataScientist #TeamTSR

https://t.co/cbclHShTqi",RecruiterTheo,1364103966326468608,"['DataScience', 'DataScientist', 'TeamTSR']",2021-02-23 06:45:04+08:00,0,0,no images,['https://t.co/cbclHShTqi']
1,I just registered for the course “Data Analysis with Python: Zero to Pandas” with @JovianML #DataScience #MachineLearning https://t.co/Yax8I9jXKy,shaif_uddin,1364103843005353986,"['DataScience', 'MachineLearning']",2021-02-23 06:44:34+08:00,0,0,no images,['https://t.co/Yax8I9jXKy']
2,"Machine Learning For Absolute Beginners: A Plain English Introduction

Link - https://t.co/3vAZLZC99Y

#MachineLearning #100DaysOfCode #CodeNewbies #WomenWhoCode #DEVCommunity #DevOps #SoftwareEngineering #DeepLearning #DataScience #ArtificialIntelligence #programming",rasangarocks,1364103192217219073,"['MachineLearning', '100DaysOfCode', 'CodeNewbies', 'WomenWhoCode', 'DEVCommunity', 'DevOps', 'SoftwareEngineering', 'DeepLearning', 'DataScience', 'ArtificialIntelligence', 'programming']",2021-02-23 06:41:59+08:00,6,3,no images,['https://t.co/3vAZLZC99Y']
3,"Most common learning scenarios in Machine Learning-

👉Supervised 
👉Unsupervised
👉Semi-supervised
👉Transductive inference
👉On-line
👉Reinforcement 
👉Active

What did I miss?🤔

Happy Coding❤️

#coding #love #MachineLearning #javascript #100DaysOfCode #Python #DataScience #ai",last_crusaderr,1364103041914261504,"['coding', 'love', 'MachineLearning', 'javascript', '100DaysOfCode', 'Python', 'DataScience', 'ai']",2021-02-23 06:41:23+08:00,11,6,no images,[]
4,"I remember Feynman's lecture that innovation needs crazy imagination.I corrected my research today, instead on learning too many skills,I reckon we all need to get crazy about our imagination #Mathematics #AcademicTwitter #DataScience #AcademicChatter @PhDVoice @AcademicChatter",sourabhmishra_9,1364102977410060291,"['Mathematics', 'AcademicTwitter', 'DataScience', 'AcademicChatter']",2021-02-23 06:41:08+08:00,1,0,no images,[]
5,"Rick speaks the truth😂
#code #coding #javascript #python #datascience #programming #programmer  #100daysofcode #webdev #webdevelopment #php #linux #css #programmingmemes #codinglife #codingpics #programmingjokes #java #ide #machinelearning #AI #virtualreality #rickandmorty https://t.co/dAkj8b5Hlu",anoushk77,1364102445903806467,"['code', 'coding', 'javascript', 'python', 'datascience', 'programming', 'programmer', '100daysofcode', 'webdev', 'webdevelopment', 'php', 'linux', 'css', 'programmingmemes', 'codinglife', 'codingpics', 'programmingjokes', 'java', 'ide', 'machinelearning', 'AI', 'virtualreality', 'rickandmorty']",2021-02-23 06:39:01+08:00,10,8,['http://pbs.twimg.com/media/Eu5D8dlXUAUKV6V.jpg'],['https://t.co/dAkj8b5Hlu']
6,"How emerging Technologies are refining and reinventing commercial activities. https://t.co/XzYXZyIoq3 is one of the latest product of technology. 

 #WhatsApp #GRAMMYs #BigData #Analytics #DataScience #ReactJS #CloudComputing #DataScientist #Linux #Programming #100DaysofCodeq",tad_wusa,1364101748256894979,"['WhatsApp', 'GRAMMYs', 'BigData', 'Analytics', 'DataScience', 'ReactJS', 'CloudComputing', 'DataScientist', 'Linux', 'Programming', '100DaysofCodeq']",2021-02-23 06:36:15+08:00,0,1,no images,['https://t.co/XzYXZyIoq3']
7,"A team of researchers recently created a massive dataset, TEyeD, that contains over 20 million images of eyes for other researchers to use. #DataScience #TEyeD https://t.co/R8plIX8Ezm",odsc,1364101683291242497,"['DataScience', 'TEyeD']",2021-02-23 06:35:59+08:00,1,2,no images,['https://t.co/R8plIX8Ezm']
8,"Do Deep Neural Networks Outperform Kernel Regression. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #Python #RStats #TensorFlow #JavaScript #ReactJS #CloudComputing #Serverless #DataScientist #Linux #Programming #Coding #100DaysofCode 
https://t.co/eI0prxEjHp https://t.co/5MsxLGDZgV",gp_pulipaka,1364101193815965697,"['BigData', 'Analytics', 'DataScience', 'AI', 'MachineLearning', 'IoT', 'IIoT', 'Python', 'RStats', 'TensorFlow', 'JavaScript', 'ReactJS', 'CloudComputing', 'Serverless', 'DataScientist', 'Linux', 'Programming', 'Coding', '100DaysofCode']",2021-02-23 06:34:03+08:00,20,13,"['http://pbs.twimg.com/media/Eu5CzmXWQAEuAxq.jpg', 'http://pbs.twimg.com/media/Eu5CzmvWQAAI8YC.jpg', 'http://pbs.twimg.com/media/Eu5CzluXUAEpPY_.png', 'http://pbs.twimg.com/media/Eu5CzlvWQAE-xcG.jpg']","['https://t.co/eI0prxEjHp', 'https://t.co/5MsxLGDZgV']"
9,"So i was trying to read some articles about curating qualitative reasearch data online, and I just found out how confusing that sh*t is. 
I need help with understanding that stuff.
Any data Manager here that would help or a data curator as well.
#DataScience #datamanagement #data",official_ozumba,1364100412886945792,"['DataScience', 'datamanagement', 'data']",2021-02-23 06:30:56+08:00,1,1,no images,[]
10,"Limited Seats Only!

CloudxLab is hosting a Free Live Webinar on 'Building a Career in Data Science, Machine Learning &amp; DevOps in 2021'  Feb 28th at 8 PM IST

It's completely FREE!

Save a seat - https://t.co/UxD9FnDtR8

#ml #deeplearning #handson #edtech #datascience #cloudxlab https://t.co/EEPxnndB2A",CloudxLab,1364100192425947169,"['ml', 'deeplearning', 'handson', 'edtech', 'datascience', 'cloudxlab']",2021-02-23 06:30:04+08:00,2,0,['http://pbs.twimg.com/media/Eu5B5XxWQAE7RGd.jpg'],"['https://t.co/UxD9FnDtR8', 'https://t.co/EEPxnndB2A']"
