,Tweet Content,User Name,Tweet Id,HashTags,CreatedAt,Retweet Count,Favourite Count,Image URL,Embedded URL
0,"Computer vision is redefining surveillance…

#Vitti #ArtificialIntelligence #computervision #machinelearning #artificialintelligence #ai #deeplearning #computerscience #python #datascience #neuralnetworks #programming #technology #tech #robotics #computer #opencv #coding https://t.co/PUsNfRb2Vj",Vitti_AI,1364086835266211843,"['Vitti', 'ArtificialIntelligence', 'computervision', 'machinelearning', 'artificialintelligence', 'ai', 'deeplearning', 'computerscience', 'python', 'datascience', 'neuralnetworks', 'programming', 'technology', 'tech', 'robotics', 'computer', 'opencv', 'coding']",2021-02-23 05:36:59+08:00,3,1,['http://pbs.twimg.com/ext_tw_video_thumb/1364086788973764608/pu/img/og-1GX5fYN9WhPhR.jpg'],['https://t.co/PUsNfRb2Vj']
1,"Computer Vision : Best Ever Explained
https://t.co/G68nLl3otR
#computervision #machinelearning #artificialintelligence #ai #deeplearning #computerscience #python #datascience #neuralnetworks #computervisionsyndrome #computerengineering #data #gaming #iot #bigdata  #python https://t.co/jzm8oPJ18Z",WriteX12,1364086114886119424,"['computervision', 'machinelearning', 'artificialintelligence', 'ai', 'deeplearning', 'computerscience', 'python', 'datascience', 'neuralnetworks', 'computervisionsyndrome', 'computerengineering', 'data', 'gaming', 'iot', 'bigdata', 'python']",2021-02-23 05:34:07+08:00,6,4,['http://pbs.twimg.com/media/Eu41F0bVkAA6sZP.jpg'],"['https://t.co/G68nLl3otR', 'https://t.co/jzm8oPJ18Z']"
2,AM Rain/Snow tomorrow in Toronto! Stay covered with our hoodies! See them on the website #datascience #artificialintelligence #machinelearning #ai #ml #cloudcomputing #bigdata #bigdataanalytics #analytics #fintech #neuralnetworks #hadoop #deeplearning #dnn https://t.co/xgaPI2oeis,AIApparelStore,1364085519450329088,"['datascience', 'artificialintelligence', 'machinelearning', 'ai', 'ml', 'cloudcomputing', 'bigdata', 'bigdataanalytics', 'analytics', 'fintech', 'neuralnetworks', 'hadoop', 'deeplearning', 'dnn']",2021-02-23 05:31:45+08:00,1,0,['http://pbs.twimg.com/media/Eu40jUkXEAAkQom.jpg'],['https://t.co/xgaPI2oeis']
3,"Catch our CEO Prem Naraindas in an exclusive interview with Sage Godrei on @kalkineauTV talking about the problems we are trying to solve and our journey so far.

https://t.co/uPsFJMRP6r

#neuralnetworks #dataanalytics #artificialintelligence  #ai #machinelearning #datascience https://t.co/zug4CFqxse",AiKatonic,1364082786655608838,"['neuralnetworks', 'dataanalytics', 'artificialintelligence', 'ai', 'machinelearning', 'datascience']",2021-02-23 05:20:54+08:00,3,0,['http://pbs.twimg.com/media/Eu4xRjPVgAAzZ_c.jpg'],"['https://t.co/uPsFJMRP6r', 'https://t.co/zug4CFqxse']"
4,Graph Neural Networks for Multiple Object Tracking https://t.co/JHDgDQNXON  #NeuralNetworks,Datascience__,1364082292847706113,['NeuralNetworks'],2021-02-23 05:18:56+08:00,1,0,no images,['https://t.co/JHDgDQNXON']
5,#AI #NeuralNetworks #Gold #Price #Forecast #XAUUSD for today 23 February 2021 : 1797.33 https://t.co/ZcvFmVKCpH,goldpricefrcast,1364077536418947073,"['AI', 'NeuralNetworks', 'Gold', 'Price', 'Forecast', 'XAUUSD']",2021-02-23 05:00:02+08:00,0,0,['http://pbs.twimg.com/media/Eu4tSoeXIAAtC_2.jpg'],['https://t.co/ZcvFmVKCpH']
6,"Decoding Machine Learning: Neural Networks
https://t.co/t5KKAifYok
#ArtificialIntelligence
#IoT #Ai #DataScience #BigData #MachineLearning #Python #Django #NeuralNetworks #neuralnetwork #cybersecurity #DeepLearning #JoeBiden #DEVCommunity https://t.co/BaRo3mDQbs",WriteX12,1364068548922933251,"['ArtificialIntelligence', 'IoT', 'Ai', 'DataScience', 'BigData', 'MachineLearning', 'Python', 'Django', 'NeuralNetworks', 'neuralnetwork', 'cybersecurity', 'DeepLearning', 'JoeBiden', 'DEVCommunity']",2021-02-23 04:24:19+08:00,19,7,['http://pbs.twimg.com/media/Eu4lHZnUcAkkORD.jpg'],"['https://t.co/t5KKAifYok', 'https://t.co/BaRo3mDQbs']"
7,Artificial Intelligence And The End Of Work #NeuralNetworks #artificialintelligence #deeplearning #learning via https://t.co/u14WxAYdRI https://t.co/YpkiOZAfDO,Lucian2drei,1364065483608240128,"['NeuralNetworks', 'artificialintelligence', 'deeplearning', 'learning']",2021-02-23 04:12:09+08:00,1,0,no images,"['https://t.co/u14WxAYdRI', 'https://t.co/YpkiOZAfDO']"
8,"🔰Would you let Elon Musk put electrodes in your brain if it would increase your performance?

#BCI #Neuralink #NeuralNetworks #innovation #100DaysOfCode #tech #Engineering #MachineLearning #futurism #AI #STEM #neuroscience
https://t.co/k1dEJ5wtNb",realColinMac,1364061350599692291,"['BCI', 'Neuralink', 'NeuralNetworks', 'innovation', '100DaysOfCode', 'tech', 'Engineering', 'MachineLearning', 'futurism', 'AI', 'STEM', 'neuroscience']",2021-02-23 03:55:43+08:00,11,6,['http://pbs.twimg.com/amplify_video_thumb/1151428440194785280/img/ULqW0Zrc7mS51aLI.jpg'],['https://t.co/k1dEJ5wtNb']
9,"#R Programming: Advanced Analytics In R For Data Science #udemyfree #udemycoupon 

=&gt; https://t.co/r7vwAGMGrN

#DataScience #R #DataAnalysis #DeepLearning #TensorFlow #Python #ArtificialIntelligence #MachineLearning #NeuralNetworks #javascript30 #100DaysOfCode #udemy",FreeHipwee,1364047950368829441,"['R', 'udemyfree', 'udemycoupon', 'DataScience', 'R', 'DataAnalysis', 'DeepLearning', 'TensorFlow', 'Python', 'ArtificialIntelligence', 'MachineLearning', 'NeuralNetworks', 'javascript30', '100DaysOfCode', 'udemy']",2021-02-23 03:02:28+08:00,20,6,no images,['https://t.co/r7vwAGMGrN']
10,Artificial Intelligence And The End Of Work #NeuralNetworks #artificialintelligence #deeplearning #learning  https://t.co/PdSJXRxnLe,KeesmanMatthijs,1364041158171721729,"['NeuralNetworks', 'artificialintelligence', 'deeplearning', 'learning']",2021-02-23 02:35:29+08:00,0,0,no images,['https://t.co/PdSJXRxnLe']
11,Deep Learning for Beginners #NeuralNetworks #bigdata #learning via https://t.co/NEo7LankbK https://t.co/uZnyGlVT0q,Techfuturenew,1364036295090135040,"['NeuralNetworks', 'bigdata', 'learning']",2021-02-23 02:16:09+08:00,1,0,no images,"['https://t.co/NEo7LankbK', 'https://t.co/uZnyGlVT0q']"
12,Deep Learning for Beginners #NeuralNetworks #bigdata #learning via https://t.co/bDTgBUIWtG https://t.co/2gcTqOY5V2,sajidmirza,1364034273477550080,"['NeuralNetworks', 'bigdata', 'learning']",2021-02-23 02:08:07+08:00,2,1,no images,"['https://t.co/bDTgBUIWtG', 'https://t.co/2gcTqOY5V2']"
13,Deep Learning for Beginners #NeuralNetworks #bigdata #learning via https://t.co/UF63LtFeQC https://t.co/ixrqES13Gf,Aditics2,1364033100808937480,"['NeuralNetworks', 'bigdata', 'learning']",2021-02-23 02:03:28+08:00,2,0,no images,"['https://t.co/UF63LtFeQC', 'https://t.co/ixrqES13Gf']"
14,Deep Learning for Beginners #NeuralNetworks #bigdata #learning via https://t.co/s7n0wYZc3s https://t.co/Al4WGAoAba,SalomonOli,1364030493147213831,"['NeuralNetworks', 'bigdata', 'learning']",2021-02-23 01:53:06+08:00,1,0,no images,"['https://t.co/s7n0wYZc3s', 'https://t.co/Al4WGAoAba']"
15,Deep Learning for Beginners #NeuralNetworks #bigdata #learning via https://t.co/zeb5hNqb8q https://t.co/9PlMibpFg2,corizance,1364030105178279938,"['NeuralNetworks', 'bigdata', 'learning']",2021-02-23 01:51:34+08:00,1,0,no images,"['https://t.co/zeb5hNqb8q', 'https://t.co/9PlMibpFg2']"
16,"Scaling Enterprise #ModzyPartner #ModelOps #Data #AI: #Modzy #MachineLearning #NeuralNetworks #Security Explainability, &amp; Accountability of AI Models by @sallyeaves @KirkDBorne @Joshdsullivan @getmodzy @iamBrianGraham @Ronald_vanLoon @IainLJBrown &amp; | Cc: https://t.co/ipQVjB4OUM",iamBrianGraham,1364027818389159938,"['ModzyPartner', 'ModelOps', 'Data', 'AI', 'Modzy', 'MachineLearning', 'NeuralNetworks', 'Security']",2021-02-23 01:42:28+08:00,2,1,['http://pbs.twimg.com/ext_tw_video_thumb/1364027714798309377/pu/img/MdbOavp6VntS45u-.jpg'],['https://t.co/ipQVjB4OUM']
