,Tweet Content,User Name,HashTags,Retweet Count,Favourite Count,URL
0,"Two years badge in https://t.co/2Dsh8Q89oy
#DEVCommunity #development #programmings #Coding https://t.co/k0MIuhHrmf",DhanushkaDEV,"['DEVCommunity', 'development', 'programmings', 'Coding']",2,1,https://twitter.com/DhanushkaDEV/status/1371441899211427845
1,"Programming aside, what other important topics do you think a Self-taught developer should study?

#100DaysOfCode #DEVCommunity #coding #github #Covid_19 #computerscience",MbadiMoses,"['100DaysOfCode', 'DEVCommunity', 'coding', 'github', 'Covid_19', 'computerscience']",0,0,https://twitter.com/MbadiMoses/status/1371441068227620869
2,"𝗖𝘂𝗿𝗹 is a command line tool which is used for file transfer using urls. It supports numerous protocols including beloved http/https which makes it a best candidate for API. You can access it from cmd using curl --man.
#javascript #DEVCommunity #100DaysOfCode #CodeNewbie https://t.co/qcRQKjmlnY",Agr_Kushal,"['javascript', 'DEVCommunity', '100DaysOfCode', 'CodeNewbie']",1,1,https://twitter.com/Agr_Kushal/status/1371440806293172234
3,"I had to learn about Ruby in the new job, and liked this language so much that I’d want to share with you all my journey into learning it. This is going to be the first post many many more, I hope. https://t.co/rNt8Nux4F6 

#ruby #DEVcommunity #rubyonrails #learningisfun",d4vsanchez,"['ruby', 'DEVcommunity', 'rubyonrails', 'learningisfun']",2,1,https://twitter.com/d4vsanchez/status/1371439704822927361
4,"#DEVCommunity #webdev #CodeNewbie #javascript #100DaysOfCode 
""If you seek truth you will not seek victory by dishonourable means, and if you find truth you will become invincible.""",TheFieryBot,"['DEVCommunity', 'webdev', 'CodeNewbie', 'javascript', '100DaysOfCode']",4,0,https://twitter.com/TheFieryBot/status/1371439673860628483
5,"#100DaysOfCode 
#DEVCommunity 
#Coding 

Day 12
My portfolio 
https://t.co/TgZcnzkYdK",_mohammedalessa,"['100DaysOfCode', 'DEVCommunity', 'Coding']",9,4,https://twitter.com/_mohammedalessa/status/1371439624606875651
6,"""Installing Vim in a Docker Container"" by Reishi Mitani #DEVCommunity https://t.co/BvWM3qKjAv",_mcorrea_,['DEVCommunity'],1,0,https://twitter.com/_mcorrea_/status/1371438379825569792
7,"Chingu Voyage 29 starts on April 5th!

- Work in a remote team
- Learn ""soft"" skills
- Get out of your comfort zone
- Beat ""tutorial purgatory""

Learn more to level-up @ https://t.co/w6nq9Dl8a9
#freeCodeCamp #100DaysOfCode #DEVCommunity #WomenInTech #developers #webdevelopers https://t.co/aj3p9FTTZo",ChinguCollabs,"['freeCodeCamp', '100DaysOfCode', 'DEVCommunity', 'WomenInTech', 'developers', 'webdevelopers']",13,0,https://twitter.com/ChinguCollabs/status/1371437774717476865
8,"@OnlyNatureplace Trafalgar: Python library to make quantitative finance &amp; portfolio analysis faster &amp; easier.

https://t.co/ZfV30iZTG4…

#DEVCommunity #MachineLearning #Python #IoT #flutter #100DaysOfMLCode #AI #javascript #womenwhocode #RStats #Serverless #CodeNewbie #DataScience #100DaysOfCode",New081082,"['DEVCommunity', 'MachineLearning', 'Python', 'IoT', 'flutter', '100DaysOfMLCode', 'AI', 'javascript', 'womenwhocode', 'RStats', 'Serverless', 'CodeNewbie', 'DataScience', '100DaysOfCode']",11,4,https://twitter.com/New081082/status/1371437700385968138
9,Add/Edit/Delete DataGrid  Using Master-Details View #WPF #dotnet #csharp #dotnet #wpf #programmer #programming #dotnetforall #100DaysOfCode #DEVCommunity  https://t.co/PbGijIcpfV,dotnetforall,"['WPF', 'dotnet', 'csharp', 'dotnet', 'wpf', 'programmer', 'programming', 'dotnetforall', '100DaysOfCode', 'DEVCommunity']",4,1,https://twitter.com/dotnetforall/status/1371437265017307138
