,Tweet Content,User Name,HashTags,Retweet Count,Favourite Count,URL
0,"(Oracle Big Data Handbook) Check it out 👉 - https://t.co/mtv2gWeoiO

#datascience #Java #ArtificialIntelligence #python #Bigdata #javascript #angular #reactjs #DeepLearning #Django #100DaysofCode #fullstackdeveloper #security #IoT https://t.co/GoW2yCsp29",progbooks1,"['datascience', 'Java', 'ArtificialIntelligence', 'python', 'Bigdata', 'javascript', 'angular', 'reactjs', 'DeepLearning', 'Django', '100DaysofCode', 'fullstackdeveloper', 'security', 'IoT']",1,0,https://twitter.com/progbooks1/status/1369647762195709955
1,Case Studies | Mental Health #DataScience Scotland  https://t.co/BgJdACKhbh H/T: @EK_Neuro,saqibali_ca,['DataScience'],0,0,https://twitter.com/saqibali_ca/status/1369647697276198913
2,"🏆🏆🏆

Congratulations to the winners of the first Amrapali Zaveri Data Science Awards: 

Dr. Anna Schueth @SchuethAnna and Prof. Dr. Ilja Arts @artsilja !! 

#umdatascience #datascience #womenindatascience #Awards #WomenInScience #wids2021 #womenintech #AmrapaliZaveri https://t.co/Ysxru1ITbj",UM_IDS,"['umdatascience', 'datascience', 'womenindatascience', 'Awards', 'WomenInScience', 'wids2021', 'womenintech', 'AmrapaliZaveri']",0,2,https://twitter.com/UM_IDS/status/1369646861167038469
3,"Create your first Text Generator with LSTM in few minutes → https://t.co/lc2pJRIAgF

#mw #deeplearning #nlp #naturallanguageprocessing #womeninstem #womenwhocode #100daysofMLcode #100daysofcode #python #coding #dev #machinelearning #ml #datascience #dataanalysis #lstm #neuralnet",stanford__ai,"['mw', 'deeplearning', 'nlp', 'naturallanguageprocessing', 'womeninstem', 'womenwhocode', '100daysofMLcode', '100daysofcode', 'python', 'coding', 'dev', 'machinelearning', 'ml', 'datascience', 'dataanalysis', 'lstm', 'neuralnet']",11,2,https://twitter.com/stanford__ai/status/1369646789532516357
4,Reading Different Data Inputs in Machine Learning with Python by Amit Chauhan via #TowardsAI → https://t.co/m9CuiWHE6I #MachineLearning #ML #ArtificialIntelligence #AI #DataScience #DeepLearning #Technology #Programming #news #research #Science,stanford__ai,"['TowardsAI', 'MachineLearning', 'ML', 'ArtificialIntelligence', 'AI', 'DataScience', 'DeepLearning', 'Technology', 'Programming', 'news', 'research', 'Science']",0,1,https://twitter.com/stanford__ai/status/1369646787926048775
5,"""Data that is not accessible or does not exist can make issues or people invisible.""

#DataVisualization #DataViz #DataScience

https://t.co/C8LtyHZmkj",johnwhalen,"['DataVisualization', 'DataViz', 'DataScience']",1,0,https://twitter.com/johnwhalen/status/1369646727280664586
6,"Smart use of space. #DEVCommunity #Programming #IoT #IoTPL #100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G #Engineering #innovation https://t.co/Osvt6skH2u",Innovat78455398,"['DEVCommunity', 'Programming', 'IoT', 'IoTPL', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'Engineering', 'innovation']",4,2,https://twitter.com/Innovat78455398/status/1369646415324966915
7,"Python Crash Course, 2nd Edition: A Hands-On, Project-Based Introduction to Programming

Link - https://t.co/cB7dGY9C4a

#Python #100DaysOfCode #CodeNewbies #WomenWhoCode #DEVCommunity #DevOps #DataAnalytics #DataScience #AI #programming",rasangarocks,"['Python', '100DaysOfCode', 'CodeNewbies', 'WomenWhoCode', 'DEVCommunity', 'DevOps', 'DataAnalytics', 'DataScience', 'AI', 'programming']",9,1,https://twitter.com/rasangarocks/status/1369646230624641025
8,"https://t.co/9CjfKXGhPU compiles a database of COVID-19 and SARS-CoV-2 resources for easy information discovery.

https://t.co/vrwgVCdd9X

#COVID19 #DataScience #DataAnalytics https://t.co/uu7QbKpYlI",SonjaTilly,"['COVID19', 'DataScience', 'DataAnalytics']",0,0,https://twitter.com/SonjaTilly/status/1369645936197111808
9,"Future delivery system. #DEVCommunity #Programming #IoT #IoTPL #100DaysOfCode #MachineLearning #Airdrop #CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G #Engineering #innovation https://t.co/IQwic0WjyM",Innovat78455398,"['DEVCommunity', 'Programming', 'IoT', 'IoTPL', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'Engineering', 'innovation']",6,1,https://twitter.com/Innovat78455398/status/1369645823106060288
10,"SAS partnership with Microsoft named a top joint venture among Fast Company Most Innovative Companies https://t.co/VDO6a1hEyS #businessanalytics #ba, #datascience #ds",RichardEudes,"['businessanalytics', 'ba', 'datascience', 'ds']",1,0,https://twitter.com/RichardEudes/status/1369645722199588865
11,"How will data from remote diagnosis change healthcare?
https://t.co/sZHVmFIta0

#datamanagement #healthcare #healthtech #HealthData #remotediagnosis #HealthForAll #data #technology #datascience #tech #business #dataanalytics #bigdata #machinelearning #ai #DataVisualization https://t.co/4cSifyOSkk",Grihasoft,"['datamanagement', 'healthcare', 'healthtech', 'HealthData', 'remotediagnosis', 'HealthForAll', 'data', 'technology', 'datascience', 'tech', 'business', 'dataanalytics', 'bigdata', 'machinelearning', 'ai', 'DataVisualization']",1,0,https://twitter.com/Grihasoft/status/1369645228903313409
12,"The growing interest in the field of #DataScience is fueling a lot of misconceptions. There's a lot of literature about what Data Science really means. Today we're going to take a look at what ""Data Science is Not"" 
https://t.co/aoImzwzR7q
#stats #AI #ML #R #Python #DataScientist https://t.co/0PzK9HxlAd",rubiscape,"['DataScience', 'stats', 'AI', 'ML', 'R', 'Python', 'DataScientist']",2,0,https://twitter.com/rubiscape/status/1369645228223725573
13,"5 Things to Know This Morning: Apple overshot iPhone 12 Mini demand BIG TIME; What will replace internet cookies; Which tech companies are adopting crypto? Much more

#technology #science #technews #sciencenews #Apple #clearview #datascience

https://t.co/wdMQewnflD",corey_noles,"['technology', 'science', 'technews', 'sciencenews', 'Apple', 'clearview', 'datascience']",1,0,https://twitter.com/corey_noles/status/1369645144299962375
