,Tweet Content,User Name,HashTags,Retweet Count,Favourite Count,URL
0,Episode Two of QuantumBlack Voices is now live! Featuring software engineer @_zainp. If you're interested in QuantumBlack's engineering culture - this is well worth a listen. #QuantumBlack #MachineLearning #productdevelopment #softwareengineering #QBVoices https://t.co/wHOoRDkqlf,NerdyProducer,"['QuantumBlack', 'MachineLearning', 'productdevelopment', 'softwareengineering', 'QBVoices']",0,0,https://twitter.com/NerdyProducer/status/1369647343717543940
1,75% of VCs will use AI to make investment decisions by 2025 #MachineLearning #learning via https://t.co/3NKgw00W6J https://t.co/ZV2tzFXUWB,SureshRukman,"['MachineLearning', 'learning']",0,0,https://twitter.com/SureshRukman/status/1369647133612249088
2,75% of VCs will use AI to make investment decisions by 2025 #MachineLearning #learning via https://t.co/FkZqUURWcG https://t.co/eftJyc5CAq,MedicaliPhone,"['MachineLearning', 'learning']",0,0,https://twitter.com/MedicaliPhone/status/1369647133603860485
3,"Create your first Text Generator with LSTM in few minutes → https://t.co/lc2pJRIAgF

#mw #deeplearning #nlp #naturallanguageprocessing #womeninstem #womenwhocode #100daysofMLcode #100daysofcode #python #coding #dev #machinelearning #ml #datascience #dataanalysis #lstm #neuralnet",stanford__ai,"['mw', 'deeplearning', 'nlp', 'naturallanguageprocessing', 'womeninstem', 'womenwhocode', '100daysofMLcode', '100daysofcode', 'python', 'coding', 'dev', 'machinelearning', 'ml', 'datascience', 'dataanalysis', 'lstm', 'neuralnet']",11,2,https://twitter.com/stanford__ai/status/1369646789532516357
4,Reading Different Data Inputs in Machine Learning with Python by Amit Chauhan via #TowardsAI → https://t.co/m9CuiWHE6I #MachineLearning #ML #ArtificialIntelligence #AI #DataScience #DeepLearning #Technology #Programming #news #research #Science,stanford__ai,"['TowardsAI', 'MachineLearning', 'ML', 'ArtificialIntelligence', 'AI', 'DataScience', 'DeepLearning', 'Technology', 'Programming', 'news', 'research', 'Science']",0,1,https://twitter.com/stanford__ai/status/1369646787926048775
5,"Start your data-driven journey today - email us your queries at info@vodworks.com
#iot #technology #tech #ai #internetofthings #innovation #machinelearning #bigdata #data #software #automation #artificialintelligence #cloudtech #business #digital #cryptocurrency #blockchaintech https://t.co/Iy7Ag9IGtg",VodworksIT,"['iot', 'technology', 'tech', 'ai', 'internetofthings', 'innovation', 'machinelearning', 'bigdata', 'data', 'software', 'automation', 'artificialintelligence', 'cloudtech', 'business', 'digital', 'cryptocurrency', 'blockchaintech']",0,2,https://twitter.com/VodworksIT/status/1369646683584409602
6,"Smart use of space. #DEVCommunity #Programming #IoT #IoTPL #100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G #Engineering #innovation https://t.co/Osvt6skH2u",Innovat78455398,"['DEVCommunity', 'Programming', 'IoT', 'IoTPL', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'Engineering', 'innovation']",4,2,https://twitter.com/Innovat78455398/status/1369646415324966915
7,"It's so much fun🤫😂

#programminghumor  #coding #javascript #python #bitcoin #pythonlearning #webdev #pythonprogramming  #linux #memes #codinglife #MachineLearning #DEVCommunity #100DaysOfCode #30daysofcode https://t.co/CNSDvSBuyn",ktcodeit,"['programminghumor', 'coding', 'javascript', 'python', 'bitcoin', 'pythonlearning', 'webdev', 'pythonprogramming', 'linux', 'memes', 'codinglife', 'MachineLearning', 'DEVCommunity', '100DaysOfCode', '30daysofcode']",14,2,https://twitter.com/ktcodeit/status/1369646184340525064
8,"Your Loved Ones, and Eerie Tom Cruise Videos, Reanimate Unease With Deepfakes - The https://t.co/yMjtYlrGfb #machinelearning #intoAInews",into_AI,"['machinelearning', 'intoAInews']",0,1,https://twitter.com/into_AI/status/1369646144368828419
9,Raspberry Pi machine learning with TensorFlow Lite - If you are interested in learn https://t.co/TOWtcDXQOu #machinelearning #intoAInews,into_AI,"['machinelearning', 'intoAInews']",0,1,https://twitter.com/into_AI/status/1369646090786594817
10,Smart Reviews Platform Launched To Help Root Out Dropshipped “Burner Brands” - Smart https://t.co/8t75dK5Jm6 #machinelearning #intoAInews,into_AI,"['machinelearning', 'intoAInews']",0,0,https://twitter.com/into_AI/status/1369646063276195840
11,"#CMS solutions will greatly benefit from the spectacular progress being made in applying machine learning to Natural Language Processing. But how was it done?
Find it out on our blog! https://t.co/KDt0ifkUWm
#technology #innovations #machinelearning #machinetranslation #NLP https://t.co/ASYZ3KFDSn",EidosMedia,"['CMS', 'technology', 'innovations', 'machinelearning', 'machinetranslation', 'NLP']",0,1,https://twitter.com/EidosMedia/status/1369646039746158597
12,"When did @miekedk, program director at @imecVlaanderen and author of #mensversusmachine realize the value of AI for marketing? Find out in the first installment of Eureka!

https://t.co/UsBonWfQCa 
#ai #Marketing #imec #MachineLearning #data #multiminds #nowyouknow",siegertd,"['mensversusmachine', 'ai', 'Marketing', 'imec', 'MachineLearning', 'data', 'multiminds', 'nowyouknow']",0,0,https://twitter.com/siegertd/status/1369645913958932486
13,Any suggestions for a good book or paper on using kafka for building an event bus service in general? @igor_os777 @Fabriciosx #Coding #CodeNewbies #daysofcode #MachineLearning #Engineering,iShujaAhmedCh,"['Coding', 'CodeNewbies', 'daysofcode', 'MachineLearning', 'Engineering']",0,0,https://twitter.com/iShujaAhmedCh/status/1369645876944179209
14,"Future delivery system. #DEVCommunity #Programming #IoT #IoTPL #100DaysOfCode #MachineLearning #Airdrop #CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G #Engineering #innovation https://t.co/IQwic0WjyM",Innovat78455398,"['DEVCommunity', 'Programming', 'IoT', 'IoTPL', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'Engineering', 'innovation']",6,1,https://twitter.com/Innovat78455398/status/1369645823106060288
15,How Smart Speakers Can Monitor Heartbeats; Evaluating the Benefits of Genomic Data during COVID-19 | Newsletter is out now! https://t.co/s4732MDBNh #MachineLearning,HITAnalytics,['MachineLearning'],0,0,https://twitter.com/HITAnalytics/status/1369645727295696897
16,"The #SAE Autonomy Levels Are Confusing But I Think I Have A Better Way

https://t.co/eywyRW0qpK
#SelfDrivingCars #AI #IoT #5G #AutonomousVehicles #selfdriving #autonomous #Robotics #driverless #driverlesscars #startups #startup #Robot #MachineLearning #BigData #SmartCity #Travel https://t.co/eJqpKMVlDd",guidaautonoma,"['SAE', 'SelfDrivingCars', 'AI', 'IoT', '5G', 'AutonomousVehicles', 'selfdriving', 'autonomous', 'Robotics', 'driverless', 'driverlesscars', 'startups', 'startup', 'Robot', 'MachineLearning', 'BigData', 'SmartCity', 'Travel']",0,1,https://twitter.com/guidaautonoma/status/1369645702331179016
