,Tweet Content,User Name,HashTags,Retweet Count,Favourite Count,URL
0,"Artificial intelligence, self-driving trailers and automated cranes. The future is right now at the LA and Long Beach ports 

Read&amp;Add #AI news
https://t.co/2Gx23Tmsij

#ml #dl #NeuralNetwork #NeuralNetworks 
#machineLearning #deepLearning #artificialIntelligence https://t.co/IbpZ8lx6JY",AINewsBits,"['AI', 'ml', 'dl', 'NeuralNetwork', 'NeuralNetworks', 'machineLearning', 'deepLearning', 'artificialIntelligence']",3,3,https://twitter.com/AINewsBits/status/1372136707500441611
1,"BreakingBED – Breaking Binary and Efficient Deep Neural Networks by Adversarial Attacks
https://t.co/P582l6iW3C
by Manoj Rohit Vemparala et al.
#NeuralNetwork #ConvolutionalNeuralNetwork",arXiv_Daily,"['NeuralNetwork', 'ConvolutionalNeuralNetwork']",0,1,https://twitter.com/arXiv_Daily/status/1372127876389031937
2,"#LivenessDetection demo: Find out more about our API and technology here: https://t.co/KJgukQ2xBl

#API #technology #development #developers #techie #livenesscheck #artificialintelligence #neuralnetwork #antispoofing #presentationattack #fake #ISO #facialrecognition #biometrics https://t.co/5hZ2XNGBLj",BioID_GmbH,"['LivenessDetection', 'API', 'technology', 'development', 'developers', 'techie', 'livenesscheck', 'artificialintelligence', 'neuralnetwork', 'antispoofing', 'presentationattack', 'fake', 'ISO', 'facialrecognition', 'biometrics']",1,0,https://twitter.com/BioID_GmbH/status/1372116059629703169
3,"Stylistic #Composition of #Melodies Based on a Brain-Inspired Spiking #NeuralNetwork 

https://t.co/5ItEWVZqDW",SustainHistory,"['Composition', 'Melodies', 'NeuralNetwork']",2,2,https://twitter.com/SustainHistory/status/1372114299313868800
4,NVIDIA DIGITS: https://t.co/RalARSPRkc | Design custom deep neural network using real-time visualization | #aitrainingsession #aitrainingsessions #neuralnetwork #machinelearningprject #networkresponse #neuralnetworkresponse #dataviz #datavisualization #imageclassification,cudaeducation,"['aitrainingsession', 'aitrainingsessions', 'neuralnetwork', 'machinelearningprject', 'networkresponse', 'neuralnetworkresponse', 'dataviz', 'datavisualization', 'imageclassification']",0,0,https://twitter.com/cudaeducation/status/1372101545802747908
5,"In the paper 'The Hintons in your Neural Network: a #Quantum #Field #Theory View of #DeeLearning' , a team from @Qualcomm-AI has proposed a direct mapping of a deep #neuralnetwork onto an #optical #quantum #computer through the language of quantum field theory.

#AI #ML #DL #STEM https://t.co/ZwVgmUFcrT",lifelabfoundat1,"['Quantum', 'Field', 'Theory', 'DeeLearning', 'neuralnetwork', 'optical', 'quantum', 'computer', 'AI', 'ML', 'DL', 'STEM']",0,2,https://twitter.com/lifelabfoundat1/status/1372096521911422981
6,"""Please steal my art""
With Max ""This is all the art""  Ladabaum @maxladabaumart 
But seriously please steal it from here: https://t.co/4u2b3dZW2O
#alien #art #theft #flesh #AI #generativeart #neuralnetwork #styletransfer #GIF #thisisalltheart https://t.co/Zw2D5jJBXx",alien3y3,"['alien', 'art', 'theft', 'flesh', 'AI', 'generativeart', 'neuralnetwork', 'styletransfer', 'GIF', 'thisisalltheart']",0,1,https://twitter.com/alien3y3/status/1372082908043743233
7,Analysis of a Two-Layer #NeuralNetwork via Displacement Convexity | https://t.co/0ayMHbuXEb #MachineLearning,mpyllan,"['NeuralNetwork', 'MachineLearning']",0,0,https://twitter.com/mpyllan/status/1372049557274693633
8,"Check out this mind blowing article...
Deep Learning : Authentic Exploration of Neural Networks
https://t.co/wdqj6SwOQ1
#ArtificialIntelligence
#IoT #Ai #DataScience #BigData #MachineLearning #Python #Django #NeuralNetworks #neuralnetwork #DeepLearning #ReinforcementLearning https://t.co/6BF4YRlCrG",WriteX12,"['ArtificialIntelligence', 'IoT', 'Ai', 'DataScience', 'BigData', 'MachineLearning', 'Python', 'Django', 'NeuralNetworks', 'neuralnetwork', 'DeepLearning', 'ReinforcementLearning']",11,4,https://twitter.com/WriteX12/status/1372046759849992193
9,"A phenomenal article on Natural Language Processing. 
Follow us for such fascinating articles. https://t.co/wahYJKs55f
#ArtificialIntelligence
#IoT #DataScience #BigData #MachineLearning #Python #Django #neuralnetwork #NaturalLanguageProcessing
#NLP  #ReinforcementLearning https://t.co/f8RdLpwQhk",WriteX12,"['ArtificialIntelligence', 'IoT', 'DataScience', 'BigData', 'MachineLearning', 'Python', 'Django', 'neuralnetwork', 'NaturalLanguageProcessing', 'NLP', 'ReinforcementLearning']",11,4,https://twitter.com/WriteX12/status/1372045077502062594
10,"Diving Deeper into Reinforcement Learning... 
https://t.co/1KJ1RQjT5A
#ArtificialIntelligence
#IoT #Ai #DataScience #BigData #MachineLearning #Python #Django #NeuralNetworks #neuralnetwork #cybersecurity #DeepLearning #ReinforcementLearning https://t.co/dPGvc6mSG8",New081082,"['ArtificialIntelligence', 'IoT', 'Ai', 'DataScience', 'BigData', 'MachineLearning', 'Python', 'Django', 'NeuralNetworks', 'neuralnetwork', 'cybersecurity', 'DeepLearning', 'ReinforcementLearning']",16,4,https://twitter.com/New081082/status/1372001097422807046
11,"5 equations that changed the course of history! Via @Wef @jblefevre60 

Read&amp;Add #AI news
https://t.co/2Gx23TE39R

#NeuralNetwork #NeuralNetworks #machineLearning #deepLearning #artificialIntelligence #ml #dl https://t.co/5a4qvR9LV2",AINewsBits,"['AI', 'NeuralNetwork', 'NeuralNetworks', 'machineLearning', 'deepLearning', 'artificialIntelligence', 'ml', 'dl']",2,3,https://twitter.com/AINewsBits/status/1372000230825107458
12,This recent paper provides a glimpse of the exciting dissertation research proposal that Toshi defended today. #openaccess #soil #NeuralNetwork https://t.co/uSeR2joCqS,Teamrat,"['openaccess', 'soil', 'NeuralNetwork']",0,6,https://twitter.com/Teamrat/status/1371990109772345345
13,"Alienflesh Landscape II &amp; full res detail 
Each piece in this series is mutated from a crop of a section of human flesh against a black background. #alien #art #AI #neuralnetwork #styletransfer #deepstyle #generativeart

See also Alienflesh Landscape I: https://t.co/RtihuL1pMe https://t.co/CepsuZo0RG",alien3y3,"['alien', 'art', 'AI', 'neuralnetwork', 'styletransfer', 'deepstyle', 'generativeart']",0,5,https://twitter.com/alien3y3/status/1371989601192079360
14,Technical Challenges for Training Fair Neural Networks https://t.co/7bwckokGcv  #NeuralNetwork,machinelearnflx,['NeuralNetwork'],1,5,https://twitter.com/machinelearnflx/status/1371974280557309953
15,"Leveraging years of MIT cognitive science research, Nara Logics incorporates findings about the brain into its AI platform.

https://t.co/HJQl983g2K

Image/video credits: @MIT 

#AI #ML #healthcare #technology #engineering #stem #innovation #neuralnetwork #AIsystem #AIplatform",WevolverApp,"['AI', 'ML', 'healthcare', 'technology', 'engineering', 'stem', 'innovation', 'neuralnetwork', 'AIsystem', 'AIplatform']",0,1,https://twitter.com/WevolverApp/status/1371969280019943425
16,"Deep Consensus Learning
https://t.co/UPqbGTkbff
by Wei Sun and @viseyeon
#NeuralNetwork #ComputerScience",arXiv_Daily,"['NeuralNetwork', 'ComputerScience']",0,2,https://twitter.com/arXiv_Daily/status/1371949818642239490
17,"💬 Learn building a chatbot with only a few lines of code! DialoGPT based Chatbot.

#neuralnetworks #neuralnetwork #deeplearning #machinelearning #keras #tensorflow #python #pytorch #lightning #ignite #datascience #model #100daysofcode #100daysofmlcode

https://t.co/nOYJhC4WXD",MachineCurve,"['neuralnetworks', 'neuralnetwork', 'deeplearning', 'machinelearning', 'keras', 'tensorflow', 'python', 'pytorch', 'lightning', 'ignite', 'datascience', 'model', '100daysofcode', '100daysofmlcode']",31,12,https://twitter.com/MachineCurve/status/1371943926479872003
18,"How Trucking Companies Master #Data Collection - via @TechInsider @Ronald_vanLoon 

Read&amp;Add #AI news
https://t.co/2Gx23Tmsij

#deepLearning #artificialIntelligence #ml #dl #NeuralNetwork 
#machineLearning #NeuralNetworks https://t.co/QeTAe7qFUI",AINewsBits,"['Data', 'AI', 'deepLearning', 'artificialIntelligence', 'ml', 'dl', 'NeuralNetwork', 'machineLearning', 'NeuralNetworks']",0,3,https://twitter.com/AINewsBits/status/1371939581298368514
