,Tweet Content,User Name,Tweet Id,HashTags,CreatedAt,Retweet Count,Favourite Count,Image URL,Embedded URL
0,"3 Requirements for Successful #ArtificialIntelligence Programs 👨‍💻📃

Read here:💡
https://t.co/3az4B6KhhF

#AI #DataScience #Analytics #Statistics #Microsoft #Linux #RStats #dataviz #Python #100DaysOfCode #WomenWhoCode #Tech #CyberSecurity #nodejs #api #business #NLP #IoT",KeaneDA1,1362189181632585729,"['ArtificialIntelligence', 'AI', 'DataScience', 'Analytics', 'Statistics', 'Microsoft', 'Linux', 'RStats', 'dataviz', 'Python', '100DaysOfCode', 'WomenWhoCode', 'Tech', 'CyberSecurity', 'nodejs', 'api', 'business', 'NLP', 'IoT']",2021-02-17 23:56:23+08:00,120,36,no images,['https://t.co/3az4B6KhhF']
1,"Day 13 of #100DaysOfCode  started first project with SpaCy NLP. My lesson learn for today, the simplest mistakes are the most difficult ones to spot on. 

#python #DataScience #NLP #MachineLearning #AI #womenintech #WomenWhoCode",AnnaKondratiuk_,1362552250539900930,"['100DaysOfCode', 'python', 'DataScience', 'NLP', 'MachineLearning', 'AI', 'womenintech', 'WomenWhoCode']",2021-02-18 23:59:06+08:00,48,39,no images,[]
2,"What is Artificial Intelligence? How Does AI Work? - Business 2 Community

Read more here: https://t.co/Ni6CUPn7QJ

#ArtificialIntelligence #AI #DataScience #100DaysOfCode #Python #MachineLearning #BigData #DeepLearning #NLP #Robots #IoT",IainLJBrown,1363637924361875456,"['ArtificialIntelligence', 'AI', 'DataScience', '100DaysOfCode', 'Python', 'MachineLearning', 'BigData', 'DeepLearning', 'NLP', 'Robots', 'IoT']",2021-02-21 23:53:10+08:00,39,1,no images,['https://t.co/Ni6CUPn7QJ']
3,"A #MachineLearning Approach to Galaxy Properties: Redshift Mass Distributions. #BigData #Analytics #DataScience #AI #IoT #IIoT #Python #RStats #Java #JavaScript #ReactJS #CloudComputing #Serverless #DataScientist #Linux #Programming #Coding #100DaysofCode 
https://t.co/zTgJl4YHtY https://t.co/bhb1LC59Fv",gp_pulipaka,1364000540418572288,"['MachineLearning', 'BigData', 'Analytics', 'DataScience', 'AI', 'IoT', 'IIoT', 'Python', 'RStats', 'Java', 'JavaScript', 'ReactJS', 'CloudComputing', 'Serverless', 'DataScientist', 'Linux', 'Programming', 'Coding', '100DaysofCode']",2021-02-22 23:54:05+08:00,32,24,"['http://pbs.twimg.com/media/Eu3nQXyWQAMqVUN.jpg', 'http://pbs.twimg.com/media/Eu3nQtBVkAMPwPm.png', 'http://pbs.twimg.com/media/Eu3nQXIXAAIz4GA.jpg', 'http://pbs.twimg.com/media/Eu3nQXfXYAIQutS.jpg']","['https://t.co/zTgJl4YHtY', 'https://t.co/bhb1LC59Fv']"
4,"Fast flying from France to UK. #DEVCommunity #Programming #IoT #IoTPL #AI
#100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G    #innovation #drones #Emergency #robotics #SocialMedia https://t.co/ra237JfHi5",Innovat78455398,1362189907872018432,"['DEVCommunity', 'Programming', 'IoT', 'IoTPL', 'AI', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'innovation', 'drones', 'Emergency', 'robotics', 'SocialMedia']",2021-02-17 23:59:16+08:00,31,13,no images,['https://t.co/ra237JfHi5']
5,"Day 25 of #30DaysOfReact
 
Setting up #Reactjs  Developer Tools on my computer. Learning how to debug a React application 🧐🐛

#WomenWhoCode #codeNewbie #learntocode #womenintech  #girlswhocode #100DaysOfCode https://t.co/lUvCyXefhw",gmoraleslondono,1362550843694800903,"['30DaysOfReact', 'Reactjs', 'WomenWhoCode', 'codeNewbie', 'learntocode', 'womenintech', 'girlswhocode', '100DaysOfCode']",2021-02-18 23:53:30+08:00,26,22,['http://pbs.twimg.com/media/EujArDVXMAAbaRY.jpg'],['https://t.co/lUvCyXefhw']
6,"Doing the hard thing is how you win, how you grow, how you end up getting the most out of life.
Don't Quit.
Great Things Takes Time

#100DaysOfCode #javascript #CodeNewbie #code #coding #Python #HTML #CSS #DEVCommunityNG #DEVCommunity #Developers",LBD_codes,1364001220734689280,"['100DaysOfCode', 'javascript', 'CodeNewbie', 'code', 'coding', 'Python', 'HTML', 'CSS', 'DEVCommunityNG', 'DEVCommunity', 'Developers']",2021-02-22 23:56:47+08:00,23,12,no images,[]
7,"The valley of disappointment.

#100DaysOfCode #DEVCommunity #programmerlife #Coding #development https://t.co/Phc43zOadI",jainsanmati846,1363275264210264068,"['100DaysOfCode', 'DEVCommunity', 'programmerlife', 'Coding', 'development']",2021-02-20 23:52:06+08:00,20,10,['http://pbs.twimg.com/media/EutTWs7UYAEYFP3.jpg'],['https://t.co/Phc43zOadI']
8,"Day 43 of #100DaysOfCode

Yesterday I finished the project(website) I was working on. First time I worked on a full stack project. Took me a week, challenged me a bit(CSS), glad I learned a lot too.

Site: https://t.co/pSbVmx1NSx
#CodeNewbie #Javascipt #NodeJS #EJS #NoSQL",slimake,1363275978341048323,"['100DaysOfCode', 'CodeNewbie', 'Javascipt', 'NodeJS', 'EJS', 'NoSQL']",2021-02-20 23:54:56+08:00,17,13,no images,['https://t.co/pSbVmx1NSx']
9,"#Day25 of #100DaysOfCode challenge!
I tried to solidify my React knowledge today, and ensure that I master the basics before moving on.
#coding #React",roxanatot,1363276612125491202,"['Day25', '100DaysOfCode', 'coding', 'React']",2021-02-20 23:57:27+08:00,17,12,no images,[]
