,Tweet Content,User Name,Tweet Id,HashTags,CreatedAt,Retweet Count,Favourite Count,Image URL,Embedded URL
0,"3 Requirements for Successful #ArtificialIntelligence Programs 👨‍💻📃

Read here:💡
https://t.co/3az4B6KhhF

#AI #DataScience #Analytics #Statistics #Microsoft #Linux #RStats #dataviz #Python #100DaysOfCode #WomenWhoCode #Tech #CyberSecurity #nodejs #api #business #NLP #IoT",KeaneDA1,1362189181632585729,"['ArtificialIntelligence', 'AI', 'DataScience', 'Analytics', 'Statistics', 'Microsoft', 'Linux', 'RStats', 'dataviz', 'Python', '100DaysOfCode', 'WomenWhoCode', 'Tech', 'CyberSecurity', 'nodejs', 'api', 'business', 'NLP', 'IoT']",2021-02-17 23:56:23+08:00,120,36,no images,['https://t.co/3az4B6KhhF']
1,"These robots were built to organize parts on a conveyor belt at high speed. 
CC CurieuxExplorer #Robotics  #AI #ArtificialIntelligence #Automation #100DaysOfCode #MachineLearning #CodeNewbie #100DaysOfMLCode #WomenWhoCode #VegaLMS
📽 via Rainmaker1973 https://t.co/4wqUPw9vaT",techlazy_msft,1363637688650375168,"['Robotics', 'AI', 'ArtificialIntelligence', 'Automation', '100DaysOfCode', 'MachineLearning', 'CodeNewbie', '100DaysOfMLCode', 'WomenWhoCode', 'VegaLMS']",2021-02-21 23:52:14+08:00,55,43,['http://pbs.twimg.com/ext_tw_video_thumb/1362626769652695042/pu/img/jR5Pp94jv-H-tGz9.jpg'],['https://t.co/4wqUPw9vaT']
2,"What is Artificial Intelligence? How Does AI Work? - Business 2 Community

Read more here: https://t.co/Ni6CUPn7QJ

#ArtificialIntelligence #AI #DataScience #100DaysOfCode #Python #MachineLearning #BigData #DeepLearning #NLP #Robots #IoT",IainLJBrown,1363637924361875456,"['ArtificialIntelligence', 'AI', 'DataScience', '100DaysOfCode', 'Python', 'MachineLearning', 'BigData', 'DeepLearning', 'NLP', 'Robots', 'IoT']",2021-02-21 23:53:10+08:00,39,1,no images,['https://t.co/Ni6CUPn7QJ']
3,"Fast flying from France to UK. #DEVCommunity #Programming #IoT #IoTPL #AI
#100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G    #innovation #drones #Emergency #robotics #SocialMedia https://t.co/ra237JfHi5",Innovat78455398,1362189907872018432,"['DEVCommunity', 'Programming', 'IoT', 'IoTPL', 'AI', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'innovation', 'drones', 'Emergency', 'robotics', 'SocialMedia']",2021-02-17 23:59:16+08:00,31,13,no images,['https://t.co/ra237JfHi5']
4,"Laser weapon with amazing accuracy. #DEVCommunity #Programming #IoT #IoTPL #AI
#100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G    #innovation #drones #Emergency #robotics #SocialMedia https://t.co/OEPrhCLbIJ",Innovat78455398,1364000631824945156,"['DEVCommunity', 'Programming', 'IoT', 'IoTPL', 'AI', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'innovation', 'drones', 'Emergency', 'robotics', 'SocialMedia']",2021-02-22 23:54:27+08:00,15,7,no images,['https://t.co/OEPrhCLbIJ']
5,"This chair helps you at #outdoor #concert. #DEVCommunity #Programming #IoT  #AI
#100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G    #innovation #drones #robotics #SocialMedia #engineering https://t.co/vu9BTPuudF",Innovat78455398,1364001140853985282,"['outdoor', 'concert', 'DEVCommunity', 'Programming', 'IoT', 'AI', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'innovation', 'drones', 'robotics', 'SocialMedia', 'engineering']",2021-02-22 23:56:28+08:00,13,5,no images,['https://t.co/vu9BTPuudF']
6,"This is what wheel gun for #Formular1. #DEVCommunity #Programming #IoT #IoTPL #AI
#100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G    #innovation #drones #Emergency #robotics #SocialMedia https://t.co/Dn6PKI6wqn",Innovat78455398,1364001553523253250,"['Formular1', 'DEVCommunity', 'Programming', 'IoT', 'IoTPL', 'AI', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'innovation', 'drones', 'Emergency', 'robotics', 'SocialMedia']",2021-02-22 23:58:06+08:00,13,4,no images,['https://t.co/Dn6PKI6wqn']
7,"#FEATURED #COURSES

Artificial #Intelligence in #Unity
A Beginner's Guide 

https://t.co/lb9QsDernl

#artificialintelligence #AI #computergames #unity #programming #game #development #gamedevelopment https://t.co/Z1OUSoDtuP",byLilyV,1363274174245044224,"['FEATURED', 'COURSES', 'Intelligence', 'Unity', 'artificialintelligence', 'AI', 'computergames', 'unity', 'programming', 'game', 'development', 'gamedevelopment']",2021-02-20 23:47:46+08:00,10,5,['http://pbs.twimg.com/media/EutSosQWgAAVl42.png'],"['https://t.co/lb9QsDernl', 'https://t.co/Z1OUSoDtuP']"
8,Book: Artificial Intelligence with Python https://t.co/mNqmCSvsxr  #ArtificialIntelligence,Datascience__,1363275556524077058,['ArtificialIntelligence'],2021-02-20 23:53:15+08:00,8,5,no images,['https://t.co/mNqmCSvsxr']
9,"#Ladybug by #drawing looks real in a box. #DEVCommunity #Programming #IoT #IoTPL #AI
#100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G    #innovation #Science #futureofwork #Pencildrawing https://t.co/vwTsACSYqN",Innovat78455398,1361826953507045376,"['Ladybug', 'drawing', 'DEVCommunity', 'Programming', 'IoT', 'IoTPL', 'AI', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'innovation', 'Science', 'futureofwork', 'Pencildrawing']",2021-02-16 23:57:01+08:00,8,3,no images,['https://t.co/vwTsACSYqN']
