,Tweet Content,User Name,Tweet Id,HashTags,CreatedAt,Retweet Count,Favourite Count,Image URL,Embedded URL
0,"Artificial Intelligence | How companies could get around potential barriers

https://t.co/EWxI8jkJG6 @moneycontrolcom 

#AI #MachineLearning #DataScience #BigData #Analytics #ML #python #rstats #linux #serverless #womenwhocode #100daysofcode #DeepLearning #DigitalTransformation https://t.co/ydqhz56pjg",marcusborba,1362185876147691526,"['AI', 'MachineLearning', 'DataScience', 'BigData', 'Analytics', 'ML', 'python', 'rstats', 'linux', 'serverless', 'womenwhocode', '100daysofcode', 'DeepLearning', 'DigitalTransformation']",2021-02-17 23:43:15+08:00,50,26,['http://pbs.twimg.com/media/Eud0J3rVoAMY7hf.png'],"['https://t.co/EWxI8jkJG6', 'https://t.co/ydqhz56pjg']"
1,"What is Artificial Intelligence? How Does AI Work? - Business 2 Community

Read more here: https://t.co/Ni6CUPn7QJ

#ArtificialIntelligence #AI #DataScience #100DaysOfCode #Python #MachineLearning #BigData #DeepLearning #NLP #Robots #IoT",IainLJBrown,1363637924361875456,"['ArtificialIntelligence', 'AI', 'DataScience', '100DaysOfCode', 'Python', 'MachineLearning', 'BigData', 'DeepLearning', 'NLP', 'Robots', 'IoT']",2021-02-21 23:53:10+08:00,39,1,no images,['https://t.co/Ni6CUPn7QJ']
2,"@Strat_AI TY for the #AI post, @Strat_AI!

https://t.co/6dnYt5kqY8

#100DaysOfCode #AI #Analytics #ArtificialIntelligence  #DataViz #DataScience #DeepLearning #DigitalTransformation #Flutter #Innovation #IoT #JavaScript #MachineLearning #NodeJS #Programming #Python #Tech #VR #WomenWhoCode",AI_Miami,1363269115822166016,"['AI', '100DaysOfCode', 'AI', 'Analytics', 'ArtificialIntelligence', 'DataViz', 'DataScience', 'DeepLearning', 'DigitalTransformation', 'Flutter', 'Innovation', 'IoT', 'JavaScript', 'MachineLearning', 'NodeJS', 'Programming', 'Python', 'Tech', 'VR', 'WomenWhoCode']",2021-02-20 23:27:40+08:00,34,19,no images,['https://t.co/6dnYt5kqY8']
3,"In my 6th day of the #100DaysOfCode This is Apriori Machine Learning Model #MachineLearning #AI
#codecritical #6DaysOfCodeBFCAI #DeepLearning #Python #ArtificialIntelligence #technology 🤍🤎😍 https://t.co/m2xfd4Bypx",Abo_Heiba7,1363634147080757253,"['100DaysOfCode', 'MachineLearning', 'AI', 'codecritical', '6DaysOfCodeBFCAI', 'DeepLearning', 'Python', 'ArtificialIntelligence', 'technology']",2021-02-21 23:38:10+08:00,28,4,['http://pbs.twimg.com/media/EuyZJRYWgAIlexf.png'],['https://t.co/m2xfd4Bypx']
4,"These Are 8 Rewarding and Highly Sought-After Tech Careers via @catherineadenle https://t.co/xPXrAL8i2N 

#ArtificialIntelligence #DataScience #Python  #100DaysOfCode #DEVCommunity #IoT #womenintech  #CyberSecurity #tech #DeepLearning #startups #Innovation",con2013_ops,1363633671991943169,"['ArtificialIntelligence', 'DataScience', 'Python', '100DaysOfCode', 'DEVCommunity', 'IoT', 'womenintech', 'CyberSecurity', 'tech', 'DeepLearning', 'startups', 'Innovation']",2021-02-21 23:36:17+08:00,25,9,no images,['https://t.co/xPXrAL8i2N']
5,"Intro to #DataScience: Your Step-by-Step Guide To Starting #Udemy

Preview This Course GET COUPON CODE =&gt; https://t.co/Ay1JjHHF9u

#100DaysOfCode #DataScience #ETL #DeepLearning #R #Python #DataAnalysis #ArtificialIntelligence #javascript30 #womenintech #ad #css #csharp #free",freecodecoupon,1363634050116689921,"['DataScience', 'Udemy', '100DaysOfCode', 'DataScience', 'ETL', 'DeepLearning', 'R', 'Python', 'DataAnalysis', 'ArtificialIntelligence', 'javascript30', 'womenintech', 'ad', 'css', 'csharp', 'free']",2021-02-21 23:37:47+08:00,24,11,no images,['https://t.co/Ay1JjHHF9u']
35,"Want to know the #ML process? Here is an #infographic below.

Check out the 5 Steps in the #MachineLearning process.

#Python #datascience #DataAnalytics  #DeepLearning #technology #DEVCommunity #BigData #blockchain #CloudComputing #CyberSecurity #DevOps https://t.co/debURh3tU3",thinksysinc,1361817646744940545,"['ML', 'infographic', 'MachineLearning', 'Python', 'datascience', 'DataAnalytics', 'DeepLearning', 'technology', 'DEVCommunity', 'BigData', 'blockchain', 'CloudComputing', 'CyberSecurity', 'DevOps']",2021-02-16 23:20:02+08:00,21,15,['http://pbs.twimg.com/media/EuYl7uJWQAQb-YO.jpg'],['https://t.co/debURh3tU3']
6,"(Dreamweaver CS5 All in One For Dummies) Check it out 👉 - https://t.co/vY24Gcgy8J

#datascience #Java #ArtificialIntelligence #python #Bigdata #javascript #angular #reactjs #DeepLearning #Django #100DaysofCode #fullstackdeveloper #security #IoT https://t.co/B5xvgZb37t",progbooks1,1361818658285133835,"['datascience', 'Java', 'ArtificialIntelligence', 'python', 'Bigdata', 'javascript', 'angular', 'reactjs', 'DeepLearning', 'Django', '100DaysofCode', 'fullstackdeveloper', 'security', 'IoT']",2021-02-16 23:24:04+08:00,21,13,['http://pbs.twimg.com/media/EuYm2lVVcAIUK7i.jpg'],"['https://t.co/vY24Gcgy8J', 'https://t.co/B5xvgZb37t']"
7,"THE COMPLETE SELF-DRIVING CAR COURSE - APPLIED #DEEPLEARNING

=&gt; https://t.co/IVaibFTlUN

#DataScience #DeepLearning #MachineLearning #TensorFlow #Python #ArtificialIntelligence #DataAnalysis #NeuralNetworks #womenintech #javascript30 #100DaysOfCode #udemy #free #udemycoupons",99coupon1,1363637031524425728,"['DEEPLEARNING', 'DataScience', 'DeepLearning', 'MachineLearning', 'TensorFlow', 'Python', 'ArtificialIntelligence', 'DataAnalysis', 'NeuralNetworks', 'womenintech', 'javascript30', '100DaysOfCode', 'udemy', 'free', 'udemycoupons']",2021-02-21 23:49:38+08:00,21,7,no images,['https://t.co/IVaibFTlUN']
8,Data Analysis and Statistics: Practical ($94.99 to FREE) #Linux #DeepLearning #Python #DataScience #AI #programming #MachineLearning #BigData #Serverless #IoT #blockchain #JavaScript #100DaysOfCode #CloudComputing #ML #ArtificialIntelligence https://t.co/v8X42dRrOk,jucktion,1362186705109995523,"['Linux', 'DeepLearning', 'Python', 'DataScience', 'AI', 'programming', 'MachineLearning', 'BigData', 'Serverless', 'IoT', 'blockchain', 'JavaScript', '100DaysOfCode', 'CloudComputing', 'ML', 'ArtificialIntelligence']",2021-02-17 23:46:33+08:00,20,8,no images,['https://t.co/v8X42dRrOk']
