,Tweet Content,User Name,HashTags,Retweet Count,Favourite Count,URL,CreatedAt
0,"The use of #AI in recruitment ranges from video software to #chatbots 
@MargaretSiegien 
#HR #4IR #futureofwork #IoT #IIoT #ML #NLP #javascript #DataScience #Analytics #Python #Serverless #flutter #Linux #MachineLearning #100DaysOfCode #Rstarts #DevOps  
https://t.co/BQZOEbbhKR",MargaretSiegien,"['AI', 'chatbots', 'HR', '4IR', 'futureofwork', 'IoT', 'IIoT', 'ML', 'NLP', 'javascript', 'DataScience', 'Analytics', 'Python', 'Serverless', 'flutter', 'Linux', 'MachineLearning', '100DaysOfCode', 'Rstarts', 'DevOps']",60,30,https://twitter.com/MargaretSiegien/status/1366536848600891394,2021-03-01
1,"Logistic Regression for Binary Classification: Supervised Learning Methods in #MachineLearning
https://t.co/VlQdVRVv1N

v/ @SourabhSKatoch
#ML #AI #100DaysOfCode #DEVCommunity #IoT #IIoT #IoTPL #Python #Serverless #CyberSecurity #RStats #DataScience #Analytics #BigData #NLP #RPA https://t.co/yJ84uhtYoy https://t.co/eFOJyabCwX",Eli_Krumova,"['MachineLearning', 'ML', 'AI', '100DaysOfCode', 'DEVCommunity', 'IoT', 'IIoT', 'IoTPL', 'Python', 'Serverless', 'CyberSecurity', 'RStats', 'DataScience', 'Analytics', 'BigData', 'NLP', 'RPA']",59,18,https://twitter.com/Eli_Krumova/status/1367624332021743616,2021-03-04
2,"Python Cheat Sheet.#ComputerScience #BigData #Analytics #DataScience #AI #MachineLearning #IoT #Python #RStats #TensorFlow #JavaScript #ReactJS #CloudComputing #Serverless #DataScientist #Linux #Mathematics #Statistics #Programming #Coding #100DaysofCode
https://t.co/iuBhWH2Qst https://t.co/mFZI0VDErW",laudari1,"['ComputerScience', 'BigData', 'Analytics', 'DataScience', 'AI', 'MachineLearning', 'IoT', 'Python', 'RStats', 'TensorFlow', 'JavaScript', 'ReactJS', 'CloudComputing', 'Serverless', 'DataScientist', 'Linux', 'Mathematics', 'Statistics', 'Programming', 'Coding', '100DaysofCode']",41,34,https://twitter.com/laudari1/status/1366538092945887232,2021-03-01
3,"Virtual bank uprising🌟⁉️
Fintech giant Klarna launched consumer bank account in Germany🚀
More on BNPL👇
#100DaysOfCode #python #coding #development #DataScience #tech #dev #web #MachineLearning #career #startups #Business #learning #DeepLearning #CyberSecurity #fintech #digital",zeldia123,"['100DaysOfCode', 'python', 'coding', 'development', 'DataScience', 'tech', 'dev', 'web', 'MachineLearning', 'career', 'startups', 'Business', 'learning', 'DeepLearning', 'CyberSecurity', 'fintech', 'digital']",38,14,https://twitter.com/zeldia123/status/1367625296271261704,2021-03-04
4,"Theory of frequency and vibration. #Transportation #beforeandafter #DEVCommunity #Programming #IoT #IoTPL 
#100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G #Engineering #innovation #physics https://t.co/8i2ZYpRAX0",Innovat78455398,"['Transportation', 'beforeandafter', 'DEVCommunity', 'Programming', 'IoT', 'IoTPL', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'Engineering', 'innovation', 'physics']",32,28,https://twitter.com/Innovat78455398/status/1368350129774764034,2021-03-06
5,"My answer to What are the best niche ideas for affiliate marketing in 2021? https://t.co/62meOWXDtG 

#AffiliateMarketing #Entrepreneur #JavaScript #MachineLearning #DigitalTransformation #startups  #Business #linux #100DaysOfCode #python #algorithm #serverless #DigitalMarketing",kevinsvips,"['AffiliateMarketing', 'Entrepreneur', 'JavaScript', 'MachineLearning', 'DigitalTransformation', 'startups', 'Business', 'linux', '100DaysOfCode', 'python', 'algorithm', 'serverless', 'DigitalMarketing']",32,19,https://twitter.com/kevinsvips/status/1366175803453575169,2021-02-28
6,"With 8-10 cups of ☕️

#programminghumor  #coding #javascript #python #bitcoin #pythonlearning #webdev #pythonprogramming  #linux #memes #codinglife #MachineLearning #DEVCommunity #100DaysOfCode #30daysofcode https://t.co/RY1E3NAHS4",ktcodeit,"['programminghumor', 'coding', 'javascript', 'python', 'bitcoin', 'pythonlearning', 'webdev', 'pythonprogramming', 'linux', 'memes', 'codinglife', 'MachineLearning', 'DEVCommunity', '100DaysOfCode', '30daysofcode']",30,19,https://twitter.com/ktcodeit/status/1366175616517754880,2021-02-28
7,"Guide to #Sentiment, Positioning Analysis &amp; #Trend #Analysis of the #US #Stock Market
https://t.co/SjKf3IwBIT
v/ @SourabhSKatoch

#MachineLearning #ML #AI #100DaysOfCode #DEVCommunity #IoT #IIoT #IoTPL #Python #Cloud #Serverless #cybersecurity #RStats #DataScience #Analytics #RPA https://t.co/QPdvsGlWt6 https://t.co/4NfknkX7MI",Eli_Krumova,"['Sentiment', 'Trend', 'Analysis', 'US', 'Stock', 'MachineLearning', 'ML', 'AI', '100DaysOfCode', 'DEVCommunity', 'IoT', 'IIoT', 'IoTPL', 'Python', 'Cloud', 'Serverless', 'cybersecurity', 'RStats', 'DataScience', 'Analytics', 'RPA']",29,4,https://twitter.com/Eli_Krumova/status/1367625050174676996,2021-03-04
8,"The Task Force on Rebooting Computing (TFRC), housed within #IEEECS, is the new home for the #IEEE Rebooting #Computing Initiative! Get information on all resources, and how to join the TFRC:  https://t.co/lgH28C0JAR

#Machinelearning #programming #computers #ai https://t.co/Hp6iifP6BS",ComputerSociety,"['IEEECS', 'IEEE', 'Computing', 'Machinelearning', 'programming', 'computers', 'ai']",15,15,https://twitter.com/ComputerSociety/status/1366176109256179714,2021-02-28
9,Machine-learning model helps determine protein structures https://t.co/QTRsYlFuNC  #MachineLearning,Datascience__,['MachineLearning'],13,3,https://twitter.com/Datascience__/status/1368350099051528195,2021-03-06
