,Tweet Content,User Name,Tweet Id,HashTags,CreatedAt,Retweet Count,Favourite Count,Image URL,Embedded URL
42,"The Map of Artificial Intelligence (2020): https://t.co/OCgnkV3LKO by @AiTerritory 

#AI #MachineLearning #DeepLearning #NeuralNetworks #ReinforcementLearning #BigData #DataScience https://t.co/y5eNqpNFF3",KirkDBorne,1361811962477350915,"['AI', 'MachineLearning', 'DeepLearning', 'NeuralNetworks', 'ReinforcementLearning', 'BigData', 'DataScience']",2021-02-16 22:57:27+08:00,172,365,['http://pbs.twimg.com/media/EuYgaJ8XAAA5kPm.jpg'],"['https://t.co/OCgnkV3LKO', 'https://t.co/y5eNqpNFF3']"
0,"Best of arXiv•org for #AI, #MachineLearning, and #DeepLearning – December 2020: https://t.co/XEu2nHp5dW by @InsideBigData1 
—————
#BigData #DataScience #NeuralNetworks #Algorithms #Statistics #Mathematics #DataScientists #NLProc https://t.co/T1ksWl74QS",KirkDBorne,1362544630726856712,"['AI', 'MachineLearning', 'DeepLearning', 'BigData', 'DataScience', 'NeuralNetworks', 'Algorithms', 'Statistics', 'Mathematics', 'DataScientists', 'NLProc']",2021-02-18 23:28:49+08:00,45,22,['http://pbs.twimg.com/media/Eui7HfBXYAEj48v.jpg'],"['https://t.co/XEu2nHp5dW', 'https://t.co/T1ksWl74QS']"
1,"Basic Linear Algebra for Deep Learning and Machine Learning Python Tutorial → https://t.co/yUzHn6770S

#linearalgebra #deeplearning #neuralnetwork #neuralnetworks #cnn #machinelearning #ml #ai #ia #programming #python #100daysofcode #coding #cloudcomputing #math #neuralnets #nn",mlmemoirs,1362895581031649284,"['linearalgebra', 'deeplearning', 'neuralnetwork', 'neuralnetworks', 'cnn', 'machinelearning', 'ml', 'ai', 'ia', 'programming', 'python', '100daysofcode', 'coding', 'cloudcomputing', 'math', 'neuralnets', 'nn']",2021-02-19 22:43:22+08:00,34,11,no images,['https://t.co/yUzHn6770S']
2,"Best Laptops for Machine Learning, Data Science, and Deep Learning → https://t.co/KOfaD1fE0c

#NVIDIA #GEFORCE #deeplearning #neuralnetwork #neuralnetworks #cnn #machinelearning #ml #ai #ia #programming #python #100daysofcode #coding #datascience #math #mathematics #neuralnet",stanford__ai,1363622140851990530,"['NVIDIA', 'GEFORCE', 'deeplearning', 'neuralnetwork', 'neuralnetworks', 'cnn', 'machinelearning', 'ml', 'ai', 'ia', 'programming', 'python', '100daysofcode', 'coding', 'datascience', 'math', 'mathematics', 'neuralnet']",2021-02-21 22:50:27+08:00,33,10,no images,['https://t.co/KOfaD1fE0c']
3,"Best Laptops for Machine Learning, Data Science, and Deep Learning → https://t.co/MyAm8Bq1PC

#NVIDIA #GEFORCE #deeplearning #neuralnetwork #neuralnetworks #cnn #machinelearning #ml #ai #ia #programming #python #100daysofcode #coding #datascience #math #mathematics #neuralnet",towards_AI,1363609724269297667,"['NVIDIA', 'GEFORCE', 'deeplearning', 'neuralnetwork', 'neuralnetworks', 'cnn', 'machinelearning', 'ml', 'ai', 'ia', 'programming', 'python', '100daysofcode', 'coding', 'datascience', 'math', 'mathematics', 'neuralnet']",2021-02-21 22:01:07+08:00,30,17,no images,['https://t.co/MyAm8Bq1PC']
4,"Best Laptops for Machine Learning, Data Science, and Deep Learning → https://t.co/4Ks3m52yQf

#NVIDIA #GEFORCE #deeplearning #neuralnetwork #neuralnetworks #cnn #machinelearning #ml #ai #ia #programming #python #100daysofcode #coding #datascience #math #mathematics #neuralnet",mlmemoirs,1363620330380656643,"['NVIDIA', 'GEFORCE', 'deeplearning', 'neuralnetwork', 'neuralnetworks', 'cnn', 'machinelearning', 'ml', 'ai', 'ia', 'programming', 'python', '100daysofcode', 'coding', 'datascience', 'math', 'mathematics', 'neuralnet']",2021-02-21 22:43:16+08:00,28,13,no images,['https://t.co/4Ks3m52yQf']
5,"Basic Linear Algebra for Deep Learning and Machine Learning Python Tutorial → https://t.co/ic6OCNxVHa

#linearalgebra #deeplearning #neuralnetwork #neuralnetworks #cnn #machinelearning #ml #ai #ia #programming #python #100daysofcode #coding #cloudcomputing #math #neuralnets #nn",towards_AI,1362884744590086149,"['linearalgebra', 'deeplearning', 'neuralnetwork', 'neuralnetworks', 'cnn', 'machinelearning', 'ml', 'ai', 'ia', 'programming', 'python', '100daysofcode', 'coding', 'cloudcomputing', 'math', 'neuralnets', 'nn']",2021-02-19 22:00:18+08:00,28,9,no images,['https://t.co/ic6OCNxVHa']
6,"New in HuggingFace Transformers: Speech Recognition!

#neuralnetworks #neuralnetwork #deeplearning #machinelearning #keras #tensorflow #python #pytorch #lightning #ignite #datascience #model #100daysofcode #100daysofmlcode

https://t.co/QNq8I7hOWC",MachineCurve,1362165117467590661,"['neuralnetworks', 'neuralnetwork', 'deeplearning', 'machinelearning', 'keras', 'tensorflow', 'python', 'pytorch', 'lightning', 'ignite', 'datascience', 'model', '100daysofcode', '100daysofmlcode']",2021-02-17 22:20:46+08:00,24,16,no images,['https://t.co/QNq8I7hOWC']
7,"Convolutional Neural Networks (CNNs) Tutorial with Python → https://t.co/7OdQF3eT6c

#cnns #deeplearning #neuralnetwork #neuralnetworks #cnn #machinelearning #ml #ai #ia #programming #python #100daysofcode #coding #cloudcomputing #math #mathematics #neuralnets #neuralnetwork",towards_AI,1363247113946210311,"['cnns', 'deeplearning', 'neuralnetwork', 'neuralnetworks', 'cnn', 'machinelearning', 'ml', 'ai', 'ia', 'programming', 'python', '100daysofcode', 'coding', 'cloudcomputing', 'math', 'mathematics', 'neuralnets', 'neuralnetwork']",2021-02-20 22:00:14+08:00,22,12,no images,['https://t.co/7OdQF3eT6c']
8,"#Python A-Z™: Python For Data Science With Real Exercises! #udemyfree #udemycoupon 

=&gt; https://t.co/gAp9Faj5OE

#DataScience #Python #DeepLearning #TensorFlow #ArtificialIntelligence #MachineLearning #NeuralNetworks #R #DataAnalysis #javascript30 #100DaysOfCode #udemy",FreeHipwee,1362537385225949189,"['Python', 'udemyfree', 'udemycoupon', 'DataScience', 'Python', 'DeepLearning', 'TensorFlow', 'ArtificialIntelligence', 'MachineLearning', 'NeuralNetworks', 'R', 'DataAnalysis', 'javascript30', '100DaysOfCode', 'udemy']",2021-02-18 23:00:02+08:00,21,16,no images,['https://t.co/gAp9Faj5OE']
9,"THE COMPLETE SELF-DRIVING CAR COURSE - APPLIED #DEEPLEARNING

=&gt; https://t.co/IVaibFTlUN

#DataScience #DeepLearning #MachineLearning #TensorFlow #Python #ArtificialIntelligence #DataAnalysis #NeuralNetworks #womenintech #javascript30 #100DaysOfCode #udemy #free #udemycoupons",99coupon1,1363637031524425728,"['DEEPLEARNING', 'DataScience', 'DeepLearning', 'MachineLearning', 'TensorFlow', 'Python', 'ArtificialIntelligence', 'DataAnalysis', 'NeuralNetworks', 'womenintech', 'javascript30', '100DaysOfCode', 'udemy', 'free', 'udemycoupons']",2021-02-21 23:49:38+08:00,21,7,no images,['https://t.co/IVaibFTlUN']
10,"💬 Wav2vec 2: Transformers for Speech Recognition

#neuralnetworks #neuralnetwork #deeplearning #machinelearning #keras #tensorflow #python #pytorch #lightning #ignite #datascience #model #100daysofcode #100daysofmlcode

https://t.co/Q7CrwHUb11",MachineCurve,1361814337548136456,"['neuralnetworks', 'neuralnetwork', 'deeplearning', 'machinelearning', 'keras', 'tensorflow', 'python', 'pytorch', 'lightning', 'ignite', 'datascience', 'model', '100daysofcode', '100daysofmlcode']",2021-02-16 23:06:54+08:00,20,11,no images,['https://t.co/Q7CrwHUb11']
11,"Decoding Machine Learning: Neural Networks
https://t.co/t5KKAifYok
#ArtificialIntelligence
#IoT #Ai #DataScience #BigData #MachineLearning #Python #Django #NeuralNetworks #neuralnetwork #cybersecurity #DeepLearning #JoeBiden #DEVCommunity https://t.co/BaRo3mDQbs",WriteX12,1364068548922933251,"['ArtificialIntelligence', 'IoT', 'Ai', 'DataScience', 'BigData', 'MachineLearning', 'Python', 'Django', 'NeuralNetworks', 'neuralnetwork', 'cybersecurity', 'DeepLearning', 'JoeBiden', 'DEVCommunity']",2021-02-23 04:24:19+08:00,19,7,['http://pbs.twimg.com/media/Eu4lHZnUcAkkORD.jpg'],"['https://t.co/t5KKAifYok', 'https://t.co/BaRo3mDQbs']"
12,Neural network training progress image 38 of unknown: an algorithm slowly learns to imagine #machinelearning #art #imagination #surreal #abstract #creativity #machinecreativity #machineimagination #neuralnetworks #coding #creativecoding #python #tensorflow #nvidia #digitalart https://t.co/epD20XUMbV,flowrax_x,1363594688037609479,"['machinelearning', 'art', 'imagination', 'surreal', 'abstract', 'creativity', 'machinecreativity', 'machineimagination', 'neuralnetworks', 'coding', 'creativecoding', 'python', 'tensorflow', 'nvidia', 'digitalart']",2021-02-21 21:01:22+08:00,19,4,['http://pbs.twimg.com/media/Eux16seXMAcC3Cu.jpg'],['https://t.co/epD20XUMbV']
13,"Convolutional Neural Networks (CNNs) Tutorial with Python → https://t.co/A5u94yqmbR

#cnns #deeplearning #neuralnetwork #neuralnetworks #cnn #machinelearning #ml #ai #ia #programming #python #100daysofcode #coding #cloudcomputing #math #mathematics #neuralnets #neuralnetwork",stanford__ai,1363259734745350146,"['cnns', 'deeplearning', 'neuralnetwork', 'neuralnetworks', 'cnn', 'machinelearning', 'ml', 'ai', 'ia', 'programming', 'python', '100daysofcode', 'coding', 'cloudcomputing', 'math', 'mathematics', 'neuralnets', 'neuralnetwork']",2021-02-20 22:50:23+08:00,17,5,no images,['https://t.co/A5u94yqmbR']
14,Neural network training progress image 23 of unknown: an algorithm slowly learns to imagine #machinelearning #art #imagination #surreal #abstract #creativity #machinecreativity #machineimagination #neuralnetworks #coding #creativecoding #python #tensorflow #nvidia #digitalart https://t.co/wbVf8WpF4X,flowrax_x,1362538786966691844,"['machinelearning', 'art', 'imagination', 'surreal', 'abstract', 'creativity', 'machinecreativity', 'machineimagination', 'neuralnetworks', 'coding', 'creativecoding', 'python', 'tensorflow', 'nvidia', 'digitalart']",2021-02-18 23:05:36+08:00,16,7,['http://pbs.twimg.com/media/Eui1rxGXMAIZJWY.jpg'],['https://t.co/wbVf8WpF4X']
15,Neural network training progress image 33 of unknown: an algorithm slowly learns to imagine #machinelearning #art #imagination #surreal #abstract #creativity #machinecreativity #machineimagination #neuralnetworks #coding #creativecoding #python #tensorflow #nvidia #digitalart https://t.co/YwXlcpR8G8,flowrax_x,1363264854166020103,"['machinelearning', 'art', 'imagination', 'surreal', 'abstract', 'creativity', 'machinecreativity', 'machineimagination', 'neuralnetworks', 'coding', 'creativecoding', 'python', 'tensorflow', 'nvidia', 'digitalart']",2021-02-20 23:10:44+08:00,15,7,['http://pbs.twimg.com/media/EutKAj6XMAI3Vpv.jpg'],['https://t.co/YwXlcpR8G8']
