,Tweet Content,User Name,HashTags,Retweet Count,Favourite Count,URL,Created Date
0,"#Physics is fun. #DEVCommunity #Programming #IoT #IoTPL #100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G #Engineering #innovation https://t.co/KPmCfuTwoo",Innovat78455398,"['Physics', 'DEVCommunity', 'Programming', 'IoT', 'IoTPL', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'Engineering', 'innovation']",63,41,https://twitter.com/Innovat78455398/status/1370158822635884545,2021-03-11
1,"Artificial intelligence leads NATO's new strategy for emerging and disruptive tech - C4ISRNet

Read more here: https://t.co/YdurmZH5TX

#ArtificialIntelligence #AI #DataScience #100DaysOfCode #Python #MachineLearning #BigData #DeepLearning #NLP #Robots #IoT",IainLJBrown,"['ArtificialIntelligence', 'AI', 'DataScience', '100DaysOfCode', 'Python', 'MachineLearning', 'BigData', 'DeepLearning', 'NLP', 'Robots', 'IoT']",35,16,https://twitter.com/IainLJBrown/status/1371248121951444994,2021-03-14
2,"Members - Black Women In Artificial Intelligence &amp; Create Labs @Create_Labs  presents ""Introduction to GPT-3"" RSVP #BWIAI  #100DaysOfCode #DataScience #Python #GPT3 #WomensHistoryMonth #Tech #STEM #ArtificialIntelligence #AI #machinelearning #IoT #Apple #gamers @BlackWomenInAI https://t.co/efHfBrp6UX",BlackWomenInAI,"['BWIAI', '100DaysOfCode', 'DataScience', 'Python', 'GPT3', 'WomensHistoryMonth', 'Tech', 'STEM', 'ArtificialIntelligence', 'AI', 'machinelearning', 'IoT', 'Apple', 'gamers']",33,19,https://twitter.com/BlackWomenInAI/status/1371610601508773904,2021-03-15
3,Fundamentals of Machine Learning ($19.99 to Free) #ArtificialIntelligence #100DaysOfCode #programming #blockchain #CloudComputing #MachineLearning #IoT #DeepLearning #Python #BigData #Serverless #ML #Linux #AI #JavaScript #DataScience https://t.co/8jm4NqegG5  #Javascript,javascriptflx,"['ArtificialIntelligence', '100DaysOfCode', 'programming', 'blockchain', 'CloudComputing', 'MachineLearning', 'IoT', 'DeepLearning', 'Python', 'BigData', 'Serverless', 'ML', 'Linux', 'AI', 'JavaScript', 'DataScience', 'Javascript']",25,6,https://twitter.com/javascriptflx/status/1370524843758718981,2021-03-12
4,Silos vs Systems: Solving the #CIO Conflict. https://t.co/JOaWHe1u5a #DigitalTransformation #Cloud #MachineLearning #BigData #ArtificialIntelligence #cybersecurity #Blockchain #DX #Analytics #AI #IIoT #DataScience #IoT #IoTPL #100DaysOfCode #CloudComputing #CodeNewbie #Cyber #DL,Sheraj99,"['CIO', 'DigitalTransformation', 'Cloud', 'MachineLearning', 'BigData', 'ArtificialIntelligence', 'cybersecurity', 'Blockchain', 'DX', 'Analytics', 'AI', 'IIoT', 'DataScience', 'IoT', 'IoTPL', '100DaysOfCode', 'CloudComputing', 'CodeNewbie', 'Cyber', 'DL']",18,10,https://twitter.com/Sheraj99/status/1371612027588898817,2021-03-15
5,An effective methodology to address and successfully solve common problems that #CIOs face in the #DigitalAge https://t.co/elKZITIvMk #Cloud #MachineLearning #BigData #ArtificialIntelligence #Blockchain #AI #IIoT #DataScience #100DaysOfCode #blockchain #CloudComputing #CodeNewbie,Sheraj99,"['CIOs', 'DigitalAge', 'Cloud', 'MachineLearning', 'BigData', 'ArtificialIntelligence', 'Blockchain', 'AI', 'IIoT', 'DataScience', '100DaysOfCode', 'blockchain', 'CloudComputing', 'CodeNewbie']",7,5,https://twitter.com/Sheraj99/status/1371611460019847177,2021-03-15
6,"An interesting way to simplify the creation of online meetings through the service https://t.co/z1l8vjs5Hn Now instead of your secretary, everything will be handled by artificial intelligence.

#digitaltransformation #artificialintelligence #ai #technology  #onlinemeetings",s_ulyashenkov,"['digitaltransformation', 'artificialintelligence', 'ai', 'technology', 'onlinemeetings']",7,3,https://twitter.com/s_ulyashenkov/status/1370524319957274632,2021-03-12
7,"Major Challenges with today’s Test Automation:
~ Resources with the right skill sets
~ Adhering to best practices
~ Maintenance of Test Scripts
~ Flaky Test Results
~ Time-consuming RCA’s
https://t.co/Y6gpADlvAa
#testautomation #artificialintelligence #AI",abhayit2000,"['testautomation', 'artificialintelligence', 'AI']",5,1,https://twitter.com/abhayit2000/status/1369798724508024836,2021-03-10
8,"🚨🚨#cryptodivine 🚨🚨 will now be alerting its subscribers by text, to alert you when to buy and sell #Bitcoin  or #Ethereum Never loose money again on #cryptocurrency by having #ArtificialIntelligence do the work for you!! $DIGI $DBKSF #digimax https://t.co/KYGtFVW1xE",patches_w,"['cryptodivine', 'Bitcoin', 'Ethereum', 'cryptocurrency', 'ArtificialIntelligence', 'digimax']",4,18,https://twitter.com/patches_w/status/1371974020560691202,2021-03-16
9,"A new episode is out titled: Machine Learning Begins
 
“We introduce the concept of a perceptron as the basic component of a neural network.""

Apple Podcasts: https://t.co/ZK5oYS766C
Spotify: https://t.co/JMx0MUNPrx

#MachineLearning #DataScience  #ArtificialIntelligence",glujanmo,"['MachineLearning', 'DataScience', 'ArtificialIntelligence']",4,3,https://twitter.com/glujanmo/status/1371610115317534721,2021-03-15
10,Beginners Guide: Predict the Stock Market by Billy Bonaros via #TowardsAI → https://t.co/hO9seoTfYb #MachineLearning #ML #ArtificialIntelligence #AI #DataScience #DeepLearning #Technology #Programming #news #research #Science,stanford__ai,"['TowardsAI', 'MachineLearning', 'ML', 'ArtificialIntelligence', 'AI', 'DataScience', 'DeepLearning', 'Technology', 'Programming', 'news', 'research', 'Science']",4,1,https://twitter.com/stanford__ai/status/1371972048831008768,2021-03-16
11,How to Create a Powerful TF-IDF Keyword Research Tool in Python by Billy Bonaros via #TowardsAI → https://t.co/2tDMHqiSKU #MachineLearning #ML #ArtificialIntelligence #AI #DataScience #DeepLearning #Technology #Programming #news #research #Science,towards_AI,"['TowardsAI', 'MachineLearning', 'ML', 'ArtificialIntelligence', 'AI', 'DataScience', 'DeepLearning', 'Technology', 'Programming', 'news', 'research', 'Science']",4,1,https://twitter.com/towards_AI/status/1371971595615543298,2021-03-16
12,"Thanks @equitydotguru and @jodyvance for the interview where I talk about @deepspatialai - our technology, business and growth trajectory
https://t.co/Vir2mRfJg9
$dsai #deepspatial #AI #ArtificialIntelligence #geospatial #BusinessIntelligence #NeuralNetworks #MachineLearning",DRRAHULKUSHWA12,"['deepspatial', 'AI', 'ArtificialIntelligence', 'geospatial', 'BusinessIntelligence', 'NeuralNetworks', 'MachineLearning']",3,6,https://twitter.com/DRRAHULKUSHWA12/status/1370160302675927041,2021-03-11
13,Brisbane Olympic athletes' village could be modelled on Gold Coast success - Brisbane Times https://t.co/NNZGmHu5TO #aigoldcoast #ai #artificialintelligence #machinelearning #analytics #bigdata #deeplearning#datascience https://t.co/sqGP7talTW,AIGoldCoast,"['aigoldcoast', 'ai', 'artificialintelligence', 'machinelearning', 'analytics', 'bigdata']",3,2,https://twitter.com/AIGoldCoast/status/1369799059360391168,2021-03-10
14,"Biotechnology company @AntiverseHQ has raised £1.4 million in seed funding to further develop its artificial intelligence (AI) antibody drug discovery platform. Read this article to learn more:
https://t.co/R8irjSph0e 
#AI #ArtificialIntelligence #DrugDiscovery #Biotech",TorreyPinesLaw,"['AI', 'ArtificialIntelligence', 'DrugDiscovery', 'Biotech']",3,1,https://twitter.com/TorreyPinesLaw/status/1371973727651467264,2021-03-16
15,"Always remember the #ArtificialIntelligence #killswitch if you want #AI to be more like the #human brain. Humans are incapable of the consequences of their actions in certain situations. 

https://t.co/xR5QlDayP8",storagegaga,"['ArtificialIntelligence', 'killswitch', 'AI', 'human']",2,3,https://twitter.com/storagegaga/status/1370523579700244483,2021-03-12
16,"This will require institutions to spend more on training and educate society not to enter into employment fields that are susceptible to AI impact.
#AI #Artificialintelligence #DataScience #DataAnalytics #DigitalTransformation #tech #DeepLearning #MachineLearning #ML #technology https://t.co/womB0uRuu1",SadiqAlesia,"['AI', 'Artificialintelligence', 'DataScience', 'DataAnalytics', 'DigitalTransformation', 'tech', 'DeepLearning', 'MachineLearning', 'ML', 'technology']",2,2,https://twitter.com/SadiqAlesia/status/1371610218740744194,2021-03-15
