,Tweet Content,User Name,HashTags,Retweet Count,Favourite Count,URL,Created Date
0,"#Physics is fun. #DEVCommunity #Programming #IoT #IoTPL #100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G #Engineering #innovation https://t.co/KPmCfuTwoo",Innovat78455398,"['Physics', 'DEVCommunity', 'Programming', 'IoT', 'IoTPL', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'Engineering', 'innovation']",54,39,https://twitter.com/Innovat78455398/status/1370158822635884545,2021-03-11
1,"Success Analytics: The Science of Success

https://t.co/5uYJg4e1qq

#VaathiMANIAEverywhere | #Master
#ArtificialIntelligence #DeepLearning #DataScience #javascript #serverless #WomenInTech #100DaysOfCode #python #Linux #Flutter #TensorFlow #IoT #AR #Ag
https://t.co/JGzd2zgXTD",SuccessAnalytiX,"['VaathiMANIAEverywhere', 'Master', 'ArtificialIntelligence', 'DeepLearning', 'DataScience', 'javascript', 'serverless', 'WomenInTech', '100DaysOfCode', 'python', 'Linux', 'Flutter', 'TensorFlow', 'IoT', 'AR', 'Ag']",37,12,https://twitter.com/SuccessAnalytiX/status/1369075415390826500,2021-03-08
2,"Happy #InternationalWomensDay 👩‍💼

#hclswlobp #nocode #lowcode #javascript #github #nodejs #cybersecurity #devops #100DaysOfCode #datascience #ai #bot #codenewbie #iot #machinelearning #DEVCommunity #Python #Serverless #womenintech #powerplatform #flu... https://t.co/fO0oJefRL4",Tanguy_lrx,"['InternationalWomensDay', 'hclswlobp', 'nocode', 'lowcode', 'javascript', 'github', 'nodejs', 'cybersecurity', 'devops', '100DaysOfCode', 'datascience', 'ai', 'bot', 'codenewbie', 'iot', 'machinelearning', 'DEVCommunity', 'Python', 'Serverless', 'womenintech', 'powerplatform', 'flu']",33,16,https://twitter.com/Tanguy_lrx/status/1369073838424797190,2021-03-08
3,"Trust and Credibility Are The Most Important Currencies For Data Scientists

#Python #DEVCommunity #100DaysOfCode #MachineLearning #programming #IoT #flutter #100DaysOfMLCode #javascript #datascientist #RStats #Serverless #CodeNewbie #DataScience",AceAILondon,"['Python', 'DEVCommunity', '100DaysOfCode', 'MachineLearning', 'programming', 'IoT', 'flutter', '100DaysOfMLCode', 'javascript', 'datascientist', 'RStats', 'Serverless', 'CodeNewbie', 'DataScience']",27,19,https://twitter.com/AceAILondon/status/1369074021917155330,2021-03-08
4,"Learn Financial Analysis and Invest Like a Pro

⏩ https://t.co/3ddHE3Gz3G

@udemy #investing #investment #trading #100DaysOfCode #Machinelearning #IoT #100DaysOfMLCode #Python #Serverless #womenwhocode #RStats #CodeNewbie #DataScience #DEVCommunity https://t.co/64nyfHAJ47",BlackfreeNiken,"['investing', 'investment', 'trading', '100DaysOfCode', 'Machinelearning', 'IoT', '100DaysOfMLCode', 'Python', 'Serverless', 'womenwhocode', 'RStats', 'CodeNewbie', 'DataScience', 'DEVCommunity']",27,14,https://twitter.com/BlackfreeNiken/status/1370882956542103556,2021-03-13
5,"Startup #ApiDev can now create a #brand with memorable domain https://t.co/9x7m5C8xqw 

#NoCode #LowCode #javascript #github #nodejs #cybersecurity #devops #100DaysOfCode #datascience #ai #iot ApiStartup #machinelearning #Python #Serverless #womenintech #WomenWhoCode https://t.co/Tz9QZpaS68",AnnoDomaini,"['ApiDev', 'brand', 'NoCode', 'LowCode', 'javascript', 'github', 'nodejs', 'cybersecurity', 'devops', '100DaysOfCode', 'datascience', 'ai', 'iot', 'machinelearning', 'Python', 'Serverless', 'womenintech', 'WomenWhoCode']",27,12,https://twitter.com/AnnoDomaini/status/1370885779849945088,2021-03-13
6,"Python for Machine Learning with Numpy, Pandas and Matplotlib ($29.99 to FREE) #DataScience #Python #IoT #BigData #100DaysOfCode #blockchain #ArtificialIntelligence #CloudComputing #programming #DeepLearning #Serverless #MachineLearning #Linux #ML #…
https://t.co/yDILGtd9bQ",jucktion,"['DataScience', 'Python', 'IoT', 'BigData', '100DaysOfCode', 'blockchain', 'ArtificialIntelligence', 'CloudComputing', 'programming', 'DeepLearning', 'Serverless', 'MachineLearning', 'Linux', 'ML']",25,10,https://twitter.com/jucktion/status/1370521471555153920,2021-03-12
7,Fundamentals of Machine Learning ($19.99 to Free) #ArtificialIntelligence #100DaysOfCode #programming #blockchain #CloudComputing #MachineLearning #IoT #DeepLearning #Python #BigData #Serverless #ML #Linux #AI #JavaScript #DataScience https://t.co/8jm4NqegG5  #Javascript,javascriptflx,"['ArtificialIntelligence', '100DaysOfCode', 'programming', 'blockchain', 'CloudComputing', 'MachineLearning', 'IoT', 'DeepLearning', 'Python', 'BigData', 'Serverless', 'ML', 'Linux', 'AI', 'JavaScript', 'DataScience', 'Javascript']",25,6,https://twitter.com/javascriptflx/status/1370524843758718981,2021-03-12
8,Google BigQuery/PostgreSQL for Data Analysis ($29.99 to FREE) #JavaScript #Python #Linux #programming #100DaysOfCode #ArtificialIntelligence #BigData #IoT #Serverless #ML #DeepLearning #DataScience #MachineLearning #CloudComputing #AI #blockchain https://t.co/KYD6uRxR8Q,jucktion,"['JavaScript', 'Python', 'Linux', 'programming', '100DaysOfCode', 'ArtificialIntelligence', 'BigData', 'IoT', 'Serverless', 'ML', 'DeepLearning', 'DataScience', 'MachineLearning', 'CloudComputing', 'AI', 'blockchain']",23,10,https://twitter.com/jucktion/status/1370521860673314816,2021-03-12
9,"Do you know why is conversion rate important?

#hclswlobp #nocode #lowcode #javascript #github #nodejs #cybersecurity #devops #100DaysOfCode #datascience #ai #bot #codenewbie #iot #machinelearning #marketing #Python #Serverless #womenintech #CX #ecommerce
 https://t.co/2gYko0su6n",Tanguy_lrx,"['hclswlobp', 'nocode', 'lowcode', 'javascript', 'github', 'nodejs', 'cybersecurity', 'devops', '100DaysOfCode', 'datascience', 'ai', 'bot', 'codenewbie', 'iot', 'machinelearning', 'marketing', 'Python', 'Serverless', 'womenintech', 'CX', 'ecommerce']",18,10,https://twitter.com/Tanguy_lrx/status/1371247103230545921,2021-03-14
10,"#DataDriven Research Aims to Solve First/Last-Mile Challenges in #Mobility Solutions: https://t.co/6axBXY0Tmv
——————
#BigData #MachineLearning #AI #DataScience #IoT #IoTPL #IIoT #DigitalTransformation #DataStrategy #Industry40 #Data4Good #civictech #DataInnovation #DataLiteracy https://t.co/HzqAxDd2P8",KirkDBorne,"['DataDriven', 'Mobility', 'BigData', 'MachineLearning', 'AI', 'DataScience', 'IoT', 'IoTPL', 'IIoT', 'DigitalTransformation', 'DataStrategy', 'Industry40', 'Data4Good', 'civictech', 'DataInnovation', 'DataLiteracy']",12,9,https://twitter.com/KirkDBorne/status/1370886604055834625,2021-03-13
11,"Artificial intelligence leads NATO's new strategy for emerging and disruptive tech - C4ISRNet

Read more here: https://t.co/YdurmZH5TX

#ArtificialIntelligence #AI #DataScience #100DaysOfCode #Python #MachineLearning #BigData #DeepLearning #NLP #Robots #IoT",IainLJBrown,"['ArtificialIntelligence', 'AI', 'DataScience', '100DaysOfCode', 'Python', 'MachineLearning', 'BigData', 'DeepLearning', 'NLP', 'Robots', 'IoT']",11,6,https://twitter.com/IainLJBrown/status/1371248121951444994,2021-03-14
12,"In sport and work you need #team spirit and #leadership

#hclswlobp #nocode #lowcode #javascript #github #nodejs #cybersecurity #devops #100DaysOfCode #datascience #ai #bot #codenewbie #iot #machinelearning #DEVCommunity #Python #Serverless #womenintech https://t.co/HnTqrVSfms",Tanguy_lrx,"['team', 'leadership', 'hclswlobp', 'nocode', 'lowcode', 'javascript', 'github', 'nodejs', 'cybersecurity', 'devops', '100DaysOfCode', 'datascience', 'ai', 'bot', 'codenewbie', 'iot', 'machinelearning', 'DEVCommunity', 'Python', 'Serverless', 'womenintech']",11,5,https://twitter.com/Tanguy_lrx/status/1371248586944569346,2021-03-14
13,"Artificial intelligence leads NATO's new strategy for emerging and disruptive tech - C4ISRNet

Read more here: https://t.co/P0Nzu7rXFz

#ArtificialIntelligence #AI #DataScience #MachineLearning #BigData #100DaysOfCode #Python #DeepLearning #NLP #Robots #IoT",BenjaminP3ters,"['ArtificialIntelligence', 'AI', 'DataScience', 'MachineLearning', 'BigData', '100DaysOfCode', 'Python', 'DeepLearning', 'NLP', 'Robots', 'IoT']",11,4,https://twitter.com/BenjaminP3ters/status/1371244271387480067,2021-03-14
14,"Day  79 ~ Finished bitcoin price visualiser project, interactive chart is available → https://t.co/dDvMC4Aoqb &amp; code linked in comments👍🏾Also added more definitions from fastai book to anki deck so I can remember ML terms #100DaysOfMLCode #100DaysOfCode #CodeNewbie #DataScience https://t.co/rRn0CNLiyQ",azuremis,"['100DaysOfMLCode', '100DaysOfCode', 'CodeNewbie', 'DataScience']",11,4,https://twitter.com/azuremis/status/1370886438514987008,2021-03-13
15,"@ParisHilton 
Tweeted:
My new single 
#Melting with the #ElectricPolarBears @WeAreEPBMusic is out now https://t.co/CcZ9gVAjdO

#bigdata 
#AI #IoT #Tech #Data #IIoT #USA #Linux #UK #javaScript #FinTech #dataScience #WomenWhoCode #Rstats #FemTech #100daysOfCode #FRENCHtech #France",chidambara09,"['Melting', 'ElectricPolarBears', 'bigdata', 'AI', 'IoT', 'Tech', 'Data', 'IIoT', 'USA', 'Linux', 'UK', 'javaScript', 'FinTech', 'dataScience', 'WomenWhoCode', 'Rstats', 'FemTech', '100daysOfCode', 'FRENCHtech', 'France']",10,5,https://twitter.com/chidambara09/status/1370522198755053571,2021-03-12
16,"✍️📦 3. How to package a Python — Python Packages

👤 Tomas Beuzen @tbeuzen, Tiffany Timbers @tiffanytimbers

🔗 https://t.co/OEtZ40sZiP
#python #datascience https://t.co/ZdDV9qEv7Z",icymi_py,"['python', 'datascience']",9,15,https://twitter.com/icymi_py/status/1369795287330471941,2021-03-10
17,"How do you manage your conversion rate ?

#hclswlobp #nocode #lowcode #javascript #github #nodejs #cybersecurity #devops #100DaysOfCode #datascience #ai #bot #codenewbie #iot #machinelearning #ecommerce #Python #Serverless #womenintech #marketing #CX #shop https://t.co/HnYcScbY7z",Tanguy_lrx,"['hclswlobp', 'nocode', 'lowcode', 'javascript', 'github', 'nodejs', 'cybersecurity', 'devops', '100DaysOfCode', 'datascience', 'ai', 'bot', 'codenewbie', 'iot', 'machinelearning', 'ecommerce', 'Python', 'Serverless', 'womenintech', 'marketing', 'CX', 'shop']",9,6,https://twitter.com/Tanguy_lrx/status/1371248561103499264,2021-03-14
18,Data Science (MIT Press Essential Knowledge series) #DataScience https://t.co/6c7lmSSSgj,DD_NaNa_,['DataScience'],8,8,https://twitter.com/DD_NaNa_/status/1369074886283456513,2021-03-08
19,"Regularization in Linear Models by Ravali Munagala https://t.co/ozOsZwC4CD 
#machinelearning #deeplearning #artificialintelligence #datascience #sztucznainteligencja #data #MLsoGood #code #python #pythonlearning #complexity #algorithm
#programmer #DataScientist #DataAnalytics #AI",Mlearning_ai,"['machinelearning', 'deeplearning', 'artificialintelligence', 'datascience', 'sztucznainteligencja', 'data', 'MLsoGood', 'code', 'python', 'pythonlearning', 'complexity', 'algorithm', 'programmer', 'DataScientist', 'DataAnalytics', 'AI']",8,4,https://twitter.com/Mlearning_ai/status/1369435064921169922,2021-03-09
20,Are Companies Hiring Fewer Data Scientists And Are Data Engineers Taking Over  #datascience #dataengineer #career #ai #ml by @SeattleDataGuy https://t.co/N0e27kzf4c,SeattleDataGuy,"['datascience', 'dataengineer', 'career', 'ai', 'ml']",7,5,https://twitter.com/SeattleDataGuy/status/1369436548895215620,2021-03-09
21,"👉 What is Python

👍 Don't forget to like for more 😊

******************************
👉 Full-Stack Data Science Program
🔗 Enroll link : https://t.co/oi03Bku5xZ
******************************

#python #datascience #datascientist #java #react #vue #angular #javascript https://t.co/f24fDUf3gT",techproedu,"['python', 'datascience', 'datascientist', 'java', 'react', 'vue', 'angular', 'javascript']",7,4,https://twitter.com/techproedu/status/1369436945177317379,2021-03-09
22,Chatbot startup Heyday raises $5.1M https://t.co/VuVAvfclwO #GetMoreInsights #CoolerData #Data #Python #DataScience #SocialMedia #Innovation #BigData https://t.co/JZtSihUm6H,CoolerData,"['GetMoreInsights', 'CoolerData', 'Data', 'Python', 'DataScience', 'SocialMedia', 'Innovation', 'BigData']",7,1,https://twitter.com/CoolerData/status/1369799362587422731,2021-03-10
23,"Kaggle + NLP + HuggingFace = Watch https://t.co/66eRa4TetH

#GrandMaster #AI #DataScience #ConversationalAI #ConvAI @JFPuget ⚡️",ShannonMcPhee,"['GrandMaster', 'AI', 'DataScience', 'ConversationalAI', 'ConvAI']",6,18,https://twitter.com/ShannonMcPhee/status/1370160885755342849,2021-03-11
24,Machine Learning: An Applied Mathematics Introduction https://t.co/CdglcMcSAB #datascience #ad,Datascience__,"['datascience', 'ad']",6,3,https://twitter.com/Datascience__/status/1369074268663934988,2021-03-08
25,Detecting Rewards Deterioration in Reinforcement Learning https://t.co/ZzEqParHHl #GetMoreInsights #CoolerData #Data #Tech #Technology #DataScience #ComputerVision #MachineLearning https://t.co/HCcuZbBnmV,CoolerData,"['GetMoreInsights', 'CoolerData', 'Data', 'Tech', 'Technology', 'DataScience', 'ComputerVision', 'MachineLearning']",5,1,https://twitter.com/CoolerData/status/1369797240508706816,2021-03-10
