,Tweet Content,User Name,HashTags,Retweet Count,Favourite Count,URL,Created Date
0,"#Physics is fun. #DEVCommunity #Programming #IoT #IoTPL #100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G #Engineering #innovation https://t.co/KPmCfuTwoo",Innovat78455398,"['Physics', 'DEVCommunity', 'Programming', 'IoT', 'IoTPL', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'Engineering', 'innovation']",54,39,https://twitter.com/Innovat78455398/status/1370158822635884545,2021-03-11
1,"Happy #InternationalWomensDay 👩‍💼

#hclswlobp #nocode #lowcode #javascript #github #nodejs #cybersecurity #devops #100DaysOfCode #datascience #ai #bot #codenewbie #iot #machinelearning #DEVCommunity #Python #Serverless #womenintech #powerplatform #flu... https://t.co/fO0oJefRL4",Tanguy_lrx,"['InternationalWomensDay', 'hclswlobp', 'nocode', 'lowcode', 'javascript', 'github', 'nodejs', 'cybersecurity', 'devops', '100DaysOfCode', 'datascience', 'ai', 'bot', 'codenewbie', 'iot', 'machinelearning', 'DEVCommunity', 'Python', 'Serverless', 'womenintech', 'powerplatform', 'flu']",33,16,https://twitter.com/Tanguy_lrx/status/1369073838424797190,2021-03-08
2,"Trust and Credibility Are The Most Important Currencies For Data Scientists

#Python #DEVCommunity #100DaysOfCode #MachineLearning #programming #IoT #flutter #100DaysOfMLCode #javascript #datascientist #RStats #Serverless #CodeNewbie #DataScience",AceAILondon,"['Python', 'DEVCommunity', '100DaysOfCode', 'MachineLearning', 'programming', 'IoT', 'flutter', '100DaysOfMLCode', 'javascript', 'datascientist', 'RStats', 'Serverless', 'CodeNewbie', 'DataScience']",27,19,https://twitter.com/AceAILondon/status/1369074021917155330,2021-03-08
3,"Startup #ApiDev can now create a #brand with memorable domain https://t.co/9x7m5C8xqw 

#NoCode #LowCode #javascript #github #nodejs #cybersecurity #devops #100DaysOfCode #datascience #ai #iot ApiStartup #machinelearning #Python #Serverless #womenintech #WomenWhoCode https://t.co/Tz9QZpaS68",AnnoDomaini,"['ApiDev', 'brand', 'NoCode', 'LowCode', 'javascript', 'github', 'nodejs', 'cybersecurity', 'devops', '100DaysOfCode', 'datascience', 'ai', 'iot', 'machinelearning', 'Python', 'Serverless', 'womenintech', 'WomenWhoCode']",27,12,https://twitter.com/AnnoDomaini/status/1370885779849945088,2021-03-13
4,"He should become a goalie. #DEVCommunity #Programming #IoT #IoTPL #100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G #Engineering #innovation #NHL #Capitals https://t.co/kFQ0Vt4emO",Innovat78455398,"['DEVCommunity', 'Programming', 'IoT', 'IoTPL', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'Engineering', 'innovation', 'NHL', 'Capitals']",27,10,https://twitter.com/Innovat78455398/status/1370157727045939201,2021-03-11
50,"PyTorch: Deep Learning and Artificial Intelligence

⏩ https://t.co/Qa4qLVlI3d

🔥@udemy #PyTorch #DeepLearning #ArtificialIntelligence #Analytics #DataScience #MachineLearning #IoT #IIoT #Python #RStats #CloudComputing #Serverless #Coding #100DaysofCode #100DaysOfMLCode https://t.co/DCOSrGsIbB",BlackfreeNiken,"['PyTorch', 'DeepLearning', 'ArtificialIntelligence', 'Analytics', 'DataScience', 'MachineLearning', 'IoT', 'IIoT', 'Python', 'RStats', 'CloudComputing', 'Serverless', 'Coding', '100DaysofCode', '100DaysOfMLCode']",27,9,https://twitter.com/BlackfreeNiken/status/1369073128131895296,2021-03-08
5,"Python for Machine Learning with Numpy, Pandas and Matplotlib ($29.99 to FREE) #DataScience #Python #IoT #BigData #100DaysOfCode #blockchain #ArtificialIntelligence #CloudComputing #programming #DeepLearning #Serverless #MachineLearning #Linux #ML #…
https://t.co/yDILGtd9bQ",jucktion,"['DataScience', 'Python', 'IoT', 'BigData', '100DaysOfCode', 'blockchain', 'ArtificialIntelligence', 'CloudComputing', 'programming', 'DeepLearning', 'Serverless', 'MachineLearning', 'Linux', 'ML']",25,10,https://twitter.com/jucktion/status/1370521471555153920,2021-03-12
6,Fundamentals of Machine Learning ($19.99 to Free) #ArtificialIntelligence #100DaysOfCode #programming #blockchain #CloudComputing #MachineLearning #IoT #DeepLearning #Python #BigData #Serverless #ML #Linux #AI #JavaScript #DataScience https://t.co/8jm4NqegG5  #Javascript,javascriptflx,"['ArtificialIntelligence', '100DaysOfCode', 'programming', 'blockchain', 'CloudComputing', 'MachineLearning', 'IoT', 'DeepLearning', 'Python', 'BigData', 'Serverless', 'ML', 'Linux', 'AI', 'JavaScript', 'DataScience', 'Javascript']",25,6,https://twitter.com/javascriptflx/status/1370524843758718981,2021-03-12
7,Google BigQuery/PostgreSQL for Data Analysis ($29.99 to FREE) #JavaScript #Python #Linux #programming #100DaysOfCode #ArtificialIntelligence #BigData #IoT #Serverless #ML #DeepLearning #DataScience #MachineLearning #CloudComputing #AI #blockchain https://t.co/KYD6uRxR8Q,jucktion,"['JavaScript', 'Python', 'Linux', 'programming', '100DaysOfCode', 'ArtificialIntelligence', 'BigData', 'IoT', 'Serverless', 'ML', 'DeepLearning', 'DataScience', 'MachineLearning', 'CloudComputing', 'AI', 'blockchain']",23,10,https://twitter.com/jucktion/status/1370521860673314816,2021-03-12
8,"Do you know why is conversion rate important?

#hclswlobp #nocode #lowcode #javascript #github #nodejs #cybersecurity #devops #100DaysOfCode #datascience #ai #bot #codenewbie #iot #machinelearning #marketing #Python #Serverless #womenintech #CX #ecommerce
 https://t.co/2gYko0su6n",Tanguy_lrx,"['hclswlobp', 'nocode', 'lowcode', 'javascript', 'github', 'nodejs', 'cybersecurity', 'devops', '100DaysOfCode', 'datascience', 'ai', 'bot', 'codenewbie', 'iot', 'machinelearning', 'marketing', 'Python', 'Serverless', 'womenintech', 'CX', 'ecommerce']",18,10,https://twitter.com/Tanguy_lrx/status/1371247103230545921,2021-03-14
