,Tweet Content,User Name,HashTags,Retweet Count,Favourite Count,URL,Created Date
0,"Can #AI Stop People From Believing #FakeNews? #MachineLearning 
#ArtificialIntelligence #DeepLearning #DataScience #javascript #serverless #WomenInTech #100DaysOfCode #python #Linux #Flutter #TensorFlow #PyTorch #IoT #NeuralNetwork #FutureOfWork https://t.co/A42uhwuGqT",JourneyHeroTech,"['AI', 'FakeNews', 'MachineLearning', 'ArtificialIntelligence', 'DeepLearning', 'DataScience', 'javascript', 'serverless', 'WomenInTech', '100DaysOfCode', 'python', 'Linux', 'Flutter', 'TensorFlow', 'PyTorch', 'IoT', 'NeuralNetwork', 'FutureOfWork']",42,23,https://twitter.com/JourneyHeroTech/status/1371899657635385347,2021-03-16
1,"#AI Readiness as a Service ⬇️ #MachineLearning 
#ArtificialIntelligence #DeepLearning #DataScience #javascript #serverless #WomenInTech #100DaysOfCode #python #Linux #Flutter #TensorFlow #PyTorch #DigitalTransformation #IoT #NeuralNetwork #AR #VR #XR #MR #FutureOfWork https://t.co/eVHN7U9PQK",JourneyHeroTech,"['AI', 'MachineLearning', 'ArtificialIntelligence', 'DeepLearning', 'DataScience', 'javascript', 'serverless', 'WomenInTech', '100DaysOfCode', 'python', 'Linux', 'Flutter', 'TensorFlow', 'PyTorch', 'DigitalTransformation', 'IoT', 'NeuralNetwork', 'AR', 'VR', 'XR', 'MR', 'FutureOfWork']",41,20,https://twitter.com/JourneyHeroTech/status/1370474476740227074,2021-03-12
2,"Decision Trees in Machine Learning (ML) with Python Tutorial → https://t.co/xQbc4AqDZh

#decisiontrees #deeplearning #neuralnetwork #neuralnetworks #cnn #machinelearning #ml #ai #ia #programming #python #100daysofcode #coding #cloudcomputing #math #mathematics #neuralnets",mlmemoirs,"['decisiontrees', 'deeplearning', 'neuralnetwork', 'neuralnetworks', 'cnn', 'machinelearning', 'ml', 'ai', 'ia', 'programming', 'python', '100daysofcode', 'coding', 'cloudcomputing', 'math', 'mathematics', 'neuralnets']",35,11,https://twitter.com/mlmemoirs/status/1370868071011876864,2021-03-13
3,"What is Integrated #AI Strategy? ⬇️ #MachineLearning 
#ArtificialIntelligence #DeepLearning #DataScience #javascript #serverless #WomenInTech #100DaysOfCode #python #Linux #Flutter #TensorFlow #PyTorch #DigitalTransformation #IoT #NeuralNetwork #AR
https://t.co/qPHDHkKpEC https://t.co/RGl2QcMDpW",JourneyHeroTech,"['AI', 'MachineLearning', 'ArtificialIntelligence', 'DeepLearning', 'DataScience', 'javascript', 'serverless', 'WomenInTech', '100DaysOfCode', 'python', 'Linux', 'Flutter', 'TensorFlow', 'PyTorch', 'DigitalTransformation', 'IoT', 'NeuralNetwork', 'AR']",32,14,https://twitter.com/JourneyHeroTech/status/1371532302463950869,2021-03-15
4,"Recommendation System Tutorial with Python using Collaborative Filtering → https://t.co/eM4yqdyhH9

#deeplearning #neuralnetwork #neuralnetworks #cnn #machinelearning #ml #ai #ia #programming #python #100daysofcode #coding #cloudcomputing #math #mathematics #neuralnets",stanford__ai,"['deeplearning', 'neuralnetwork', 'neuralnetworks', 'cnn', 'machinelearning', 'ml', 'ai', 'ia', 'programming', 'python', '100daysofcode', 'coding', 'cloudcomputing', 'math', 'mathematics', 'neuralnets']",32,6,https://twitter.com/stanford__ai/status/1370507479969320966,2021-03-12
5,"💬 Learn building a chatbot with only a few lines of code! DialoGPT based Chatbot.

#neuralnetworks #neuralnetwork #deeplearning #machinelearning #keras #tensorflow #python #pytorch #lightning #ignite #datascience #model #100daysofcode #100daysofmlcode

https://t.co/nOYJhC4WXD",MachineCurve,"['neuralnetworks', 'neuralnetwork', 'deeplearning', 'machinelearning', 'keras', 'tensorflow', 'python', 'pytorch', 'lightning', 'ignite', 'datascience', 'model', '100daysofcode', '100daysofmlcode']",31,12,https://twitter.com/MachineCurve/status/1371943926479872003,2021-03-16
6,"Decision Trees in Machine Learning (ML) with Python Tutorial → https://t.co/mrsHDlyHAo

#decisiontrees #deeplearning #neuralnetwork #neuralnetworks #cnn #machinelearning #ml #ai #ia #programming #python #100daysofcode #coding #cloudcomputing #math #mathematics #neuralnets",towards_AI,"['decisiontrees', 'deeplearning', 'neuralnetwork', 'neuralnetworks', 'cnn', 'machinelearning', 'ml', 'ai', 'ia', 'programming', 'python', '100daysofcode', 'coding', 'cloudcomputing', 'math', 'mathematics', 'neuralnets']",28,4,https://twitter.com/towards_AI/status/1370857525420167171,2021-03-13
7,"What is the fear looming over #AI ⬇️ #MachineLearning 
#ArtificialIntelligence #DeepLearning #DataScience #javascript #serverless #WomenInTech #100DaysOfCode #python #Linux #Flutter #TensorFlow #PyTorch #DigitalTransformation #IoT #NeuralNetwork #AR #VR #XR #MR #FutureOfWork https://t.co/O0w32NfhHm",JourneyHeroTech,"['AI', 'MachineLearning', 'ArtificialIntelligence', 'DeepLearning', 'DataScience', 'javascript', 'serverless', 'WomenInTech', '100DaysOfCode', 'python', 'Linux', 'Flutter', 'TensorFlow', 'PyTorch', 'DigitalTransformation', 'IoT', 'NeuralNetwork', 'AR', 'VR', 'XR', 'MR', 'FutureOfWork']",26,10,https://twitter.com/JourneyHeroTech/status/1371517237299920901,2021-03-15
8,"Recommendation System Tutorial with Python using Collaborative Filtering → https://t.co/vrv8oZ2pFC

#deeplearning #neuralnetwork #neuralnetworks #cnn #machinelearning #ml #ai #ia #programming #python #100daysofcode #coding #cloudcomputing #math #mathematics #neuralnets",mlmemoirs,"['deeplearning', 'neuralnetwork', 'neuralnetworks', 'cnn', 'machinelearning', 'ml', 'ai', 'ia', 'programming', 'python', '100daysofcode', 'coding', 'cloudcomputing', 'math', 'mathematics', 'neuralnets']",26,6,https://twitter.com/mlmemoirs/status/1370505657456152576,2021-03-12
9,"💬 Learn how to use Transformers to perform Question Answering on tables. Code included!

#neuralnetworks #neuralnetwork #deeplearning #machinelearning #keras #tensorflow #python #pytorch #lightning #datascience #model #100daysofcode #100daysofmlcode

https://t.co/eOmseAtqwv",MachineCurve,"['neuralnetworks', 'neuralnetwork', 'deeplearning', 'machinelearning', 'keras', 'tensorflow', 'python', 'pytorch', 'lightning', 'datascience', 'model', '100daysofcode', '100daysofmlcode']",25,14,https://twitter.com/MachineCurve/status/1369766438555316224,2021-03-10
