,Tweet Content,User Name,HashTags,Retweet Count,Favourite Count,URL,Created Date
0,"#Physics is fun. #DEVCommunity #Programming #IoT #IoTPL #100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G #Engineering #innovation https://t.co/KPmCfuTwoo",Innovat78455398,"['Physics', 'DEVCommunity', 'Programming', 'IoT', 'IoTPL', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'Engineering', 'innovation']",54,39,https://twitter.com/Innovat78455398/status/1370158822635884545,2021-03-11
1,"Success Analytics: The Science of Success

https://t.co/5uYJg4e1qq

#VaathiMANIAEverywhere | #Master
#ArtificialIntelligence #DeepLearning #DataScience #javascript #serverless #WomenInTech #100DaysOfCode #python #Linux #Flutter #TensorFlow #IoT #AR #Ag
https://t.co/JGzd2zgXTD",SuccessAnalytiX,"['VaathiMANIAEverywhere', 'Master', 'ArtificialIntelligence', 'DeepLearning', 'DataScience', 'javascript', 'serverless', 'WomenInTech', '100DaysOfCode', 'python', 'Linux', 'Flutter', 'TensorFlow', 'IoT', 'AR', 'Ag']",37,12,https://twitter.com/SuccessAnalytiX/status/1369075415390826500,2021-03-08
2,"PyTorch: Deep Learning and Artificial Intelligence

⏩ https://t.co/Qa4qLVlI3d

🔥@udemy #PyTorch #DeepLearning #ArtificialIntelligence #Analytics #DataScience #MachineLearning #IoT #IIoT #Python #RStats #CloudComputing #Serverless #Coding #100DaysofCode #100DaysOfMLCode https://t.co/DCOSrGsIbB",BlackfreeNiken,"['PyTorch', 'DeepLearning', 'ArtificialIntelligence', 'Analytics', 'DataScience', 'MachineLearning', 'IoT', 'IIoT', 'Python', 'RStats', 'CloudComputing', 'Serverless', 'Coding', '100DaysofCode', '100DaysOfMLCode']",27,9,https://twitter.com/BlackfreeNiken/status/1369073128131895296,2021-03-08
3,Fundamentals of Machine Learning ($19.99 to Free) #ArtificialIntelligence #100DaysOfCode #programming #blockchain #CloudComputing #MachineLearning #IoT #DeepLearning #Python #BigData #Serverless #ML #Linux #AI #JavaScript #DataScience https://t.co/8jm4NqegG5  #Javascript,javascriptflx,"['ArtificialIntelligence', '100DaysOfCode', 'programming', 'blockchain', 'CloudComputing', 'MachineLearning', 'IoT', 'DeepLearning', 'Python', 'BigData', 'Serverless', 'ML', 'Linux', 'AI', 'JavaScript', 'DataScience', 'Javascript']",25,6,https://twitter.com/javascriptflx/status/1370524843758718981,2021-03-12
4,"Adding Deep Learning to Ultra-Low Dose CT Drastically Reduces Exposure for Emphysema Patients - Diagnostic Imaging

Read more here: https://t.co/gyyXzGguGr

#ArtificialIntelligence #AI #DataScience #MachineLearning #BigData #100DaysOfCode #Python #DeepLearning #NLP #Robots #IoT",TaylorLevi6,"['ArtificialIntelligence', 'AI', 'DataScience', 'MachineLearning', 'BigData', '100DaysOfCode', 'Python', 'DeepLearning', 'NLP', 'Robots', 'IoT']",14,7,https://twitter.com/TaylorLevi6/status/1370158371823833091,2021-03-11
5,"Artificial intelligence leads NATO's new strategy for emerging and disruptive tech - C4ISRNet

Read more here: https://t.co/YdurmZH5TX

#ArtificialIntelligence #AI #DataScience #100DaysOfCode #Python #MachineLearning #BigData #DeepLearning #NLP #Robots #IoT",IainLJBrown,"['ArtificialIntelligence', 'AI', 'DataScience', '100DaysOfCode', 'Python', 'MachineLearning', 'BigData', 'DeepLearning', 'NLP', 'Robots', 'IoT']",11,6,https://twitter.com/IainLJBrown/status/1371248121951444994,2021-03-14
6,"I've just published Artificiality Bites 💊 Issue #31

https://t.co/QwYCXOiGq4

#data #ML #DS #AI #ArtificialIntelligence #BigData #MachineLearning #python #DeepLearning #newsletter #nlp #weekly #seer #vissl #horovod #ray #clip #sharf #shapash #git #wit #gartner",pyjaime,"['data', 'ML', 'DS', 'AI', 'ArtificialIntelligence', 'BigData', 'MachineLearning', 'python', 'DeepLearning', 'newsletter', 'nlp', 'weekly', 'seer', 'vissl', 'horovod', 'ray', 'clip', 'sharf', 'shapash', 'git', 'wit', 'gartner']",7,5,https://twitter.com/pyjaime/status/1369073056451358720,2021-03-08
7,"""Genius Makers""

New York Times' Cade Metz in conversation with Canada CIFAR AI Chair Graham Taylor

MARK YOUR CALENDARS: Monday, March 15; 12noon-1pmET

Explore the past, present &amp; future of AI : https://t.co/WfstOiGDYD

#ArtificialIntelligence #DeepLearning #GeniusMakers https://t.co/FifSrnG9B7",Montreal_AI,"['ArtificialIntelligence', 'DeepLearning', 'GeniusMakers']",4,5,https://twitter.com/Montreal_AI/status/1369436508332167175,2021-03-09
8,"Thanks @equitydotguru and @jodyvance for the interview where I talk about @deepspatialai - our technology, business and growth trajectory
https://t.co/Vir2mRfJg9
$dsai #deepspatial #AI #ArtificialIntelligence #geospatial #BusinessIntelligence #NeuralNetworks #MachineLearning",DRRAHULKUSHWA12,"['deepspatial', 'AI', 'ArtificialIntelligence', 'geospatial', 'BusinessIntelligence', 'NeuralNetworks', 'MachineLearning']",3,6,https://twitter.com/DRRAHULKUSHWA12/status/1370160302675927041,2021-03-11
9,Brisbane Olympic athletes' village could be modelled on Gold Coast success - Brisbane Times https://t.co/NNZGmHu5TO #aigoldcoast #ai #artificialintelligence #machinelearning #analytics #bigdata #deeplearning#datascience https://t.co/sqGP7talTW,AIGoldCoast,"['aigoldcoast', 'ai', 'artificialintelligence', 'machinelearning', 'analytics', 'bigdata']",3,2,https://twitter.com/AIGoldCoast/status/1369799059360391168,2021-03-10
10,"Always remember the #ArtificialIntelligence #killswitch if you want #AI to be more like the #human brain. Humans are incapable of the consequences of their actions in certain situations. 

https://t.co/xR5QlDayP8",storagegaga,"['ArtificialIntelligence', 'killswitch', 'AI', 'human']",2,3,https://twitter.com/storagegaga/status/1370523579700244483,2021-03-12
11,"The basketball hoop that doesn't let you miss it! Using #AI #ArtificialIntelligence #ML #Robotics is transforming our lives. 

 https://t.co/QO7EF9CyWd",kushalpathak,"['AI', 'ArtificialIntelligence', 'ML', 'Robotics']",2,3,https://twitter.com/kushalpathak/status/1369437746692038665,2021-03-09
12,"🎧🆕🎧 Darkwave📹 YouTube playlist update:

Listen➢ https://t.co/cXd4KKENQZ
YouTube Playlist➢ https://t.co/OXLNNSgIrA

✅ Get the latest #darkwave tracks in your inbox ➢ https://t.co/1EukArtkNQ

#royaltyfree #musicforvideo #musicforyoutube #synthwave #ArtificialIntelligence",EvokeMusicAI,"['darkwave', 'royaltyfree', 'musicforvideo', 'musicforyoutube', 'synthwave', 'ArtificialIntelligence']",2,2,https://twitter.com/EvokeMusicAI/status/1370884381712211968,2021-03-13
13,"#ArtificialIntelligence #eCommerce Extra Crunch roundup: Coupang and Roblox debut, driving GPT-3 adoption, startup how-tos, more: Our growing library of how-to stories are aimed squarely at… https://t.co/lgcnyhviVm  | https://t.co/mfR4u1I3JG  | https://t.co/mfR4u1I3JG https://t.co/IgxHxqccly",eStream_Studios,"['ArtificialIntelligence', 'eCommerce']",2,2,https://twitter.com/eStream_Studios/status/1370524281080221701,2021-03-12
14,Win an exhibitor booth at the Gold Coast Careers Festival – https://t.co/lKTJdVuw5f - https://t.co/lKTJdVuw5f https://t.co/eBZUNsGSpb #aigoldcoast #ai #artificialintelligence #machinelearning #analytics #bigdata #deeplearning#datascience https://t.co/b2OVo33LJA,AIGoldCoast,"['aigoldcoast', 'ai', 'artificialintelligence', 'machinelearning', 'analytics', 'bigdata']",2,2,https://twitter.com/AIGoldCoast/status/1370523899797078018,2021-03-12
15,Google AI Blog: Accelerating Neural Networks on Mobile and Web with Sparse Inference #ArtificialIntelligence #Classification #DeepLearning #MachineLearning #NeuralNetworks #Tensorflow https://t.co/dWbs4VYlPd,ai_summary,"['ArtificialIntelligence', 'Classification', 'DeepLearning', 'MachineLearning', 'NeuralNetworks', 'Tensorflow']",2,2,https://twitter.com/ai_summary/status/1369796654795264000,2021-03-10
16,"A system able to develop an artistic sense would represent a big step into more complex AI and provide a better understanding of the human brain.

#AI #Artificialintelligence #DataScience #DataAnalytics #DigitalTransformation #tech #DeepLearning #MachineLearning #ML https://t.co/k2xonMXzXk",SadiqAlesia,"['AI', 'Artificialintelligence', 'DataScience', 'DataAnalytics', 'DigitalTransformation', 'tech', 'DeepLearning', 'MachineLearning', 'ML']",2,2,https://twitter.com/SadiqAlesia/status/1369435986371969033,2021-03-09
17,#ArtificialIntelligence and #MachineLearning are the next generation technologies for making businesses more efficient. Are you ready? https://t.co/SQaPcpvcrq,StevenAiroldi,"['ArtificialIntelligence', 'MachineLearning']",2,1,https://twitter.com/StevenAiroldi/status/1369798972735381504,2021-03-10
32,Day 89: Watched an interview with robot guest Sophia. The robot gets smarter through every interaction. I was very impressed at what this robot has accomplished! So life-like too! https://t.co/lkLFJaoRAq #60DaysOfUdacity #AI #ML #Data #MachineLearning #ArtificialIntelligence,cmloiacono,"['60DaysOfUdacity', 'AI', 'ML', 'Data', 'MachineLearning', 'ArtificialIntelligence']",2,1,https://twitter.com/cmloiacono/status/1369072574408359942,2021-03-08
18,"The impact is growing day by day - and not all of it is positive! The future of #ArtificialIntelligence will shape the future of humanity - but it really should be the other way round, shouldn’t it? https://t.co/QYE8x3LO9x",JohnMacIntyre2,['ArtificialIntelligence'],1,3,https://twitter.com/JohnMacIntyre2/status/1369074535488749568,2021-03-08
19,"Vol 16, Nº 4 (2021) International Journal of Emerging Technologies in Learning (iJET) https://t.co/bZ7I8EfrnC #innovation #virtualSmart #higherEducation #students #universidad #eLearning #artificialIntelligence #innovación #gamification #University #startup #Skills #bigData #TIC https://t.co/7MoJNXbGP4",eraser,"['innovation', 'virtualSmart', 'higherEducation', 'students', 'universidad', 'eLearning', 'artificialIntelligence', 'innovación', 'gamification', 'University', 'startup', 'Skills', 'bigData', 'TIC']",1,2,https://twitter.com/eraser/status/1370883635117756419,2021-03-13
20,"Extra Crunch roundup: Coupang and Roblox debut, driving GPT-3 adoption, startup how-tos, more https://t.co/vmaFCWjuwv #AI #MachineLearning #DataScience #ArtificialIntelligence

Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/kZZUvDUv1B",genericgranola,"['AI', 'MachineLearning', 'DataScience', 'ArtificialIntelligence']",1,2,https://twitter.com/genericgranola/status/1370524126306258945,2021-03-12
21,"beCloudReady is hosting an online event to present SKUCaster, a forecasting solution that produces sharper sales forecasts and major inventory savings. 

Click to register!

https://t.co/T7bNW7smtw

#MachineLearning  #tech  #ArtificialIntelligence",becloudready,"['MachineLearning', 'tech', 'ArtificialIntelligence']",1,2,https://twitter.com/becloudready/status/1370161289650188294,2021-03-11
22,Q: How old is the field of #ArtificialIntelligence? The answer will be posted tomorrow - stay tuned!,CodeHS,['ArtificialIntelligence'],1,2,https://twitter.com/CodeHS/status/1370160920664502277,2021-03-11
23,"🚨Future of Entertainment @bleutechparklv with the rise of #ArtificialIntelligence Avatars are a Game Changer— and more exciting! A look at the shifting landscape of sports media &amp; events-changing the Game to immersive environments, interactive entertainment &amp; future Art #NFT #VR https://t.co/FYsIC2sPFg",bleutechparklv,"['ArtificialIntelligence', 'NFT', 'VR']",1,2,https://twitter.com/bleutechparklv/status/1370160429331312648,2021-03-11
24,An Affordable legal advisor of future for everyone!! #ArtificialIntelligence  https://t.co/sIVeEZhkQ5,Twinybots,['ArtificialIntelligence'],1,2,https://twitter.com/Twinybots/status/1369435746088722433,2021-03-09
25,"Federated Learning :  Get the model to the data 

Shared models trained from rich data, w/o the need to centrally store it : @GoogleAI 

+ #EdgeComputing bandwidth
+ #healthcare #DataPrivacy 

#MachineLearning #5G #ArtificialIntelligence @Intel @Qualcomm https://t.co/TRCO7sLShP",BigBetAnalytics,"['EdgeComputing', 'healthcare', 'DataPrivacy', 'MachineLearning', '5G', 'ArtificialIntelligence']",1,1,https://twitter.com/BigBetAnalytics/status/1370883937090686978,2021-03-13
26,"DigitalChamber #ArtificialIntelligence #eCommerce #Gaming #SaaS Extra Crunch roundup: Coupang and Roblox debut, driving GPT-3 adoption, startup how-tos, more https://t.co/vhRrzHn8oP https://t.co/9ntNKuGc8X",Juchtervbergen,"['ArtificialIntelligence', 'eCommerce', 'Gaming', 'SaaS']",1,1,https://twitter.com/Juchtervbergen/status/1370523641402728449,2021-03-12
27,2021 Emerging Trends: How Artificial Intelligence Will Affect Creative Decisions. #ArtificialIntelligence https://t.co/Edv6YbC66C,mansoorfayyaz,['ArtificialIntelligence'],1,1,https://twitter.com/mansoorfayyaz/status/1370161375503351818,2021-03-11
28,How to Select a Website Development Team #ArtificialIntelligence  https://t.co/E1HNoROV3s,hashem25,['ArtificialIntelligence'],1,1,https://twitter.com/hashem25/status/1370158164600102912,2021-03-11
29,Effective awk Programming PDF #ArtificialIntelligence via https://t.co/kp4jiOLxPU https://t.co/gYE0YYt6aK,1nterestingTech,['ArtificialIntelligence'],1,1,https://twitter.com/1nterestingTech/status/1369436114906415104,2021-03-09
