,Tweet Content,User Name,HashTags,Retweet Count,Favourite Count,URL,Created Date
0,"This is what a human-centred approach to AI technology could look like

https://t.co/eW9bamZil1 @wef
 
#ArtificialIntelligence #MachineLearning #BigData #Analytics #DataScience #ML #DEVCommunity #serverless #100DaysofCode #Python #robots #womenwhocode  #Robotics #DeepLearning #AI https://t.co/06s1bwZl2Y",marcusborba,"['ArtificialIntelligence', 'MachineLearning', 'BigData', 'Analytics', 'DataScience', 'ML', 'DEVCommunity', 'serverless', '100DaysofCode', 'Python', 'robots', 'womenwhocode', 'Robotics', 'DeepLearning', 'AI']",57,14,https://twitter.com/marcusborba/status/1370879295518871552,2021-03-13
1,"#Physics is fun. #DEVCommunity #Programming #IoT #IoTPL #100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G #Engineering #innovation https://t.co/KPmCfuTwoo",Innovat78455398,"['Physics', 'DEVCommunity', 'Programming', 'IoT', 'IoTPL', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'Engineering', 'innovation']",54,39,https://twitter.com/Innovat78455398/status/1370158822635884545,2021-03-11
2,"Happy #InternationalWomensDay 👩‍💼

#hclswlobp #nocode #lowcode #javascript #github #nodejs #cybersecurity #devops #100DaysOfCode #datascience #ai #bot #codenewbie #iot #machinelearning #DEVCommunity #Python #Serverless #womenintech #powerplatform #flu... https://t.co/fO0oJefRL4",Tanguy_lrx,"['InternationalWomensDay', 'hclswlobp', 'nocode', 'lowcode', 'javascript', 'github', 'nodejs', 'cybersecurity', 'devops', '100DaysOfCode', 'datascience', 'ai', 'bot', 'codenewbie', 'iot', 'machinelearning', 'DEVCommunity', 'Python', 'Serverless', 'womenintech', 'powerplatform', 'flu']",33,16,https://twitter.com/Tanguy_lrx/status/1369073838424797190,2021-03-08
3,"Drawing the life of a person. #DEVCommunity #Programming #IoT #IoTPL #100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G #Engineering #innovation #art #artist. https://t.co/gjNmYhmbHO",Innovat78455398,"['DEVCommunity', 'Programming', 'IoT', 'IoTPL', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'Engineering', 'innovation', 'art', 'artist']",33,7,https://twitter.com/Innovat78455398/status/1370157339366498308,2021-03-11
4,"Trust and Credibility Are The Most Important Currencies For Data Scientists

#Python #DEVCommunity #100DaysOfCode #MachineLearning #programming #IoT #flutter #100DaysOfMLCode #javascript #datascientist #RStats #Serverless #CodeNewbie #DataScience",AceAILondon,"['Python', 'DEVCommunity', '100DaysOfCode', 'MachineLearning', 'programming', 'IoT', 'flutter', '100DaysOfMLCode', 'javascript', 'datascientist', 'RStats', 'Serverless', 'CodeNewbie', 'DataScience']",27,19,https://twitter.com/AceAILondon/status/1369074021917155330,2021-03-08
5,"Learn Financial Analysis and Invest Like a Pro

⏩ https://t.co/3ddHE3Gz3G

@udemy #investing #investment #trading #100DaysOfCode #Machinelearning #IoT #100DaysOfMLCode #Python #Serverless #womenwhocode #RStats #CodeNewbie #DataScience #DEVCommunity https://t.co/64nyfHAJ47",BlackfreeNiken,"['investing', 'investment', 'trading', '100DaysOfCode', 'Machinelearning', 'IoT', '100DaysOfMLCode', 'Python', 'Serverless', 'womenwhocode', 'RStats', 'CodeNewbie', 'DataScience', 'DEVCommunity']",27,14,https://twitter.com/BlackfreeNiken/status/1370882956542103556,2021-03-13
6,"He should become a goalie. #DEVCommunity #Programming #IoT #IoTPL #100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G #Engineering #innovation #NHL #Capitals https://t.co/kFQ0Vt4emO",Innovat78455398,"['DEVCommunity', 'Programming', 'IoT', 'IoTPL', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'Engineering', 'innovation', 'NHL', 'Capitals']",27,10,https://twitter.com/Innovat78455398/status/1370157727045939201,2021-03-11
7,"Never give. Anyone can have the moment of big applause. #DEVCommunity #Programming #IoT #IoTPL #100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G #Engineering #innovation https://t.co/X62ry1Ykdi",Innovat78455398,"['DEVCommunity', 'Programming', 'IoT', 'IoTPL', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'Engineering', 'innovation']",25,5,https://twitter.com/Innovat78455398/status/1370157044016189441,2021-03-11
8,"#DEVCommunity #webdev #CodeNewbie #javascript #100DaysOfCode 
""The grand essentials of happiness are: something to do, something to love, and something to hope for.""",TheFieryBot,"['DEVCommunity', 'webdev', 'CodeNewbie', 'javascript', '100DaysOfCode']",23,7,https://twitter.com/TheFieryBot/status/1370876800734265350,2021-03-13
9,"Started teaching a friend web development yesterday
It's been fun and I learnt from it also.

I love teaching anything I'm good at to others
Only if I can go at it on a large scale.

#100DaysOfCode #javascript #CodeNewbie #code #coding #Python #HTML #CSS #DEVCommunity #Developers",LBD_codes,"['100DaysOfCode', 'javascript', 'CodeNewbie', 'code', 'coding', 'Python', 'HTML', 'CSS', 'DEVCommunity', 'Developers']",21,5,https://twitter.com/LBD_codes/status/1369794592636289028,2021-03-10
